id,word,pos,ua,definitionUa,semantic_fidelity,idiomatic_ukrainian,grammar_morphology_syntax_punctuation_word_order,pos_alignment,learner_register,russianism_surzhyk_calque_risk,ua_definition_consistency,pedagogical_accuracy,ui_formatting_integrity,pass_a_disposition,category,confidence,rationale,proposed_target,proposed_value
SB-0494,faction,n.,фракція,"Група людей, особливо всередині політичної організації, яка висловлює спільні переконання або думку, відмінну від людей, які не є частиною групи.",DEFECT,PASS,DEFECT,PASS,PASS,PASS,PASS,DEFECT,PASS,P1,semantic-fidelity,high,The final comparison says an opinion differs from people rather than from their views.,definitionUa,"Група всередині більшої організації, члени якої мають спільні погляди, відмінні від поглядів інших членів."
SB-0499,fate,n.,доля,"Передбачувана причина, сила, принцип або божественна воля, яка визначає події.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-0500,favourable,adj.,сприятливий,"Вираження або вказівка ​​на прихильність чи доброзичливість; схвалюючи, заохочуючи.",PASS,PASS,DEFECT,DEFECT,PASS,PASS,PASS,DEFECT,PASS,P1,pos-alignment,high,The definition uses a noun phrase and adverbial participles instead of defining the adjective.,definitionUa,"Такий, що виражає схвалення або створює добрі умови для успіху."
SB-0501,feat,n.,подвиг; визначне досягнення,Відносно рідкісне або важке досягнення.,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-0503,fibre,n.,клітковина,Харчові волокна.,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-0508,firearm,n.,вогнепальна зброя,"Особиста зброя, яка використовує вибуховий порох для приведення в дію снаряда, який часто виготовляється зі свинцю.",PASS,DEFECT,PASS,PASS,PASS,PASS,PASS,DEFECT,PASS,P2,pedagogical-definition,medium,The definition is over-specific about a lead projectile and uses the vague category «особиста зброя».,definitionUa,"Зброя, що вистрілює снаряд завдяки вибуху пороху."
SB-0511,flaw,n.,недолік,"Дефект, помилка або недосконалість, особливо прихована.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-0513,flee,v.,тікати,Втікати; втекти.,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-0514,fleet,n.,флот,Група суден або транспортних засобів.,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-0515,flesh,n.,плоть,"М’які тканини тіла, особливо м’язи та жир.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-0518,fluid,n.,рідина,Рідина (на відміну від твердого або газоподібного).,DEFECT,PASS,PASS,PASS,PASS,PASS,DEFECT,DEFECT,PASS,P1,semantic-fidelity,high,"Fluid includes liquids and gases, but the definition wrongly contrasts it with gas and ua gives only liquid.",ua+definitionUa,"ua: рідина; текуча речовина | definitionUa: Речовина, що може текти й набувати форми посудини, зокрема рідина або газ."
SB-0519,footage,n.,кадри,"Кількість плівки або стрічки, яка була використана для запису чогось.",DEFECT,PASS,PASS,PASS,PASS,PASS,PASS,DEFECT,PASS,P1,semantic-fidelity,high,"Footage means recorded moving-image material, not the amount of film or tape consumed.",definitionUa,"Відеоматеріал або кадри, записані для фільму, телебачення чи іншої мети."
SB-0520,foreigner,n.,іноземець,Людина з чужої країни.,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-0522,formula,n.,формула,План або метод вирішення проблеми або досягнення результату.,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-0523,formulate,v.,формулювати,Викласти в ясній і певній формі твердження або вираз.,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-0524,forth,adv.,вперед,"Назовні, уперед або від певного місця; переважно у сталих виразах.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-0527,fragile,adj.,крихкий,"Легко ламається, не міцний; з ніжного матеріалу.",PASS,PASS,DEFECT,PASS,PASS,PASS,PASS,PASS,DEFECT,P2,orthography,medium,The adjective «не міцний» should be written together as «неміцний» in this meaning.,definitionUa,"Такий, що легко ламається або пошкоджується; неміцний."
SB-0528,franchise,n.,франшиза; право на здійснення діяльності,"Дозвіл, наданий компанією на продаж або розповсюдження своїх товарів чи послуг на певній території.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-0533,functional,adj.,функціональний,"Корисний; служіння меті, виконання функції.",PASS,PASS,DEFECT,DEFECT,PASS,PASS,PASS,PASS,PASS,P2,pos-alignment,medium,The noun phrase «служіння меті» does not directly define the adjective.,definitionUa,"Практичний, корисний або здатний виконувати призначену функцію."
SB-0534,fundraising,n.,збір коштів,Процес збору грошей шляхом запитів пожертвувань від приватних осіб і компаній.,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-0535,funeral,n.,похорон,"Церемонія вшанування та пам’яті померлої людини, яка часто відрізняється від панахиди присутністю тіла померлого.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-0537,gambling,n.,азартні ігри,"Діяльність, що характеризується балансом між виграшем і програшем, що регулюється сумішшю навичок і випадковості, як правило, із ставкою на результат.",DEFECT,PASS,PASS,PASS,PASS,PASS,PASS,DEFECT,PASS,P1,semantic-fidelity,high,The definition's «balance between winning and losing» does not explain wagering on an uncertain outcome.,definitionUa,"Діяльність, у якій гроші або цінності ставлять на результат, що залежить від випадку."
SB-0539,gaze,"n., v.",погляд,Дивитися пильно або серйозно.,DEFECT,PASS,PASS,DEFECT,PASS,PASS,DEFECT,DEFECT,PASS,P1,pos-alignment,high,"The source is noun and verb, but ua is noun-only and the definition verb-only.",ua+definitionUa,ua: пильний погляд; пильно дивитися | definitionUa: Тривалий уважний погляд; також довго й уважно дивитися.
SB-0542,genocide,n.,геноцид,"Систематичне та умисне знищення групи людей; як правило, вбиваючи значну кількість з них на основі їхньої етнічної приналежності, релігії чи національності.",PASS,DEFECT,DEFECT,PASS,PASS,PASS,PASS,PASS,PASS,P2,grammar-syntax,medium,The semicolon creates an awkward lowercase participial continuation and «етнічна приналежність» is less idiomatic.,definitionUa,"Умисне систематичне знищення людей через їхню етнічну належність, релігію, національність або іншу групову ознаку."
SB-0543,glance,"n., v.",погляд,"Звернути (очі чи погляд) на щось, часто ненадовго.",DEFECT,PASS,PASS,DEFECT,PASS,PASS,DEFECT,DEFECT,PASS,P1,pos-alignment,high,"The source is noun and verb, but ua is noun-only and the definition verb-only.",ua+definitionUa,ua: швидкий погляд; швидко глянути | definitionUa: Короткий погляд; також швидко подивитися на когось або щось.
SB-0545,glorious,adj.,славний,"Демонстрація атрибутів, якостей або вчинків, які гідні чи отримують славу.",PASS,DEFECT,DEFECT,DEFECT,PASS,PASS,PASS,DEFECT,PASS,P1,pos-alignment,high,The noun phrase «Демонстрація атрибутів» does not define an adjective and is not idiomatic Ukrainian.,definitionUa,"Такий, що заслуговує великої слави або викликає захоплення."
SB-0546,glory,n.,слава,"Честь, захоплення чи відзнака, надані особі чи речі за спільною згодою; висока репутація; відомість.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-0547,governance,n.,управління,"Процес, або сила, управління; уряд або адміністрація.",DEFECT,DEFECT,DEFECT,PASS,PASS,PASS,PASS,DEFECT,PASS,P1,grammar-syntax,high,"«Процес, або сила, управління» has invalid punctuation and does not coherently define governance.",definitionUa,"Система й процеси, за допомогою яких організацією або державою керують і контролюють її діяльність."
SB-0550,grave (for dead person),n.,могила,"Місце в землі, де поховано померлу людину.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-0551,grave (serious),adj.,серйозний; тяжкий,"Надзвичайно серйозний, небезпечний або такий, що викликає значне занепокоєння.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-0553,grid,n.,сітка,"Система доставки електроенергії, що складається з різних підстанцій, трансформаторів і генераторів, з'єднаних дротом.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-0559,guerrilla,n.,партизан,"Солдат у невеликій незалежній групі, який бореться проти уряду чи регулярних сил шляхом раптових набігів.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-0560,guidance,n.,керівництво,Порада або консультація з якоїсь теми.,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-0561,guilt,n.,вина,Відповідальність за протиправні дії.,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-0562,gut,n.,кишка,"Травний тракт, особливо кишечник.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-0564,halfway,adv.,на півдорозі,Половина шляху між двома точками.,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-0566,handful,n.,жменя,"Кількість, яку рука може схопити або вмістити.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-0567,handling,n.,поводження,"Торкатися, контролювати, керувати, використовувати, піклуватися тощо рукою або руками або як руками.",DEFECT,DEFECT,DEFECT,PASS,PASS,PASS,PASS,DEFECT,PASS,P1,grammar-syntax,high,The ending «або як руками» is nonsensical and leaves handling undefined.,definitionUa,"Спосіб поводження з предметом, ситуацією або питанням; керування чи оброблення."
SB-0568,handy,adj.,зручний,"Простий у використанні, корисний.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-0573,harvest,"n., v.",урожай,Принести врожай; жати; підбирати.,DEFECT,PASS,PASS,DEFECT,PASS,PASS,DEFECT,DEFECT,PASS,P1,pos-alignment,high,"The source is noun and verb, but ua is noun-only and the definition verb-only.",ua+definitionUa,ua: урожай; збирати врожай | definitionUa: Зібрані сільськогосподарські культури; також збирати їх після дозрівання.
SB-0574,hatred,n.,ненависть,Сильна відраза; сильна неприязнь.,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-0575,haunt,v.,переслідувати,Населяти або часто відвідувати (найчастіше використовується стосовно привидів).,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-0578,heritage,n.,спадщина,"традиція; практика або набір цінностей, які передаються від попередніх поколінь через сім’ї або через інституційну пам’ять.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-0579,hierarchy,n.,ієрархія,"Соціальна, релігійна, економічна чи політична система або організація, в якій люди або групи людей перевищують інших на основі їхнього статусу, авторитету чи інших рис.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-0580,high-profile,adj.,гучний,Важливий або добре розрекламований.,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-0581,hint,"n., v.",підказка,Мати на увазі без прямого твердження; щоб надати підказку.,DEFECT,PASS,DEFECT,DEFECT,PASS,PASS,DEFECT,DEFECT,PASS,P1,pos-alignment,high,"The source is noun and verb, but ua is noun-only; the definition also breaks its infinitive pattern.",ua+definitionUa,ua: натяк; натякати | definitionUa: Непряма підказка; також давати зрозуміти щось без прямого твердження.
SB-0582,homeland,n.,батьківщина,"Країна, яку людина вважає домом.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-0585,horizon,n.,горизонт,"Видима горизонтальна лінія (у всіх напрямках), де небо, здається, зустрічається з землею на відстані.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-0586,horn,n.,ріг,"Твердий наріст кератину, який виступає з верхньої частини голови певних тварин, як правило, парний.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-0587,hostage,n.,заручник,"Особа, захоплена з метою примусити іншу сторону діяти (або утримуватися від дій) певним чином через загрозу заподіяння шкоди заручнику.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-0588,hostile,adj.,ворожий,Не доброзичливий; відповідний ворогові; показ розташування ворога; прояв злої волі та зловмисності або бажання перешкодити та завдати шкоди.,DEFECT,DEFECT,PASS,PASS,PASS,PASS,PASS,DEFECT,PASS,P1,semantic-fidelity,high,«Показ розташування ворога» is a false rendering of showing the disposition of an enemy.,definitionUa,"Недружній або ворожий; такий, що виявляє злу волю чи бажання завдати шкоди."
SB-0589,hostility,n.,ворожість,Стан ворожості.,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-0590,humanitarian,adj.,гуманітарний,Що стосується добробуту людей.,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-0591,humanity,n.,людство,Людство; люди як група.,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-0592,humble,adj.,скромний,"Мати низьку думку про себе; не гордий, зарозумілий або самовпевнений; скромний.",DEFECT,PASS,PASS,PASS,PASS,PASS,PASS,DEFECT,PASS,P2,semantic-fidelity,medium,Humility is not necessarily having a low opinion of oneself; that wording can teach an inaccurate sense.,definitionUa,Скромний і не схильний вважати себе кращим за інших.
SB-0593,hydrogen,n.,водень,"Найлегший хімічний елемент (символ H), з атомним номером 1 і атомною вагою 1,008.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-0595,ideological,adj.,ідеологічний,Що стосується однієї чи кількох ідеологій.,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-0596,ideology,n.,ідеологія,"Доктрина, філософія, сукупність переконань або принципів, що належать окремій особі чи групі.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-0598,ignorance,n.,незнання,Стан необізнаності або неосвіченості; брак знань або інформації.,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-0599,imagery,n.,зображення,"Риторичне оформлення в письмовій чи усній формі; яскраві описи, що представляють або навіюють образи чуттєвих об'єктів; фігури в дискурсі.",DEFECT,DEFECT,PASS,PASS,PASS,PASS,DEFECT,DEFECT,PASS,P1,semantic-fidelity,high,"ua «зображення» misses literary imagery, while «фігури в дискурсі» is opaque and unidiomatic.",ua+definitionUa,"ua: образність; образи | definitionUa: Виразні мовні образи й описи, що викликають чуттєві уявлення."
SB-0600,immense,adj.,величезний,"Величезний, гігантський, дуже великий.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-0602,implementation,n.,впровадження,"Процес переходу ідеї від концепції до реальності. У бізнесі, інженерії та інших сферах реалізація відноситься до процесу будівництва, а не до процесу проектування.",DEFECT,DEFECT,PASS,PASS,PASS,DEFECT,PASS,DEFECT,PASS,P1,calque-russianism,high,«Відноситься до» is a Russian-influenced calque and the definition wrongly equates implementation with construction.,definitionUa,"Процес практичного здійснення плану, ідеї, системи або рішення."
SB-0605,inability,n.,неспроможність,Відсутність вміння щось робити; недієздатність.,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
