id,pass_a_disposition,pass_b_disposition
SB-0243,clean-candidate,clean-candidate
SB-0245,clean-candidate,clean-candidate
SB-0248,clean-candidate,clean-candidate
SB-0250,clean-candidate,clean-candidate
SB-0251,clean-candidate,clean-candidate
SB-0253,clean-candidate,clean-candidate
SB-0258,clean-candidate,clean-candidate
SB-0259,clean-candidate,clean-candidate
SB-0260,clean-candidate,clean-candidate
SB-0261,clean-candidate,clean-candidate
SB-0262,clean-candidate,clean-candidate
SB-0265,clean-candidate,clean-candidate
SB-0267,clean-candidate,clean-candidate
SB-0268,clean-candidate,clean-candidate
SB-0270,clean-candidate,clean-candidate
SB-0275,clean-candidate,clean-candidate
SB-0278,clean-candidate,clean-candidate
SB-0281,clean-candidate,clean-candidate
SB-0282,clean-candidate,clean-candidate
SB-0284,clean-candidate,clean-candidate
SB-0287,clean-candidate,clean-candidate
SB-0288,clean-candidate,clean-candidate
SB-0289,clean-candidate,clean-candidate
SB-0291,clean-candidate,clean-candidate
SB-0294,clean-candidate,clean-candidate
SB-0297,clean-candidate,clean-candidate
SB-0299,clean-candidate,clean-candidate
SB-0302,clean-candidate,clean-candidate
SB-0303,clean-candidate,clean-candidate
SB-0305,clean-candidate,clean-candidate
SB-0311,clean-candidate,clean-candidate
SB-0312,clean-candidate,clean-candidate
SB-0314,clean-candidate,clean-candidate
SB-0318,clean-candidate,clean-candidate
SB-0323,clean-candidate,clean-candidate
SB-0325,clean-candidate,clean-candidate
SB-0326,clean-candidate,clean-candidate
SB-0335,clean-candidate,clean-candidate
SB-0338,clean-candidate,clean-candidate
SB-0339,clean-candidate,clean-candidate
SB-0341,clean-candidate,clean-candidate
SB-0342,clean-candidate,clean-candidate
SB-0344,clean-candidate,clean-candidate
SB-0345,clean-candidate,clean-candidate
SB-0346,clean-candidate,clean-candidate
SB-0347,clean-candidate,clean-candidate
SB-0348,clean-candidate,clean-candidate
SB-0358,clean-candidate,clean-candidate
SB-0361,clean-candidate,clean-candidate
SB-0362,clean-candidate,clean-candidate
SB-0365,clean-candidate,clean-candidate
SB-0367,clean-candidate,clean-candidate
SB-0368,clean-candidate,clean-candidate
SB-0370,clean-candidate,clean-candidate
SB-0373,clean-candidate,clean-candidate
SB-0375,clean-candidate,clean-candidate
SB-0376,clean-candidate,clean-candidate
SB-0379,clean-candidate,clean-candidate
SB-0381,clean-candidate,clean-candidate
SB-0386,clean-candidate,clean-candidate
SB-0387,clean-candidate,clean-candidate
SB-0388,clean-candidate,clean-candidate
SB-0393,clean-candidate,clean-candidate
SB-0394,clean-candidate,clean-candidate
SB-0402,clean-candidate,clean-candidate
SB-0403,clean-candidate,clean-candidate
SB-0407,clean-candidate,clean-candidate
SB-0408,clean-candidate,clean-candidate
SB-0413,clean-candidate,clean-candidate
SB-0419,clean-candidate,clean-candidate
SB-0422,clean-candidate,clean-candidate
SB-0426,clean-candidate,clean-candidate
SB-0429,clean-candidate,clean-candidate
SB-0431,clean-candidate,clean-candidate
SB-0433,clean-candidate,clean-candidate
SB-0434,clean-candidate,clean-candidate
SB-0436,clean-candidate,clean-candidate
SB-0444,clean-candidate,clean-candidate
SB-0453,clean-candidate,clean-candidate
SB-0455,clean-candidate,clean-candidate
SB-0457,clean-candidate,clean-candidate
SB-0458,clean-candidate,clean-candidate
SB-0460,clean-candidate,clean-candidate
SB-0464,clean-candidate,clean-candidate
SB-0466,clean-candidate,clean-candidate
SB-0468,clean-candidate,clean-candidate
SB-0470,clean-candidate,clean-candidate
SB-0479,clean-candidate,clean-candidate
SB-0480,clean-candidate,clean-candidate
SB-0482,clean-candidate,clean-candidate
SB-0489,clean-candidate,clean-candidate
SB-0499,clean-candidate,clean-candidate
SB-0501,clean-candidate,clean-candidate
SB-0503,clean-candidate,clean-candidate
SB-0511,clean-candidate,clean-candidate
SB-0513,clean-candidate,clean-candidate
SB-0514,clean-candidate,clean-candidate
SB-0515,clean-candidate,clean-candidate
SB-0520,clean-candidate,clean-candidate
SB-0522,clean-candidate,clean-candidate
SB-0523,clean-candidate,clean-candidate
SB-0524,clean-candidate,clean-candidate
SB-0528,clean-candidate,clean-candidate
SB-0534,clean-candidate,clean-candidate
SB-0535,clean-candidate,clean-candidate
SB-0546,clean-candidate,clean-candidate
SB-0550,clean-candidate,clean-candidate
SB-0551,clean-candidate,clean-candidate
SB-0553,clean-candidate,clean-candidate
SB-0559,clean-candidate,clean-candidate
SB-0560,clean-candidate,clean-candidate
SB-0561,clean-candidate,clean-candidate
SB-0562,clean-candidate,clean-candidate
SB-0564,clean-candidate,clean-candidate
SB-0566,clean-candidate,clean-candidate
SB-0568,clean-candidate,clean-candidate
SB-0574,clean-candidate,clean-candidate
SB-0575,clean-candidate,clean-candidate
SB-0578,clean-candidate,clean-candidate
SB-0579,clean-candidate,clean-candidate
SB-0580,clean-candidate,clean-candidate
SB-0582,clean-candidate,clean-candidate
SB-0585,clean-candidate,clean-candidate
SB-0586,clean-candidate,clean-candidate
SB-0587,clean-candidate,clean-candidate
SB-0589,clean-candidate,clean-candidate
SB-0590,clean-candidate,clean-candidate
SB-0591,clean-candidate,clean-candidate
SB-0593,clean-candidate,clean-candidate
SB-0595,clean-candidate,clean-candidate
SB-0596,clean-candidate,clean-candidate
SB-0598,clean-candidate,clean-candidate
SB-0600,clean-candidate,clean-candidate
SB-0605,clean-candidate,clean-candidate
SB-0610,clean-candidate,clean-candidate
SB-0611,clean-candidate,clean-candidate
SB-0626,clean-candidate,clean-candidate
SB-0628,clean-candidate,clean-candidate
SB-0629,clean-candidate,clean-candidate
SB-0630,clean-candidate,clean-candidate
SB-0631,clean-candidate,clean-candidate
SB-0632,clean-candidate,clean-candidate
SB-0633,clean-candidate,clean-candidate
SB-0635,clean-candidate,clean-candidate
SB-0648,clean-candidate,clean-candidate
SB-0650,clean-candidate,clean-candidate
SB-0653,clean-candidate,clean-candidate
SB-0656,clean-candidate,clean-candidate
SB-0668,clean-candidate,clean-candidate
SB-0671,clean-candidate,clean-candidate
SB-0672,clean-candidate,clean-candidate
SB-0674,clean-candidate,clean-candidate
SB-0676,clean-candidate,clean-candidate
SB-0678,clean-candidate,clean-candidate
SB-0681,clean-candidate,clean-candidate
SB-0685,clean-candidate,clean-candidate
SB-0687,clean-candidate,clean-candidate
SB-0688,clean-candidate,clean-candidate
SB-0689,clean-candidate,clean-candidate
SB-0692,clean-candidate,clean-candidate
SB-0697,clean-candidate,clean-candidate
SB-0704,clean-candidate,clean-candidate
SB-0709,clean-candidate,clean-candidate
SB-0711,clean-candidate,clean-candidate
SB-0713,clean-candidate,clean-candidate
SB-0714,clean-candidate,clean-candidate
SB-0715,clean-candidate,clean-candidate
SB-0720,clean-candidate,clean-candidate
SB-0723,clean-candidate,clean-candidate
SB-0726,clean-candidate,clean-candidate
SB-0728,clean-candidate,clean-candidate
SB-0729,clean-candidate,clean-candidate
SB-0730,clean-candidate,clean-candidate
SB-0732,clean-candidate,clean-candidate
SB-0741,clean-candidate,clean-candidate
SB-0742,clean-candidate,clean-candidate
SB-0743,clean-candidate,clean-candidate
SB-0746,clean-candidate,clean-candidate
SB-0747,clean-candidate,clean-candidate
SB-0751,clean-candidate,clean-candidate
SB-0752,clean-candidate,clean-candidate
SB-0755,clean-candidate,clean-candidate
SB-0756,clean-candidate,clean-candidate
SB-0757,clean-candidate,clean-candidate
SB-0760,clean-candidate,clean-candidate
SB-0762,clean-candidate,clean-candidate
SB-0763,clean-candidate,clean-candidate
SB-0768,clean-candidate,clean-candidate
SB-0770,clean-candidate,clean-candidate
SB-0771,clean-candidate,clean-candidate
SB-0774,clean-candidate,clean-candidate
SB-0776,clean-candidate,clean-candidate
SB-0779,clean-candidate,clean-candidate
SB-0784,clean-candidate,clean-candidate
SB-0787,clean-candidate,clean-candidate
SB-0788,clean-candidate,clean-candidate
SB-0791,clean-candidate,clean-candidate
SB-0792,clean-candidate,clean-candidate
SB-0795,clean-candidate,clean-candidate
SB-0796,clean-candidate,clean-candidate
SB-0801,clean-candidate,clean-candidate
SB-0802,clean-candidate,clean-candidate
SB-0807,clean-candidate,clean-candidate
SB-0808,clean-candidate,clean-candidate
SB-0810,clean-candidate,clean-candidate
SB-0811,clean-candidate,clean-candidate
SB-0821,clean-candidate,clean-candidate
SB-0822,clean-candidate,clean-candidate
SB-0825,clean-candidate,clean-candidate
SB-0833,clean-candidate,clean-candidate
SB-0837,clean-candidate,clean-candidate
SB-0839,clean-candidate,clean-candidate
SB-0845,clean-candidate,clean-candidate
SB-0846,clean-candidate,clean-candidate
SB-0847,clean-candidate,clean-candidate
SB-0854,clean-candidate,clean-candidate
SB-0856,clean-candidate,clean-candidate
SB-0859,clean-candidate,clean-candidate
SB-0864,clean-candidate,clean-candidate
SB-0868,clean-candidate,clean-candidate
SB-0873,clean-candidate,clean-candidate
SB-0877,clean-candidate,clean-candidate
SB-0879,clean-candidate,clean-candidate
SB-0880,clean-candidate,clean-candidate
SB-0886,clean-candidate,clean-candidate
SB-0887,clean-candidate,clean-candidate
SB-0888,clean-candidate,clean-candidate
SB-0890,clean-candidate,clean-candidate
SB-0894,clean-candidate,clean-candidate
SB-0896,clean-candidate,clean-candidate
SB-0900,clean-candidate,clean-candidate
SB-0903,clean-candidate,clean-candidate
SB-0904,clean-candidate,clean-candidate
SB-0905,clean-candidate,clean-candidate
SB-0912,clean-candidate,clean-candidate
SB-0915,clean-candidate,clean-candidate
SB-0919,clean-candidate,clean-candidate
SB-0920,clean-candidate,clean-candidate
SB-0921,clean-candidate,clean-candidate
SB-0924,clean-candidate,clean-candidate
SB-0930,clean-candidate,clean-candidate
SB-0937,clean-candidate,clean-candidate
SB-0938,clean-candidate,clean-candidate
SB-0939,clean-candidate,clean-candidate
SB-0949,clean-candidate,clean-candidate
SB-0952,clean-candidate,clean-candidate
SB-0955,clean-candidate,clean-candidate
SB-0957,clean-candidate,clean-candidate
SB-0959,clean-candidate,clean-candidate
SB-0967,clean-candidate,clean-candidate
SB-0968,clean-candidate,clean-candidate
SB-0969,clean-candidate,clean-candidate
SB-0970,clean-candidate,clean-candidate
SB-0971,clean-candidate,clean-candidate
SB-0974,clean-candidate,clean-candidate
SB-0975,clean-candidate,clean-candidate
SB-0979,clean-candidate,clean-candidate
SB-0983,clean-candidate,clean-candidate
SB-0984,clean-candidate,clean-candidate
SB-0990,clean-candidate,clean-candidate
SB-0996,clean-candidate,clean-candidate
SB-1001,clean-candidate,clean-candidate
SB-1006,clean-candidate,clean-candidate
SB-1016,clean-candidate,clean-candidate
SB-1018,clean-candidate,clean-candidate
SB-1020,clean-candidate,clean-candidate
SB-1022,clean-candidate,clean-candidate
SB-1024,clean-candidate,clean-candidate
SB-1031,clean-candidate,clean-candidate
SB-1033,clean-candidate,clean-candidate
SB-1042,clean-candidate,clean-candidate
SB-1045,clean-candidate,clean-candidate
SB-1047,clean-candidate,clean-candidate
SB-1049,clean-candidate,clean-candidate
SB-1051,clean-candidate,clean-candidate
SB-1057,clean-candidate,clean-candidate
SB-1060,clean-candidate,clean-candidate
SB-1062,clean-candidate,clean-candidate
SB-1063,clean-candidate,clean-candidate
SB-1066,clean-candidate,clean-candidate
SB-1069,clean-candidate,clean-candidate
SB-1072,clean-candidate,clean-candidate
SB-1074,clean-candidate,clean-candidate
SB-1076,clean-candidate,clean-candidate
SB-1078,clean-candidate,clean-candidate
SB-1083,clean-candidate,clean-candidate
SB-1086,clean-candidate,clean-candidate
SB-1091,clean-candidate,clean-candidate
SB-1095,clean-candidate,clean-candidate
SB-1101,clean-candidate,clean-candidate
SB-1102,clean-candidate,clean-candidate
SB-1112,clean-candidate,clean-candidate
SB-1114,clean-candidate,clean-candidate
SB-1115,clean-candidate,clean-candidate
SB-1120,clean-candidate,clean-candidate
SB-1122,clean-candidate,clean-candidate
SB-1123,clean-candidate,clean-candidate
SB-1125,clean-candidate,clean-candidate
SB-1131,clean-candidate,clean-candidate
SB-1133,clean-candidate,clean-candidate
SB-1135,clean-candidate,clean-candidate
SB-1136,clean-candidate,clean-candidate
SB-1139,clean-candidate,clean-candidate
SB-1140,clean-candidate,clean-candidate
SB-1144,clean-candidate,clean-candidate
SB-1150,clean-candidate,clean-candidate
SB-1151,clean-candidate,clean-candidate
SB-1156,clean-candidate,clean-candidate
SB-1158,clean-candidate,clean-candidate
SB-1163,clean-candidate,clean-candidate
SB-1172,clean-candidate,clean-candidate
SB-1177,clean-candidate,clean-candidate
SB-1178,clean-candidate,clean-candidate
SB-1181,clean-candidate,clean-candidate
SB-1183,clean-candidate,clean-candidate
SB-1185,clean-candidate,clean-candidate
SB-1186,clean-candidate,clean-candidate
SB-1190,clean-candidate,clean-candidate
SB-1192,clean-candidate,clean-candidate
SB-1202,clean-candidate,clean-candidate
SB-1207,clean-candidate,clean-candidate
SB-1208,clean-candidate,clean-candidate
SB-1209,clean-candidate,clean-candidate
SB-1212,clean-candidate,clean-candidate
SB-1217,clean-candidate,clean-candidate
SB-1219,clean-candidate,clean-candidate
SB-1221,clean-candidate,clean-candidate
SB-1224,clean-candidate,clean-candidate
SB-1225,clean-candidate,clean-candidate
SB-1227,clean-candidate,clean-candidate
SB-1228,clean-candidate,clean-candidate
SB-1232,clean-candidate,clean-candidate
SB-1234,clean-candidate,clean-candidate
SB-1238,clean-candidate,clean-candidate
SB-1239,clean-candidate,clean-candidate
SB-1240,clean-candidate,clean-candidate
SB-1242,clean-candidate,clean-candidate
SB-1244,clean-candidate,clean-candidate
SB-1249,clean-candidate,clean-candidate
SB-1250,clean-candidate,clean-candidate
SB-1253,clean-candidate,clean-candidate
SB-1258,clean-candidate,clean-candidate
SB-1260,clean-candidate,clean-candidate
SB-1263,clean-candidate,clean-candidate
SB-1266,clean-candidate,clean-candidate
SB-1277,clean-candidate,clean-candidate
SB-1280,clean-candidate,clean-candidate
SB-1282,clean-candidate,clean-candidate
SB-1288,clean-candidate,clean-candidate
SB-1289,clean-candidate,clean-candidate
SB-1291,clean-candidate,clean-candidate
SB-1292,clean-candidate,clean-candidate
SB-1302,clean-candidate,clean-candidate
SB-1304,clean-candidate,clean-candidate
SB-1311,clean-candidate,clean-candidate
SB-1316,clean-candidate,clean-candidate
SB-1322,clean-candidate,clean-candidate
SB-1324,clean-candidate,clean-candidate
SB-1325,clean-candidate,clean-candidate
SB-1329,clean-candidate,clean-candidate
SB-1330,clean-candidate,clean-candidate
SB-1332,clean-candidate,clean-candidate
SB-1333,clean-candidate,clean-candidate
SB-1337,clean-candidate,clean-candidate
SB-1342,clean-candidate,clean-candidate
SB-1346,clean-candidate,clean-candidate
SB-1348,clean-candidate,clean-candidate
SB-1349,clean-candidate,clean-candidate
SB-1350,clean-candidate,clean-candidate
SB-1353,clean-candidate,clean-candidate
SB-1354,clean-candidate,clean-candidate
SB-1357,clean-candidate,clean-candidate
SB-1358,clean-candidate,clean-candidate
SB-1359,clean-candidate,clean-candidate
SB-1361,clean-candidate,clean-candidate
SB-1363,clean-candidate,clean-candidate
SB-1366,clean-candidate,clean-candidate
SB-1368,clean-candidate,clean-candidate
SB-1369,clean-candidate,clean-candidate
SB-1370,clean-candidate,clean-candidate
SB-1375,clean-candidate,clean-candidate
SB-1379,clean-candidate,clean-candidate
SB-1380,clean-candidate,clean-candidate
SB-1381,clean-candidate,clean-candidate
SB-1382,clean-candidate,clean-candidate
SB-1385,clean-candidate,clean-candidate
SB-1388,clean-candidate,clean-candidate
SB-1391,clean-candidate,clean-candidate
SB-1392,clean-candidate,clean-candidate
SB-1397,clean-candidate,clean-candidate
SB-1399,clean-candidate,clean-candidate
SB-1401,clean-candidate,clean-candidate
SB-1403,clean-candidate,clean-candidate
SB-1405,clean-candidate,clean-candidate
SB-1411,clean-candidate,clean-candidate
SB-1422,clean-candidate,clean-candidate
SB-1430,clean-candidate,clean-candidate
SB-1434,clean-candidate,clean-candidate
SB-1436,clean-candidate,clean-candidate
SB-1439,clean-candidate,clean-candidate
SB-1445,clean-candidate,clean-candidate
SB-1450,clean-candidate,clean-candidate
SB-1451,clean-candidate,clean-candidate
SB-1456,clean-candidate,clean-candidate
SB-1458,clean-candidate,clean-candidate
SB-1459,clean-candidate,clean-candidate
SB-1461,clean-candidate,clean-candidate
SB-1466,clean-candidate,clean-candidate
SB-1468,clean-candidate,clean-candidate
SB-1472,clean-candidate,clean-candidate
SB-1473,clean-candidate,clean-candidate
SB-1478,clean-candidate,clean-candidate
SB-1485,clean-candidate,clean-candidate
SB-1493,clean-candidate,clean-candidate
SB-1494,clean-candidate,clean-candidate
SB-1496,clean-candidate,clean-candidate
SB-1497,clean-candidate,clean-candidate
SB-1498,clean-candidate,clean-candidate
SB-1500,clean-candidate,clean-candidate
SB-1507,clean-candidate,clean-candidate
SB-1508,clean-candidate,clean-candidate
SB-1515,clean-candidate,clean-candidate
SB-1516,clean-candidate,clean-candidate
SB-1520,clean-candidate,clean-candidate
SB-1527,clean-candidate,clean-candidate
SB-1533,clean-candidate,clean-candidate
SB-1534,clean-candidate,clean-candidate
SB-1536,clean-candidate,clean-candidate
SB-1539,clean-candidate,clean-candidate
SB-1542,clean-candidate,clean-candidate
SB-1546,clean-candidate,clean-candidate
SB-1547,clean-candidate,clean-candidate
SB-1554,clean-candidate,clean-candidate
SB-1555,clean-candidate,clean-candidate
SB-1561,clean-candidate,clean-candidate
SB-1562,clean-candidate,clean-candidate
SB-1564,clean-candidate,clean-candidate
SB-1566,clean-candidate,clean-candidate
SB-1568,clean-candidate,clean-candidate
SB-1576,clean-candidate,clean-candidate
SB-1579,clean-candidate,clean-candidate
SB-1580,clean-candidate,clean-candidate
SB-1582,clean-candidate,clean-candidate
SB-1591,clean-candidate,clean-candidate
SB-1593,clean-candidate,clean-candidate
SB-1597,clean-candidate,clean-candidate
SB-1598,clean-candidate,clean-candidate
SB-1599,clean-candidate,clean-candidate
SB-1601,clean-candidate,clean-candidate
SB-1602,clean-candidate,clean-candidate
SB-1606,clean-candidate,clean-candidate
SB-1608,clean-candidate,clean-candidate
SB-1610,clean-candidate,clean-candidate
SB-1614,clean-candidate,clean-candidate
SB-1615,clean-candidate,clean-candidate
SB-1618,clean-candidate,clean-candidate
SB-1619,clean-candidate,clean-candidate
SB-1623,clean-candidate,clean-candidate
SB-1628,clean-candidate,clean-candidate
SB-1639,clean-candidate,clean-candidate
SB-1641,clean-candidate,clean-candidate
SB-1642,clean-candidate,clean-candidate
SB-1644,clean-candidate,clean-candidate
SB-1645,clean-candidate,clean-candidate
SB-1646,clean-candidate,clean-candidate
SB-1647,clean-candidate,clean-candidate
SB-1648,clean-candidate,clean-candidate
SB-1649,clean-candidate,clean-candidate
SB-1651,clean-candidate,clean-candidate
SB-1652,clean-candidate,clean-candidate
SB-1658,clean-candidate,clean-candidate
SB-1660,clean-candidate,clean-candidate
SB-1662,clean-candidate,clean-candidate
SB-1664,clean-candidate,clean-candidate
SB-1667,clean-candidate,clean-candidate
SB-1670,clean-candidate,clean-candidate
SB-1672,clean-candidate,clean-candidate
SB-1675,clean-candidate,clean-candidate
SB-1683,clean-candidate,clean-candidate
SB-1686,clean-candidate,clean-candidate
SB-1699,clean-candidate,clean-candidate
SB-1700,clean-candidate,clean-candidate
SB-1701,clean-candidate,clean-candidate
SB-1705,clean-candidate,clean-candidate
SB-1708,clean-candidate,clean-candidate
SB-1711,clean-candidate,clean-candidate
SB-1712,clean-candidate,clean-candidate
SB-1713,clean-candidate,clean-candidate
SB-1714,clean-candidate,clean-candidate
SB-1716,clean-candidate,clean-candidate
SB-1717,clean-candidate,clean-candidate
SB-1719,clean-candidate,clean-candidate
SB-1722,clean-candidate,clean-candidate
SB-1732,clean-candidate,clean-candidate
SB-1734,clean-candidate,clean-candidate
SB-1739,clean-candidate,clean-candidate
SB-1740,clean-candidate,clean-candidate
SB-1744,clean-candidate,clean-candidate
SB-1746,clean-candidate,clean-candidate
SB-1749,clean-candidate,clean-candidate
SB-1755,clean-candidate,clean-candidate
SB-1757,clean-candidate,clean-candidate
SB-1758,clean-candidate,clean-candidate
SB-1761,clean-candidate,clean-candidate
SB-1772,clean-candidate,clean-candidate
SB-1774,clean-candidate,clean-candidate
