chunk,seq,id,pass_a_disposition,pass_b_disposition
3,268,SB-1254,P2,clean-candidate
3,269,SB-1443,P1,P2
3,270,SB-1544,P1,P2
3,271,SB-0718,P1,clean-candidate
3,272,SB-1356,P1,clean-candidate
3,273,SB-0132,P2,clean-candidate
3,274,SB-0614,P1,clean-candidate
3,275,SB-0719,P2,clean-candidate
3,276,SB-1640,P1,P2
3,277,SB-0188,P1,clean-candidate
3,278,SB-0352,P1,clean-candidate
3,279,SB-0733,P2,clean-candidate
3,280,SB-1502,P2,clean-candidate
3,281,SB-1310,P1,clean-candidate
3,282,SB-1303,P2,P2
3,283,SB-0048,P1,clean-candidate
3,284,SB-0800,P1,clean-candidate
3,285,SB-1100,P1,clean-candidate
3,286,SB-1477,P2,clean-candidate
3,287,SB-0241,P2,clean-candidate
3,288,SB-0527,P2,clean-candidate
3,289,SB-0812,P1,clean-candidate
3,290,SB-0662,P2,clean-candidate
3,291,SB-0055,P1,clean-candidate
3,292,SB-0030,P2,clean-candidate
3,293,SB-0252,P2,clean-candidate
3,294,SB-0337,P1,clean-candidate
3,295,SB-1778,P2,clean-candidate
3,296,SB-1438,P1,clean-candidate
3,297,SB-0995,P1,clean-candidate
3,298,SB-0441,P1,clean-candidate
3,299,SB-0543,P1,clean-candidate
3,300,SB-1737,P2,clean-candidate
3,301,SB-1563,P1,clean-candidate
3,302,SB-0848,P1,clean-candidate
3,303,SB-1723,P1,clean-candidate
3,304,SB-1540,P2,P2
3,305,SB-0753,P2,clean-candidate
3,306,SB-1481,P2,clean-candidate
3,307,SB-0114,P1,P2
3,308,SB-0026,P2,clean-candidate
3,309,SB-1155,P2,clean-candidate
3,310,SB-0087,P1,clean-candidate
3,311,SB-1678,P2,clean-candidate
3,312,SB-0980,P1,clean-candidate
3,313,SB-0084,P1,clean-candidate
3,314,SB-1545,P1,clean-candidate
3,315,SB-0290,P1,P2
3,316,SB-1327,P1,clean-candidate
3,317,SB-0186,P2,clean-candidate
3,318,SB-0158,P1,clean-candidate
3,319,SB-0882,clean-candidate,P2
3,320,SB-1603,P1,clean-candidate
3,321,SB-1223,P1,clean-candidate
3,322,SB-1041,P1,clean-candidate
3,323,SB-0478,P1,clean-candidate
3,324,SB-1082,P1,clean-candidate
3,325,SB-0320,P2,clean-candidate
3,326,SB-1777,P2,clean-candidate
