stable_id,word,field,category,severity,original_text,correction,rationale,confidence,discovery_source,discovery_date,disposition
SB-0554,grief,definitionUa,other,P1,"Емоційний біль, як правило, виникає через нещастя, значну особисту втрату, втрату, погану поведінку себе чи інших тощо; смуток; смуток.","Емоційний біль, як правило, виникає через нещастя, значну особисту втрату, погану поведінку себе чи інших тощо; смуток.","Adjacent/punctuation-separated identical-word duplication removed (repeated: втрату, смуток).",high,T5-B full-bank definitionUa repeat scan (adjacent+punctuation-separated),2026-09-10,corrected
SB-0576,hazard,definitionUa,other,P1,"Можливість зазнати шкоди; небезпека, небезпека, ризик втрати.","Можливість зазнати шкоди; небезпека, ризик втрати.",Adjacent/punctuation-separated identical-word duplication removed (repeated: небезпека).,high,T5-B full-bank definitionUa repeat scan (adjacent+punctuation-separated),2026-09-10,corrected
SB-0577,heighten,definitionUa,other,P1,"Просувати, збільшувати, збільшувати, робити більшим, інтенсивнішим, сильнішим тощо.","Просувати, збільшувати, робити більшим, інтенсивнішим, сильнішим тощо.",Adjacent/punctuation-separated identical-word duplication removed (repeated: збільшувати).,high,T5-B full-bank definitionUa repeat scan (adjacent+punctuation-separated),2026-09-10,corrected
SB-0613,indictment,definitionUa,other,P1,"Офіційне офіційне звинувачення у вчиненні кримінального правопорушення або процес, за допомогою якого воно доводиться до суду присяжних.","Офіційне звинувачення у вчиненні кримінального правопорушення або процес, за допомогою якого воно доводиться до суду присяжних.",Adjacent/punctuation-separated identical-word duplication removed (repeated: офіційне).,high,T5-B full-bank definitionUa repeat scan (adjacent+punctuation-separated),2026-09-10,corrected
SB-0665,invoke,definitionUa,other,P1,"Закликати (людину, бога) про допомогу, допомогу чи керівництво.","Закликати (людину, бога) про допомогу чи керівництво.",Adjacent/punctuation-separated identical-word duplication removed (repeated: допомогу).,high,T5-B full-bank definitionUa repeat scan (adjacent+punctuation-separated),2026-09-10,corrected
SB-0735,manipulate,definitionUa,other,P1,"Впливати, керувати, керувати, контролювати або змінювати щось","Впливати, керувати, контролювати або змінювати щось",Adjacent/punctuation-separated identical-word duplication removed (repeated: керувати).,high,T5-B full-bank definitionUa repeat scan (adjacent+punctuation-separated),2026-09-10,corrected
SB-0739,marginal,definitionUa,other,P1,"З, пов’язаний із або розташований на або поблизу краю чи краю; також переносне вживання розташування та краю (краю).","З, пов’язаний із або розташований на або поблизу краю; також переносне вживання розташування та краю.",Adjacent/punctuation-separated identical-word duplication removed (repeated: краю). Connector-separated remnant in the same field also cleaned.,high,T5-B full-bank definitionUa repeat scan (adjacent+punctuation-separated),2026-09-10,corrected
SB-0758,mere,definitionUa,other,P1,"Тільки, тільки; не більше ніж, чисто і просто, не більше і не краще, ніж можна було очікувати.","Тільки; не більше ніж, чисто і просто, не більше і не краще, ніж можна було очікувати.",Adjacent/punctuation-separated identical-word duplication removed (repeated: тільки).,high,T5-B full-bank definitionUa repeat scan (adjacent+punctuation-separated),2026-09-10,corrected
SB-0759,merely,definitionUa,other,P1,"Без будь-якої іншої причини тощо; тільки, тільки, і більше нічого.","Без будь-якої іншої причини тощо; тільки, і більше нічого.",Adjacent/punctuation-separated identical-word duplication removed (repeated: тільки).,high,T5-B full-bank definitionUa repeat scan (adjacent+punctuation-separated),2026-09-10,corrected
SB-0891,predecessor,definitionUa,other,P1,"Той, хто передує; той, хто передував іншому в будь-якому стані, посаді, посаді тощо; той, за ким слідує або приходить інший на будь-якій посаді чи посаді.","Той, хто передує; той, хто передував іншому в будь-якому стані, посаді тощо; той, за ким слідує або приходить інший на будь-якій посаді.",Adjacent/punctuation-separated identical-word duplication removed (repeated: посаді). Connector-separated remnant in the same field also cleaned.,high,T5-B full-bank definitionUa repeat scan (adjacent+punctuation-separated),2026-09-10,corrected
SB-0985,reliability,definitionUa,other,P1,"Якість бути надійним, надійним або гідним довіри.",Якість бути надійним або гідним довіри.,Adjacent/punctuation-separated identical-word duplication removed (repeated: надійним).,high,T5-B full-bank definitionUa repeat scan (adjacent+punctuation-separated),2026-09-10,corrected
SB-0994,renowned,definitionUa,other,P1,"Знаменитий, знаменитий або добре відомий; широко хвалили або високо шанували.",Знаменитий або добре відомий; широко хвалили або високо шанували.,Adjacent/punctuation-separated identical-word duplication removed (repeated: знаменитий).,high,T5-B full-bank definitionUa repeat scan (adjacent+punctuation-separated),2026-09-10,corrected
SB-1035,sacred,definitionUa,other,P1,"Характеризується урочистою релігійною церемонією або релігійним використанням, особливо в позитивному сенсі; освячений, освячений.","Характеризується урочистою релігійною церемонією або релігійним використанням, особливо в позитивному сенсі; освячений.",Adjacent/punctuation-separated identical-word duplication removed (repeated: освячений).,high,T5-B full-bank definitionUa repeat scan (adjacent+punctuation-separated),2026-09-10,corrected
SB-1071,simulate,definitionUa,other,P1,"Змоделювати, відтворити, відтворити поведінку, зовнішній вигляд або властивості.","Змоделювати, відтворити поведінку, зовнішній вигляд або властивості.",Adjacent/punctuation-separated identical-word duplication removed (repeated: відтворити).,high,T5-B full-bank definitionUa repeat scan (adjacent+punctuation-separated),2026-09-10,corrected
SB-1199,thereafter,definitionUa,other,P1,"Після того, відтоді; відтоді.","Після того, відтоді.",Adjacent/punctuation-separated identical-word duplication removed (repeated: відтоді).,high,T5-B full-bank definitionUa repeat scan (adjacent+punctuation-separated),2026-09-10,corrected
SB-1230,transparent,definitionUa,other,P1,"Прозорий, прозорий; має властивість, що світло проходить крізь нього майже без перешкод, так що можна чітко бачити крізь нього.","Прозорий; має властивість, що світло проходить крізь нього майже без перешкод, так що можна чітко бачити крізь нього.",Adjacent/punctuation-separated identical-word duplication removed (repeated: прозорий).,high,T5-B full-bank definitionUa repeat scan (adjacent+punctuation-separated),2026-09-10,corrected
SB-1259,utterly,definitionUa,other,P1,Повністю; повністю; в повній мірі.,Повністю; в повній мірі.,Adjacent/punctuation-separated identical-word duplication removed (repeated: повністю).,high,T5-B full-bank definitionUa repeat scan (adjacent+punctuation-separated),2026-09-10,corrected
SB-1360,required,definitionUa,other,P1,Необхідний; обов'язковий; обов'язковий.,Необхідний; обов'язковий.,Adjacent/punctuation-separated identical-word duplication removed (repeated: обов'язковий).,high,T5-B full-bank definitionUa repeat scan (adjacent+punctuation-separated),2026-09-10,corrected
SB-1486,apparent,definitionUa,other,P1,Ясний або явний для розуміння; звичайний; очевидний; очевидний; відомий; відчутний; безсумнівний.,Ясний або явний для розуміння; звичайний; очевидний; відомий; відчутний; безсумнівний.,Adjacent/punctuation-separated identical-word duplication removed (repeated: очевидний).,high,T5-B full-bank definitionUa repeat scan (adjacent+punctuation-separated),2026-09-10,corrected
SB-1553,equivalent,definitionUa,other,P1,"Подібні або ідентичні за значенням, значенням або ефектом; практично рівні.",Подібні або ідентичні за значенням або ефектом; практично рівні.,Adjacent/punctuation-separated identical-word duplication removed (repeated: значенням).,high,T5-B full-bank definitionUa repeat scan (adjacent+punctuation-separated),2026-09-10,corrected
SB-1631,aid,definitionUa,other,P1,"допомога; допомога; допомога, полегшення.","Допомога, полегшення.",Adjacent/punctuation-separated identical-word duplication removed (repeated: допомога).,high,T5-B full-bank definitionUa repeat scan (adjacent+punctuation-separated),2026-09-10,corrected
SB-1671,topic,definitionUa,other,P1,Тема; тема; категорія або загальна сфера інтересів.,Тема; категорія або загальна сфера інтересів.,Adjacent/punctuation-separated identical-word duplication removed (repeated: тема).,high,T5-B full-bank definitionUa repeat scan (adjacent+punctuation-separated),2026-09-10,corrected
SB-1736,diminished,definitionUa,other,P1,"зменшений, зменшений",Зменшений,Adjacent/punctuation-separated identical-word duplication removed (repeated: зменшений).,high,T5-B full-bank definitionUa repeat scan (adjacent+punctuation-separated),2026-09-10,corrected
SB-1775,invoked,definitionUa,other,P1,"Закликати (людину, бога) про допомогу, допомогу чи керівництво.","Закликати (людину, бога) про допомогу чи керівництво.",Adjacent/punctuation-separated identical-word duplication removed (repeated: допомогу).,high,T5-B full-bank definitionUa repeat scan (adjacent+punctuation-separated),2026-09-10,corrected
SB-0660,intervention,definitionUa,other,benign,Дія втручання; втручання в якийсь хід подій.,,"Two distinct semicolon glosses ('Дія втручання' vs 'втручання в якийсь хід подій'); the second instance heads a separate descriptive phrase, not a bare duplicate.",high,T5-B full-bank definitionUa repeat scan (adjacent+punctuation-separated),2026-09-10,benign-allowlisted
SB-1197,theology,definitionUa,other,benign,"Вивчення Бога, бога або богів; і про правдивість релігії взагалі.",,Intentional theological distinction 'Бога' (God) vs 'бога' (a god); the case difference is meaningful and correct Ukrainian.,high,T5-B full-bank definitionUa repeat scan (adjacent+punctuation-separated),2026-09-10,benign-allowlisted
SB-0007,abuse,definitionUa,other,P1,Привести до неправильного використання; неправильно застосувати; використовувати неналежним чином; використовувати з неправильною метою чи метою; збочувати,Привести до неправильного використання; неправильно застосувати; використовувати неналежним чином; використовувати з неправильною метою; збочувати,"Connector-separated identical-word repetition (метою чи метою); distinct class, NOT in T5-B adjacent/punctuation scan scope; proposed correction is mechanical and unadjudicated.",medium,T5-B connector-separated diagnostic scan (out-of-scope discovery),2026-09-10,open-deferred-followup
SB-0017,accumulate,definitionUa,other,P1,Поступово зростати або збільшуватися в кількості чи кількості.,Поступово зростати або збільшуватися в кількості.,"Connector-separated identical-word repetition (кількості чи кількості); distinct class, NOT in T5-B adjacent/punctuation scan scope; proposed correction is mechanical and unadjudicated.",medium,T5-B connector-separated diagnostic scan (out-of-scope discovery),2026-09-10,open-deferred-followup
SB-0031,administer,definitionUa,other,P1,"Керувати або контролювати проведення, виконання або виконання; керувати або регулювати параметри проведення, виконання або виконання; працювати на адміністративній посаді.","Керувати або контролювати проведення, виконання; керувати або регулювати параметри проведення, виконання; працювати на адміністративній посаді.","Connector-separated identical-word repetition (виконання або виконання; виконання або виконання); distinct class, NOT in T5-B adjacent/punctuation scan scope; proposed correction is mechanical and unadjudicated.",medium,T5-B connector-separated diagnostic scan (out-of-scope discovery),2026-09-10,open-deferred-followup
SB-0032,administrative,definitionUa,other,P1,Що стосується адміністрування або адміністрування.,Що стосується адміністрування.,"Connector-separated identical-word repetition (адміністрування або адміністрування); distinct class, NOT in T5-B adjacent/punctuation scan scope; proposed correction is mechanical and unadjudicated.",medium,T5-B connector-separated diagnostic scan (out-of-scope discovery),2026-09-10,open-deferred-followup
SB-0050,alike,definitionUa,other,P1,Наявність схожості або схожості; подібний; без різниці.,Наявність схожості; подібний; без різниці.,"Connector-separated identical-word repetition (схожості або схожості); distinct class, NOT in T5-B adjacent/punctuation scan scope; proposed correction is mechanical and unadjudicated.",medium,T5-B connector-separated diagnostic scan (out-of-scope discovery),2026-09-10,open-deferred-followup
SB-0057,allowance,definitionUa,other,P1,"Сума, частка або частка, яка виділяється або надається; сума, надана як відшкодування, винагорода або відповідно до будь-якої мети.","Сума, частка, яка виділяється або надається; сума, надана як відшкодування, винагорода або відповідно до будь-якої мети.","Connector-separated identical-word repetition (частка або частка); distinct class, NOT in T5-B adjacent/punctuation scan scope; proposed correction is mechanical and unadjudicated.",medium,T5-B connector-separated diagnostic scan (out-of-scope discovery),2026-09-10,open-deferred-followup
SB-0085,aspiration,definitionUa,other,P1,"Акт прагнення або палкого бажання; палке бажання або бажання, головним чином після того, що є піднесеним або духовним (із загальними додатками до і до).","Акт прагнення або палкого бажання; палке бажання, головним чином після того, що є піднесеним або духовним (із загальними додатками до).","Connector-separated identical-word repetition (бажання або бажання; до і до); distinct class, NOT in T5-B adjacent/punctuation scan scope; proposed correction is mechanical and unadjudicated.",medium,T5-B connector-separated diagnostic scan (out-of-scope discovery),2026-09-10,open-deferred-followup
SB-0194,closure,definitionUa,other,P1,"Подія або подія, що означає кінець.","Подія, що означає кінець.","Connector-separated identical-word repetition (Подія або Подія); distinct class, NOT in T5-B adjacent/punctuation scan scope; proposed correction is mechanical and unadjudicated.",medium,T5-B connector-separated diagnostic scan (out-of-scope discovery),2026-09-10,open-deferred-followup
SB-0195,cluster,definitionUa,other,P1,"Група або група з кількох окремих предметів, розташованих близько один до одного.","Група з кількох окремих предметів, розташованих близько один до одного.","Connector-separated identical-word repetition (Група або Група); distinct class, NOT in T5-B adjacent/punctuation scan scope; proposed correction is mechanical and unadjudicated.",medium,T5-B connector-separated diagnostic scan (out-of-scope discovery),2026-09-10,open-deferred-followup
SB-0228,complication,definitionUa,other,P1,Ускладнений стан; заплутане або заплутане співвідношення частин; складність.,Ускладнений стан; заплутане співвідношення частин; складність.,"Connector-separated identical-word repetition (заплутане або заплутане); distinct class, NOT in T5-B adjacent/punctuation scan scope; proposed correction is mechanical and unadjudicated.",medium,T5-B connector-separated diagnostic scan (out-of-scope discovery),2026-09-10,open-deferred-followup
SB-0317,curiosity,definitionUa,other,P1,"допитливість; схильність запитувати та дізнаватися про речі, ставлячи запитання, досліджуючи чи досліджуючи.","допитливість; схильність запитувати та дізнаватися про речі, ставлячи запитання, досліджуючи.","Connector-separated identical-word repetition (досліджуючи чи досліджуючи); distinct class, NOT in T5-B adjacent/punctuation scan scope; proposed correction is mechanical and unadjudicated.",medium,T5-B connector-separated diagnostic scan (out-of-scope discovery),2026-09-10,open-deferred-followup
SB-0331,deed,definitionUa,other,P1,"Дія чи дія; те, що зроблено.","Дія; те, що зроблено.","Connector-separated identical-word repetition (Дія чи Дія); distinct class, NOT in T5-B adjacent/punctuation scan scope; proposed correction is mechanical and unadjudicated.",medium,T5-B connector-separated diagnostic scan (out-of-scope discovery),2026-09-10,open-deferred-followup
SB-0334,defect,definitionUa,other,P1,Несправність або несправність.,Несправність.,"Connector-separated identical-word repetition (Несправність або Несправність); distinct class, NOT in T5-B adjacent/punctuation scan scope; proposed correction is mechanical and unadjudicated.",medium,T5-B connector-separated diagnostic scan (out-of-scope discovery),2026-09-10,open-deferred-followup
SB-0421,echo,definitionUa,other,P1,Звуку або звукових хвиль: відбиватися від поверхні і повертатися; лунати або лунати.,Звуку або звукових хвиль: відбиватися від поверхні і повертатися; лунати.,"Connector-separated identical-word repetition (лунати або лунати); distinct class, NOT in T5-B adjacent/punctuation scan scope; proposed correction is mechanical and unadjudicated.",medium,T5-B connector-separated diagnostic scan (out-of-scope discovery),2026-09-10,open-deferred-followup
SB-0448,endure,definitionUa,other,P1,"Продовжувати або продовжувати, незважаючи на перешкоди чи труднощі; наполягати.","Продовжувати, незважаючи на перешкоди чи труднощі; наполягати.","Connector-separated identical-word repetition (Продовжувати або Продовжувати); distinct class, NOT in T5-B adjacent/punctuation scan scope; proposed correction is mechanical and unadjudicated.",medium,T5-B connector-separated diagnostic scan (out-of-scope discovery),2026-09-10,open-deferred-followup
SB-0456,ensue,definitionUa,other,P1,"Відбутися потім, як наслідок або наслідок.","Відбутися потім, як наслідок.","Connector-separated identical-word repetition (наслідок або наслідок); distinct class, NOT in T5-B adjacent/punctuation scan scope; proposed correction is mechanical and unadjudicated.",medium,T5-B connector-separated diagnostic scan (out-of-scope discovery),2026-09-10,open-deferred-followup
SB-0465,escalate,definitionUa,other,P1,Збільшувати (щось) обсяг або інтенсивність; посилити або посилити.,Збільшувати (щось) обсяг або інтенсивність; посилити.,"Connector-separated identical-word repetition (посилити або посилити); distinct class, NOT in T5-B adjacent/punctuation scan scope; proposed correction is mechanical and unadjudicated.",medium,T5-B connector-separated diagnostic scan (out-of-scope discovery),2026-09-10,open-deferred-followup
SB-0476,exclusion,definitionUa,other,P1,Акт виключення або виключення; зняття з розгляду або участі.,Акт виключення; зняття з розгляду або участі.,"Connector-separated identical-word repetition (виключення або виключення); distinct class, NOT in T5-B adjacent/punctuation scan scope; proposed correction is mechanical and unadjudicated.",medium,T5-B connector-separated diagnostic scan (out-of-scope discovery),2026-09-10,open-deferred-followup
SB-0497,fairness,definitionUa,other,P1,Властивість бути справедливим або справедливим.,Властивість бути справедливим.,"Connector-separated identical-word repetition (справедливим або справедливим); distinct class, NOT in T5-B adjacent/punctuation scan scope; proposed correction is mechanical and unadjudicated.",medium,T5-B connector-separated diagnostic scan (out-of-scope discovery),2026-09-10,open-deferred-followup
SB-0504,fierce,definitionUa,other,P1,"Надзвичайно насильницький, жорстокий, лютий, жорстокий або жорстокий.","Надзвичайно насильницький, жорстокий, лютий, жорстокий.","Connector-separated identical-word repetition (жорстокий або жорстокий); distinct class, NOT in T5-B adjacent/punctuation scan scope; proposed correction is mechanical and unadjudicated.",medium,T5-B connector-separated diagnostic scan (out-of-scope discovery),2026-09-10,open-deferred-followup
SB-0529,frankly,definitionUa,other,P1,"У відвертій чи відвертій формі, особливо у спосіб, який може здатися занадто відкритим, надмірно чесним або трохи відвертим.","У відвертій формі, особливо у спосіб, який може здатися занадто відкритим, надмірно чесним або трохи відвертим.","Connector-separated identical-word repetition (відвертій чи відвертій); distinct class, NOT in T5-B adjacent/punctuation scan scope; proposed correction is mechanical and unadjudicated.",medium,T5-B connector-separated diagnostic scan (out-of-scope discovery),2026-09-10,open-deferred-followup
SB-0617,inequality,definitionUa,other,P1,"Стан або стан (соціальних, культурних чи правових питань), який не є рівним; особливо така умова, яка також є несправедливою.","Стан (соціальних, культурних чи правових питань), який не є рівним; особливо така умова, яка також є несправедливою.","Connector-separated identical-word repetition (Стан або Стан); distinct class, NOT in T5-B adjacent/punctuation scan scope; proposed correction is mechanical and unadjudicated.",medium,T5-B connector-separated diagnostic scan (out-of-scope discovery),2026-09-10,open-deferred-followup
SB-0624,inhibit,definitionUa,other,P1,Стримати або стримати; тримати під контролем; стримувати.,Стримати; тримати під контролем; стримувати.,"Connector-separated identical-word repetition (Стримати або Стримати); distinct class, NOT in T5-B adjacent/punctuation scan scope; proposed correction is mechanical and unadjudicated.",medium,T5-B connector-separated diagnostic scan (out-of-scope discovery),2026-09-10,open-deferred-followup
SB-0637,instruct,definitionUa,other,P1,"Сказати (комусь), що вони повинні чи повинні робити.","Сказати (комусь), що вони повинні робити.","Connector-separated identical-word repetition (повинні чи повинні); distinct class, NOT in T5-B adjacent/punctuation scan scope; proposed correction is mechanical and unadjudicated.",medium,T5-B connector-separated diagnostic scan (out-of-scope discovery),2026-09-10,open-deferred-followup
SB-0645,integration,definitionUa,other,P1,Дія або процес створення цілого або цілого.,Дія або процес створення цілого.,"Connector-separated identical-word repetition (цілого або цілого); distinct class, NOT in T5-B adjacent/punctuation scan scope; proposed correction is mechanical and unadjudicated.",medium,T5-B connector-separated diagnostic scan (out-of-scope discovery),2026-09-10,open-deferred-followup
SB-0684,large-scale,definitionUa,other,P1,"Великі за кількістю, обсягом або обсягом.","Великі за кількістю, обсягом.","Connector-separated identical-word repetition (обсягом або обсягом); distinct class, NOT in T5-B adjacent/punctuation scan scope; proposed correction is mechanical and unadjudicated.",medium,T5-B connector-separated diagnostic scan (out-of-scope discovery),2026-09-10,open-deferred-followup
SB-0712,linger,definitionUa,other,P1,"Залишатися або залишатися в місці або ситуації, особливо якщо ви не бажаєте піти або не можете легко це зробити.","Залишатися в місці або ситуації, особливо якщо ви не бажаєте піти або не можете легко це зробити.","Connector-separated identical-word repetition (Залишатися або Залишатися); distinct class, NOT in T5-B adjacent/punctuation scan scope; proposed correction is mechanical and unadjudicated.",medium,T5-B connector-separated diagnostic scan (out-of-scope discovery),2026-09-10,open-deferred-followup
SB-0722,loop,definitionUa,other,P1,"Відрізок нитки, мотузки або мотузки, який подвоюється, щоб зробити отвір.","Відрізок нитки, мотузки, який подвоюється, щоб зробити отвір.","Connector-separated identical-word repetition (мотузки або мотузки); distinct class, NOT in T5-B adjacent/punctuation scan scope; proposed correction is mechanical and unadjudicated.",medium,T5-B connector-separated diagnostic scan (out-of-scope discovery),2026-09-10,open-deferred-followup
SB-0727,magnetic,definitionUa,other,P1,"Має властивості магніту, особливо здатність тягнути або тягнути.","Має властивості магніту, особливо здатність тягнути.","Connector-separated identical-word repetition (тягнути або тягнути); distinct class, NOT in T5-B adjacent/punctuation scan scope; proposed correction is mechanical and unadjudicated.",medium,T5-B connector-separated diagnostic scan (out-of-scope discovery),2026-09-10,open-deferred-followup
SB-0731,maintenance,definitionUa,other,P1,"Дії, які виконуються для того, щоб деяка машина чи система працювали чи працювали.","Дії, які виконуються для того, щоб деяка машина чи система працювали.","Connector-separated identical-word repetition (працювали чи працювали); distinct class, NOT in T5-B adjacent/punctuation scan scope; proposed correction is mechanical and unadjudicated.",medium,T5-B connector-separated diagnostic scan (out-of-scope discovery),2026-09-10,open-deferred-followup
SB-0734,manifest,definitionUa,other,P1,"Ясно показати; зробити так, щоб виразно виглядати, як правило, для розуму; поставити поза сумнівом чи сумнівом; відображати; виставляти.","Ясно показати; зробити так, щоб виразно виглядати, як правило, для розуму; поставити поза сумнівом; відображати; виставляти.","Connector-separated identical-word repetition (сумнівом чи сумнівом); distinct class, NOT in T5-B adjacent/punctuation scan scope; proposed correction is mechanical and unadjudicated.",medium,T5-B connector-separated diagnostic scan (out-of-scope discovery),2026-09-10,open-deferred-followup
SB-0809,notable,definitionUa,other,P1,Вартий уваги; чудовий; пам'ятний; відзначений або відзначений.,Вартий уваги; чудовий; пам'ятний; відзначений.,"Connector-separated identical-word repetition (відзначений або відзначений); distinct class, NOT in T5-B adjacent/punctuation scan scope; proposed correction is mechanical and unadjudicated.",medium,T5-B connector-separated diagnostic scan (out-of-scope discovery),2026-09-10,open-deferred-followup
SB-0815,objection,definitionUa,other,P1,"Твердження, що виражає заперечення, або причину чи причину для вираження заперечення (зазвичай із додатком до).","Твердження, що виражає заперечення, або причину для вираження заперечення (зазвичай із додатком до).","Connector-separated identical-word repetition (причину чи причину); distinct class, NOT in T5-B adjacent/punctuation scan scope; proposed correction is mechanical and unadjudicated.",medium,T5-B connector-separated diagnostic scan (out-of-scope discovery),2026-09-10,open-deferred-followup
SB-0820,occurrence,definitionUa,other,P1,"Фактичний випадок, коли виникає ситуація; подія чи подія.","Фактичний випадок, коли виникає ситуація; подія.","Connector-separated identical-word repetition (подія чи подія); distinct class, NOT in T5-B adjacent/punctuation scan scope; proposed correction is mechanical and unadjudicated.",medium,T5-B connector-separated diagnostic scan (out-of-scope discovery),2026-09-10,open-deferred-followup
SB-0850,partially,definitionUa,other,P1,"Частково або частково, неповністю.","Частково, неповністю.","Connector-separated identical-word repetition (Частково або Частково); distinct class, NOT in T5-B adjacent/punctuation scan scope; proposed correction is mechanical and unadjudicated.",medium,T5-B connector-separated diagnostic scan (out-of-scope discovery),2026-09-10,open-deferred-followup
SB-0884,postpone,definitionUa,other,P1,"Відкласти або відкласти подію, зустріч тощо.","Відкласти подію, зустріч тощо.","Connector-separated identical-word repetition (Відкласти або Відкласти); distinct class, NOT in T5-B adjacent/punctuation scan scope; proposed correction is mechanical and unadjudicated.",medium,T5-B connector-separated diagnostic scan (out-of-scope discovery),2026-09-10,open-deferred-followup
SB-0908,presume,definitionUa,other,P1,"Припускати або припускати, що це правда (без доказів); приймати як належне, припускати.","Припускати, що це правда (без доказів); приймати як належне, припускати.","Connector-separated identical-word repetition (Припускати або Припускати); distinct class, NOT in T5-B adjacent/punctuation scan scope; proposed correction is mechanical and unadjudicated.",medium,T5-B connector-separated diagnostic scan (out-of-scope discovery),2026-09-10,open-deferred-followup
SB-0922,proclaim,definitionUa,other,P1,Оголосити чи оголосити.,Оголосити.,"Connector-separated identical-word repetition (Оголосити чи Оголосити); distinct class, NOT in T5-B adjacent/punctuation scan scope; proposed correction is mechanical and unadjudicated.",medium,T5-B connector-separated diagnostic scan (out-of-scope discovery),2026-09-10,open-deferred-followup
SB-0940,provincial,definitionUa,other,P1,Демонстрація звичаїв або звичаїв провінції; характерні для жителів провінції.,Демонстрація звичаїв провінції; характерні для жителів провінції.,"Connector-separated identical-word repetition (звичаїв або звичаїв); distinct class, NOT in T5-B adjacent/punctuation scan scope; proposed correction is mechanical and unadjudicated.",medium,T5-B connector-separated diagnostic scan (out-of-scope discovery),2026-09-10,open-deferred-followup
SB-0951,radical,definitionUa,other,P1,Схиляння до фундаментальних змін або змін у першопричині проблеми.,Схиляння до фундаментальних змін у першопричині проблеми.,"Connector-separated identical-word repetition (змін або змін); distinct class, NOT in T5-B adjacent/punctuation scan scope; proposed correction is mechanical and unadjudicated.",medium,T5-B connector-separated diagnostic scan (out-of-scope discovery),2026-09-10,open-deferred-followup
