id,bucket,source,disposition,category,headword,pos,ua,definitionUa,rationale,confidence,reviewer_agree
SB-0061,d_clean,clean-pool,clean,,ambassador,n.,посол,"Дипломат найвищого рангу, посланий до іноземного двору, щоб представляти там свого суверена або країну. (Іноді його називають резиденцією посла)",,medium,
SB-0063,d_clean,clean-pool,clean,,amendment,n.,поправка,Доповнення та/або зміни до Конституції.,,medium,
SB-0065,d_clean,clean-pool,clean,,analogy,n.,аналогія,"Відношення подібності або еквівалентності між двома ситуаціями, людьми чи об’єктами, особливо коли використовується як основа для пояснення чи екстраполяції.",,medium,
SB-0066,d_clean,clean-pool,clean,,anchor,n.,якір,"Інструмент, який використовується для причалювання судна до дна моря чи річки, щоб протистояти руху.",,medium,
SB-0067,d_clean,new-finding,P1,grammar-calque-fragment,angel,n.,ангел,"Безтілесний і святий або напівбожественний посланець божества чи іншої божественної сутності, традиційно зображується як молода крилата фігура в розвіваються шатах.",definitionUa 'в розвіваються шатах' is ungrammatical: finite verb 'розвіваються' where an attributive participle ('розвіяних/розвіюваних') is required.,high,
SB-0069,d_clean,clean-pool,clean,,apparatus,n.,апарат,"Сукупність засобів, за допомогою яких створюється конкретне виробництво або виконується завдання.",,medium,
SB-0070,d_clean,new-finding,P2,semantic-pedagogical-error,appealing,adj.,привабливий,Наявність апеляції; привабливий.,"'appealing' (attractive) led with 'Наявність апеляції' (presence of a legal appeal), a wrong-sense calque; correct 'привабливий' follows.",medium,
SB-0071,d_clean,clean-pool,clean,,appetite,n.,апетит,Бажання з'їсти їжу або випити напої.,,medium,
SB-0072,d_clean,clean-pool,clean,,applaud,v.,аплодувати,Виражати схвалення (чогось) плеском у долоні.,,medium,
SB-0073,d_clean,clean-pool,clean,,applicable,adj.,застосовний,"Підходить для застосування, актуальна.",,medium,
SB-0075,d_clean,clean-pool,clean,,appreciation,n.,вдячність,"Справедлива оцінка якості, цінності, ваги тощо; визнання досконалості; вдячність і пошана.",,medium,
SB-0076,d_clean,clean-pool,clean,,arbitrary,adj.,довільний,"На основі особистого розсуду чи судження; не ґрунтуючись на будь-якій об’єктивній відмінності, можливо, навіть зробленій навмання.",,medium,
SB-0077,d_clean,clean-pool,clean,,architectural,adj.,архітектурний,Що стосується архітектури.,,medium,
SB-0078,d_clean,clean-pool,clean,,archive,n.,архів,"Місце для зберігання раннього, а часто й історичного матеріалу. Архів зазвичай містить документи (листи, записи, газети тощо) або інші типи носіїв, які зберігаються для історичного інтересу.",,medium,
SB-0081,d_clean,clean-pool,clean,,arm,v.,озброювати,Для забезпечення бронею або (особливо пізніше) зброєю.,,medium,
SB-0083,d_clean,clean-pool,clean,,articulate,v.,артикулювати,Говорити чітко; виголошувати.,,medium,
SB-0084,d_clean,clean-pool,clean,,ash,n.,попіл,Суцільні залишки пожежі.,,medium,
SB-0086,d_clean,clean-pool,clean,,aspire,v.,прагнути,Мати сильне бажання або амбіції досягти чогось.,,medium,
SB-0087,d_clean,clean-pool,clean,,assassination,n.,вбивство,"Вбивство людини, особливо з політичних мотивів або заради особистої вигоди.",,medium,
SB-0088,d_clean,clean-pool,clean,,assault,"n., v.",напад,"Нападати, фізично чи фігурально; атакувати.",,medium,
SB-0089,d_clean,clean-pool,clean,,assemble,v.,зібрати,Збирати разом.,,medium,
SB-0091,d_clean,clean-pool,clean,,assert,v.,стверджувати,Заявляти з упевненістю або просто і рішуче; стверджувати позитивно.,,medium,
SB-0092,d_clean,clean-pool,clean,,assertion,n.,твердження,Акт ствердження; позитивна декларація або авермент.,,medium,
SB-0093,d_clean,clean-pool,clean,,assurance,n.,запевнення,"Акт запевнення; заява, яка має викликати повну довіру; щось, створене для того, щоб надати комусь впевненості.",,medium,
SB-0094,d_clean,clean-pool,clean,,asylum,n.,притулок,Місце безпеки або притулок.,,medium,
SB-0095,d_clean,clean-pool,clean,,atrocity,n.,злодіяння,Надзвичайно жорстокий вчинок; жахливий акт несправедливості.,,medium,
SB-0096,d_clean,clean-pool,clean,,attain,v.,досягти,Отримати (об'єкт або бажаний результат).,,medium,
SB-0097,d_clean,clean-pool,clean,,attendance,n.,присутність,Акт відвідування; стан присутності; наявність.,,medium,
SB-0098,d_clean,clean-pool,clean,,attorney,n.,адвокат,"юрист; той, хто консультує або представляє інших у юридичних питаннях як професія.",,medium,
SB-0099,d_clean,clean-pool,clean,,attribute,"v., n.",атрибут,Пов'язувати право власності чи авторство на (щось) з кимось.,,medium,
SB-0101,d_clean,clean-pool,clean,,authentic,adj.,справжній,"Того ж походження, що заявлено; справжній.",,medium,
SB-0104,d_clean,clean-pool,clean,,autonomy,n.,автономія,Право або умова самоврядування; свобода діяти або функціонувати незалежно.,,medium,
SB-0107,d_clean,clean-pool,clean,,backdrop,n.,фон,Обстановка або фон розіграної вистави.,,medium,
SB-0110,d_clean,clean-pool,clean,,bail,n.,застава,"Забезпечення, як правило, грошова сума, яку обмінюють на звільнення заарештованої особи як гарантію явки цієї особи на суд.",,medium,
SB-0112,d_clean,clean-pool,clean,,banner,n.,банер,"Будь-який великий знак, особливо з м’якого матеріалу або тканини.",,medium,
SB-0113,d_clean,clean-pool,clean,,bare,adj.,голий,"Голий, непокритий.",,medium,
SB-0114,d_clean,clean-pool,clean,,barrel,n.,бочка,"Кругла (циліндрична) посудина, така як бочка, більша за довжину, ніж завширшки, і опукла в середині, зроблена з держаків, зв’язаних обручами, і має плоскі кінці (голови).",,medium,
SB-0115,d_clean,clean-pool,clean,,bass1,n.,бас (низький звук; басовий інструмент),Низький за висотою звук або музичний інструмент чи голос із низьким регістром.,,medium,
SB-0117,d_clean,clean-pool,clean,,battlefield,n.,поле бою,"Область, де ведеться наземна битва, яка не обов’язково може бути полем.",,medium,
SB-0118,d_clean,clean-pool,clean,,bay,n.,затока,"Тіло води (особливо море), яке міститься увігнутою береговою лінією.",,medium,
SB-0120,d_clean,clean-pool,clean,,beast,n.,звір,"Тварина, особливо велика або небезпечна наземна хребетна.",,medium,
SB-0122,d_clean,clean-pool,clean,,beloved,adj.,коханий,"Дуже любив, ніжно любив.",,medium,
SB-0123,d_clean,clean-pool,clean,,bench,n.,лава,"Довге сидіння зі спинкою або без неї, наприклад, у парках і школах.",,medium,
SB-0126,d_clean,clean-pool,clean,,beneficiary,n.,бенефіціар,"Той, хто користується або отримує перевагу.",,medium,
SB-0127,d_clean,clean-pool,clean,,betray,v.,зраджувати,"Порушити довіру або виявити приховану інформацію, почуття чи справжній характер.",,medium,
SB-0129,d_clean,clean-pool,clean,,biography,n.,біографія,"Історія життя людини, особливо опублікованої.",,medium,
SB-0132,d_clean,clean-pool,clean,,blade,n.,лезо,"Частина ножа, меча, бритви чи іншого інструменту (як правило, з гострим краєм), яким вона ріже.",,medium,
SB-0134,d_clean,clean-pool,clean,,bleed,v.,кровоточити,Пролити кров через ушкоджену кровоносну судину.,,medium,
SB-0136,d_clean,clean-pool,clean,,bless,v.,благословляти,Викликати божественну прихильність.,,medium,
SB-0138,d_clean,clean-pool,clean,,boast,v.,хвалитися,Вихвалятися; голосно говорити на хвалу собі.,,medium,
SB-0139,d_clean,clean-pool,clean,,bonus,n.,бонус,"Щось додаткове, що добре; додаткова перевага.",,medium,
SB-0140,d_clean,clean-pool,clean,,boom,n.,бум,"Низький резонансний звук, наприклад вибух.",,medium,
SB-0142,c_known_open,known-open-confirmation,P1,semantic-pedagogical-error,boundary,n.,межа,Лінія розмежування або розташування між двома областями.,'розташування' (location/arrangement) is wrong for boundary; boundary is a line of division ('поділу/межа').,high,True
SB-0143,d_clean,clean-pool,clean,,bow1,"v., n.",нахилятися; уклін,Нахиляти голову або верхню частину тіла на знак поваги; також сам такий уклін.,,medium,
SB-0146,d_clean,clean-pool,clean,,breakthrough,n.,прорив,"Будь-який серйозний прогрес; наприклад, велика інновація чи відкриття, яке долає значну перешкоду.",,medium,
SB-0152,d_clean,clean-pool,clean,,buddy,n.,приятель,Друг або випадковий знайомий.,,medium,
SB-0153,d_clean,clean-pool,clean,,buffer,n.,буфер,"Частина пам’яті, виділена для тимчасового зберігання даних, часто перед їх надсиланням на зовнішній пристрій або під час отримання із зовнішнього пристрою.",,medium,
SB-0156,d_clean,clean-pool,clean,,bureaucracy,n.,бюрократія,Уряд через бюро або їхніх адміністраторів чи службовців.,,medium,
SB-0158,d_clean,clean-pool,clean,,burst,v.,лопнути,Зламати від внутрішнього тиску.,,medium,
SB-0160,d_clean,clean-pool,clean,,calculation,n.,розрахунок,Акт або процес обчислення.,,medium,
SB-0161,d_clean,clean-pool,clean,,canvas,n.,полотно,"Тип грубої тканини, витканої з конопель, використовується для виготовлення вітрил і наметів або як поверхня для картин.",,medium,
SB-0162,d_clean,clean-pool,clean,,capability,n.,здатність,Сила або здатність генерувати результат.,,medium,
SB-0163,d_clean,clean-pool,clean,,capitalism,n.,капіталізм,"Економічна система, заснована на приватній власності на засоби виробництва та їх експлуатації з метою отримання прибутку.",,medium,
SB-0165,d_clean,clean-pool,clean,,cargo,n.,вантаж,"Вантаж, що перевозиться кораблем, літаком або автомобілем.",,medium,
SB-0168,d_clean,clean-pool,clean,,casino,n.,казино,Громадська будівля або зал для азартних ігор.,,medium,
SB-0170,d_clean,clean-pool,clean,,catalogue,n.,каталог,"Повний (як правило, алфавітний або хронологічний) список елементів.",,medium,
SB-0172,d_clean,clean-pool,clean,,cattle,n.,худоба,"Домашня тварина виду Bos taurus (корови, бики, бички, воли тощо) та інші копитні ссавці роду Bos.",,medium,
SB-0173,d_clean,clean-pool,clean,,caution,n.,обережність,"Розсудливість, коли ви стикаєтеся з небезпекою або очікуєте зіткнутися з небезпекою; обережність, щоб уникнути ризику чи шкоди.",,medium,
SB-0176,d_clean,clean-pool,clean,,cemetery,n.,кладовище,"Місце, де ховають померлих; цвинтар або меморіальний парк.",,medium,
SB-0178,d_clean,clean-pool,clean,,chaos,n.,хаос,Будь-який стан розладу; плутана або аморфна суміш або конгломерат.,,medium,
SB-0179,d_clean,clean-pool,clean,,characterize,v.,характеризувати,Бути типовим для.,,medium,
SB-0180,d_clean,clean-pool,clean,,charm,n.,чарівність,"Здатність переконувати, радувати або викликати захоплення.",,medium,
SB-0181,d_clean,clean-pool,clean,,charter,n.,статут,"Документ, виданий певною владою, що створює державну чи приватну установу та визначає її цілі та привілеї.",,medium,
SB-0182,d_clean,clean-pool,clean,,chronic,adj.,хронічний,"Про проблему, яка триває протягом тривалого періоду часу.",,medium,
SB-0183,d_clean,clean-pool,clean,,chunk,n.,шматок,Велика або значна частина чогось.,,medium,
SB-0185,d_clean,clean-pool,clean,,circulation,n.,обіг,Акт переходу з місця на місце або від людини до людини; вільна дифузія; спосіб передавання.,,medium,
SB-0186,d_clean,clean-pool,clean,,citizenship,n.,громадянство,Стан громадянства; статус громадянина.,,medium,
SB-0187,d_clean,clean-pool,clean,,civic,adj.,громадянський,"Про або щодо громадянина, або про добросовісне громадянство та його права та обов'язки.",,medium,
SB-0188,d_clean,clean-pool,clean,,civilian,"n., adj.",цивільний,"Людина, яка займається цивільним життям, особливо та, яка не є активним членом збройних сил.",,medium,
SB-0190,d_clean,clean-pool,clean,,clash,n.,зіткнення,"опозиція; протиріччя; наприклад, між різними або суперечливими інтересами, поглядами, цілями тощо.",,medium,
SB-0191,c_known_open,known-open-confirmation,P1,grammar-calque-fragment,classification,n.,класифікація,"Акт формування в клас або класи; розподіл на групи, як класи, порядки, родини тощо, відповідно до деяких спільних відносин або атрибутів.",'формування в клас' is a malformed calque; Ukrainian would be 'формування класів'/'розподіл на класи'.,high,True
SB-0192,d_clean,clean-pool,clean,,cling,v.,чіплятися,"Тримати дуже міцно, щоб не впасти.",,medium,
SB-0196,d_clean,clean-pool,clean,,coalition,n.,коаліція,"Тимчасова група або спілка організацій, яка зазвичай створюється для певної переваги.",,medium,
SB-0198,d_clean,clean-pool,clean,,cocktail,n.,коктейль,Змішаний алкогольний напій.,,medium,
SB-0199,d_clean,clean-pool,clean,,cognitive,adj.,когнітивний,"Відноситься до тієї частини розумових функцій, яка має справу з логікою, на відміну від афективної, яка має справу з емоціями.",,medium,
SB-0200,d_clean,clean-pool,clean,,coincide,v.,збігатися,Відбутися одночасно.,,medium,
SB-0201,d_clean,clean-pool,clean,,collaborate,v.,співпрацювати,Працювати разом з іншими для досягнення спільної мети.,,medium,
SB-0204,d_clean,clean-pool,clean,,collision,n.,зіткнення,"Будь-яка подія, під час якої два або більше тіл діють один на одного за відносно короткий час. При зіткненні фізичний контакт двох тіл не є необхідним.",,medium,
SB-0205,d_clean,clean-pool,clean,,colonial,adj.,колоніальний,З колонії або відноситься до неї.,,medium,
SB-0206,d_clean,clean-pool,clean,,columnist,n.,колумніст,"Регулярний автор колонки, наприклад, у журналі чи газеті.",,medium,
SB-0210,d_clean,clean-pool,clean,,commentator,n.,коментатор,"Особа, яка надає миттєвий опис публічної події, зокрема спортивної, для аудиторії ЗМІ.",,medium,
SB-0211,d_clean,clean-pool,clean,,commerce,n.,комерція,Обмін або купівля-продаж товарів; особливо великомасштабний обмін товарами між різними місцями чи спільнотами; розширена торгівля або рух.,,medium,
SB-0212,d_clean,clean-pool,clean,,commissioner,n.,комісар,"Посадовець, відповідальний за урядове відомство, особливо поліцію.",,medium,
SB-0215,d_clean,clean-pool,clean,,companion,n.,компаньйон,"Друг, знайомий або партнер; хтось, з ким проводять час або супроводжують",,medium,
SB-0217,d_clean,clean-pool,clean,,compassion,n.,співчуття,"Глибоке усвідомлення страждань інших людей настільки, що вони мотивовані полегшити такі стани.",,medium,
SB-0218,d_clean,clean-pool,clean,,compel,v.,змушувати,"Змушувати, обмежувати або примушувати.",,medium,
SB-0222,d_clean,clean-pool,clean,,competence,n.,компетентність,"Якість або стан компетентності, тобто здатності або придатності для виконання загальної ролі.",,medium,
SB-0223,d_clean,clean-pool,clean,,competent,adj.,компетентний,"Наявність достатніх навичок, знань, здібностей або кваліфікації.",,medium,
SB-0232,d_clean,clean-pool,clean,,compute,v.,обчислювати,"Рахувати, обчислювати.",,medium,
SB-0233,d_clean,clean-pool,clean,,conceal,v.,приховувати,"Приховати щось від очей або від загального відома, намагатися зберегти щось у таємниці.",,medium,
SB-0238,d_clean,clean-pool,clean,,condemn,v.,засуджувати,Різко критикувати або засуджувати; розкритикувати.,,medium,
SB-0239,d_clean,clean-pool,clean,,confer,v.,надавати,Надати у власність; дарувати.,,medium,
SB-0241,d_clean,clean-pool,clean,,configuration,n.,конфігурація,"Взаємне розташування набору речей; те, як речі розташовані або зібрані;",,medium,
SB-0242,d_clean,clean-pool,clean,,confine,v.,обмежити,Обмежити (когось або щось) певною сферою чи областю; зберігати в певних межах.,,medium,
SB-0243,d_clean,clean-pool,clean,,confirmation,n.,підтвердження,"Перевірка того, що щось правдиве або трапилося.",,medium,
SB-0245,d_clean,clean-pool,clean,,confrontation,n.,конфронтація,"Акт протистояння або виклику іншому, особливо віч-на-віч.",,medium,
SB-0248,d_clean,clean-pool,clean,,congressional,adj.,конгресовий,З конгресу або стосовно нього.,,medium,
SB-0250,d_clean,clean-pool,clean,,conscience,n.,совість,"Етичне або моральне почуття правильного і неправильного, головним чином, оскільки воно впливає на власну поведінку людини та формує її ставлення до її минулих дій.",,medium,
SB-0251,d_clean,clean-pool,clean,,consciousness,n.,свідомість,Стан свідомості або усвідомлення; обізнаність.,,medium,
SB-0252,d_clean,clean-pool,clean,,consecutive,adj.,послідовний,"Слідом, по черзі, без перерви.",,medium,
SB-0253,d_clean,clean-pool,clean,,consensus,n.,консенсус,"Загальна згода між членами певної групи чи спільноти, кожен член якої має певну свободу дій у прийнятті рішень і подальших діях.",,medium,
SB-0257,d_clean,clean-pool,clean,,consolidate,v.,консолідувати,Об'єднати в єдине ціле; щоб об’єднатися або приєднатися.,,medium,
SB-0258,d_clean,clean-pool,clean,,constituency,n.,виборчий округ,"Округ, представлений однією або декількома обраними посадовими особами.",,medium,
SB-0259,d_clean,clean-pool,clean,,constitute,v.,становити,Складати щось як його частини; утворювати або офіційно встановлювати.,,medium,
SB-0260,d_clean,clean-pool,clean,,constitution,n.,конституція,"Формальна чи неофіційна система основних принципів і законів, яка регулює діяльність уряду чи інших установ.",,medium,
SB-0261,d_clean,clean-pool,clean,,constitutional,adj.,конституційний,"Що стосується юридичної чи політичної конституції («основний закон нації чи установи; формальна чи неофіційна система первинних принципів і законів, які регулюють діяльність уряду чи іншої установи»).",,medium,
SB-0262,d_clean,clean-pool,clean,,constraint,n.,обмеження,"Те, що стримує; обмеження.",,medium,
SB-0265,d_clean,clean-pool,clean,,contempt,n.,презирство,"Стан або акт презирства; відчуття або ставлення до когось чи чогось як до нижчого, низького або нікчемного; презирство, зневага.",,medium,
SB-0267,d_clean,clean-pool,clean,,contender,n.,претендент,"Хтось, хто змагається з одним або декількома людьми.",,medium,
SB-0268,d_clean,clean-pool,clean,,content2,adj.,задоволений,"Задоволений тим, що маєш або що відбувається, без потреби вимагати більшого.",,medium,
SB-0270,d_clean,clean-pool,clean,,continually,adv.,постійно,У регулярній або повторюваній послідовності; дуже часто.,,medium,
SB-0271,d_clean,clean-pool,clean,,contractor,n.,підрядник,"Особа або компанія, яка будує або вдосконалює будівлі чи споруди.",,medium,
SB-0275,d_clean,clean-pool,clean,,conversion,n.,перетворення,Акт перетворення чогось або когось.,,medium,
SB-0276,d_clean,clean-pool,clean,,convict,v.,засуджувати,Визнати винним в результаті судового розгляду або (неофіційного) в моральному сенсі.,,medium,
SB-0278,d_clean,clean-pool,clean,,cooperate,v.,співпрацювати,"Працювати або діяти разом, особливо для спільної мети чи користі.",,medium,
SB-0280,d_clean,clean-pool,clean,,coordinate,v.,координувати,Синхронізувати (діяльність).,,medium,
SB-0281,d_clean,clean-pool,clean,,coordination,n.,координація,"Акт координації, який змушує різних людей або речі працювати разом для досягнення мети чи ефекту.",,medium,
SB-0282,d_clean,clean-pool,clean,,coordinator,n.,координатор,"Той, хто або те, що координує.",,medium,
SB-0284,d_clean,clean-pool,clean,,copper,n.,мідь,"Червоно-коричневий метал, символ Cu та атомний номер 29.",,medium,
SB-0285,d_clean,clean-pool,clean,,copyright,n.,авторське право,"Право за законом бути суб’єктом, який визначає, хто може публікувати, копіювати та поширювати твір, музику, малюнок чи інший авторський твір.",,medium,
SB-0287,d_clean,clean-pool,clean,,correlate,v.,співвідносити,"Порівнювати речі і приводити їх у відношення, що мають відповідні характеристики.",,medium,
SB-0288,d_clean,clean-pool,clean,,correlation,n.,кореляція,"Один із кількох показників лінійного статистичного зв’язку між двома випадковими змінними, що вказує на силу та напрямок зв’язку.",,medium,
SB-0289,d_clean,clean-pool,clean,,correspond,v.,відповідати,"Бути еквівалентним або подібним за характером, кількістю, якістю, походженням, структурою, функцією тощо.",,medium,
SB-0290,d_clean,clean-pool,clean,,correspondence,n.,листування,"Взаємний обмін люб'язністю, особливо розмова між людьми за допомогою листів.",,medium,
SB-0291,d_clean,clean-pool,clean,,correspondent,n.,кореспондент,"Хтось, хто спілкується з іншою особою або публікацією, письмово.",,medium,
SB-0294,d_clean,clean-pool,clean,,corruption,n.,корупція,"Неетична адміністративна або виконавча практика (в уряді чи бізнесі), включаючи хабарництво (пропозиція або отримання хабара), конфлікт інтересів, кумівство, розкрадання тощо.",,medium,
SB-0295,c_known_open,known-open-confirmation,P1,grammar-calque-fragment,costly,adj.,дорогий,Від високої вартості; дорогий.,'Від високої вартості' is a malformed prepositional fragment used as a definition head for an adjective.,high,True
SB-0297,d_clean,clean-pool,clean,,counselling,n.,консультування,Професійна допомога людині в осмисленні та розв’язанні особистих або психологічних труднощів.,,medium,
SB-0299,d_clean,clean-pool,clean,,counter (argue against),v.,заперечувати; протиставляти аргумент,Відповідати на твердження протилежним аргументом або доказом.,,medium,
SB-0302,d_clean,clean-pool,clean,,coup,n.,переворот,Державний переворот.,,medium,
SB-0303,d_clean,clean-pool,clean,,courtesy,n.,ввічливість,Ввічлива поведінка.,,medium,
SB-0305,d_clean,clean-pool,clean,,crawl,v.,повзати,Повзати; повільно рухатися на руках і колінах або волочачи тіло по землі.,,medium,
SB-0306,c_known_open,known-open-confirmation,P1,pos-morphology-mismatch,creator,n.,творець,"Щось або хтось, який щось створює або робить.","Relative-pronoun agreement error 'Щось або хтось, який' (should be 'що'); morphology/agreement defect.",medium,genuine-defect-milder-severity
SB-0310,d_clean,clean-pool,clean,,critique,n.,критика,"Есе, в якому критикується, рецензується інший твір тощо.",,medium,
SB-0311,d_clean,clean-pool,clean,,crown,n.,корона,"Королівський, імператорський або княжий головний убір; діадема.",,medium,
SB-0312,d_clean,clean-pool,clean,,crude,adj.,сирий,"У природному, необробленому стані.",,medium,
SB-0313,d_clean,clean-pool,clean,,crush,v.,розчавити,"Натиснути між двома твердими предметами; стискати так, щоб змінити природну форму чи цілісність, або згуртовувати в масу.",,medium,
SB-0314,d_clean,clean-pool,clean,,crystal,n.,кристал,"Тверда речовина, що складається з масиву атомів або молекул, що мають дальній порядок і розташовані у вигляді періодичної тривимірної структури.",,medium,
SB-0318,d_clean,clean-pool,clean,,custody,n.,опіка,"Законне право піклуватися про щось або про когось, особливо про дітей.",,medium,
SB-0320,d_clean,clean-pool,clean,,cynical,adj.,цинічний,"Скептично ставиться до чесності, щирості або мотивів інших.",,medium,
SB-0323,d_clean,clean-pool,clean,,dawn,n.,світанок,Період ранкових сутінків безпосередньо перед сходом сонця.,,medium,
SB-0325,d_clean,clean-pool,clean,,debut,n.,дебют,"Перший виступ виконавця перед публікою у спорті, мистецтві чи іншій сфері.",,medium,
SB-0326,d_clean,clean-pool,clean,,decision-making,n.,прийняття рішень,Процес аналізу можливостей і вибору одного рішення.,,medium,
