id,disposition,category,rationale
SB-1333,clean,,No defect found in the blinded full-rubric review.
SB-1335,P1,pos-morphology,Established is defined with the adverbial participle 'Існуючи' rather than an adjectival/participial construction.
SB-1346,clean,,No defect found in the blinded full-rubric review.
SB-1386,P2,semantic-scope,The word-family entry covers noun conduct only and omits the verb sense.
SB-1398,P2,circular-definition,"The definition repeats 'вплив' and relies mostly on the near-synonym 'ефект', so it teaches little."
SB-1405,clean,,No defect found in the blinded full-rubric review.
SB-1457,clean,,No defect found in the blinded full-rubric review.
SB-1495,P1,pos-morphology,"Singular conference is translated with 'конференції', not nominative singular 'конференція'."
SB-1523,P1,semantic-pedagogical,"'Визначна частина' means a notable/prominent part, not a distinct stage or phase."
SB-1570,P1,semantic-pedagogical,Perspective is incorrectly reduced to the choice of one angle rather than a viewpoint or way of understanding.
SB-1585,P1,semantic-pedagogical,"Academic abstract is defined with 'Скорочення' (abbreviation/shortening), not a concise summary; the wording misleads."
SB-1590,P1,pos-morphology,Attached is rendered with impersonal/present 'додається' and then mixed adjective/past-verb forms 'Підключений; приєднався'.
SB-1606,clean,,No defect found in the blinded full-rubric review.
SB-1622,P2,semantic-scope,Only directional 'за кордон' is represented; locative 'за кордоном' and overseas-across-the-sea use are not distinguished.
SB-1623,clean,,No defect found in the blinded full-rubric review.
SB-1630,P1,pos-morphology,Plural adults/дорослі is defined with singular 'Особа'.
SB-1644,clean,,No defect found in the blinded full-rubric review.
SB-1649,clean,,No defect found in the blinded full-rubric review.
SB-1668,P1,pos-morphology,Submitted is rendered as impersonal 'подано' but defined by active infinitives 'Внести або винести'.
SB-1683,clean,,No defect found in the blinded full-rubric review.
SB-1747,P1,pos-morphology,"Plural norms/норми is defined with singular 'Те, що є нормальним', losing the plural social-standard sense."
SB-1754,P2,semantic-scope,The definition covers political revolution only and uses the awkward phrase 'переворот в уряді чи державі'.
SB-1762,P2,learner-register,'протягом періоду або періодів часу' is redundant and needlessly opaque.
SB-1770,P2,semantic-scope,"The definition is dense, clinical-only, and omits ordinary and economic senses carried by this word-family entry."
SB-1784,P2,semantic-scope,"The definition narrows undergo to experiences or a phase and does not cover processes, treatment, or change generally."
