id,word,pos,ua,definitionUa,pass_a_disposition,pass_a_rationale,pass_b_disposition,pass_b_rationale,evidence_quote,final_disposition,confidence,category,rationale,proposed_target,proposed_value
SB-0644,integrated,adj.,інтегрований,"складений і скоординований, щоб утворити ціле",P2,The definition starts lowercase and lacks terminal punctuation.,clean-candidate,integrated → «інтегрований»; definition (composed and coordinated to form a whole) is accurate; consistent gloss.,складений і скоординований,P2,high,ui-formatting,"the definition starts lowercase and lacks terminal punctuation — cosmetic P2, confirmed.",definitionUa,"Складений і скоординований так, щоб утворювати єдине ціле."
SB-1245,turnover,n.,оборот,"Сума грошей, прийнята як продажі, здійснені за певний період.",P1,"«Сума грошей, прийнята як продажі» is an unidiomatic literal calque.",clean-candidate,turnover → «оборот»; definition (the amount of money taken as sales in a given period) is accurate; noun POS matches.,"Сума грошей, прийнята як продажі",P1,high,calque-russianism,"«Сума грошей, прийнята як продажі» is an unidiomatic literal calque — confirmed.",definitionUa,Загальна сума доходу від продажів за певний період.
SB-1759,supplementary,word family,додатковий,"додатковий; додано, щоб забезпечити те, що потрібно.",P1,Lowercase «додано» is impersonal/perfective and does not align with supplementary.,clean-candidate,supplementary → «додатковий»; definition (additional; added to provide what is needed) conveys the sense though it restates the gloss; adjective POS matches.,"додано, щоб забезпечити",P1,high,pos-alignment,lowercase «додано» is impersonal/perfective and does not align with the adjective supplementary — confirmed.,definitionUa,"Додатковий; призначений доповнити те, чого бракує."
SB-1094,sovereignty,n.,суверенітет,"Нації чи іншого державного устрою: стан здатний контролювати ресурси, самостійно приймати закони та іншим чином керувати собою без примусу чи згоди інших держав.",P1,«Стан здатний контролювати» is ungrammatical; the state must be one of ability or authority.,clean-candidate,sovereignty → «суверенітет»; definition (state able to control resources and govern itself without coercion) is accurate; noun POS matches.,стан здатний контролювати,P1,high,grammar-syntax,«стан здатний контролювати» is ungrammatical; sovereignty is the right or ability to self-govern — confirmed.,definitionUa,"Право й здатність держави самостійно керувати собою, ухвалювати закони та контролювати свої ресурси."
SB-0508,firearm,n.,вогнепальна зброя,"Особиста зброя, яка використовує вибуховий порох для приведення в дію снаряда, який часто виготовляється зі свинцю.",P2,The definition is over-specific about a lead projectile and uses the vague category «особиста зброя».,clean-candidate,firearm → «вогнепальна зброя»; definition (a personal weapon using explosive powder to propel a projectile) is accurate; noun POS matches.,часто виготовляється зі свинцю,P2,high,pedagogical-definition,the definition is over-specific about a lead projectile and uses the vague category «особиста зброя» — pedagogical confirmed (Pass A P2).,definitionUa,"Зброя, що вистрілює снаряд завдяки вибуху пороху."
SB-0215,companion,n.,компаньйон,"Друг, знайомий або партнер; хтось, з ким проводять час або супроводжують",P1,The definition lacks a period and ends with a subjectless plural verb that does not agree with хтось.,clean-candidate,"companion → «компаньйон»; definition (a friend, acquaintance or partner one spends time with) is accurate; noun POS matches.",з ким проводять час або супроводжують,P1,high,grammar-syntax,the definition lacks a period and ends with a subjectless plural verb not agreeing with «хтось» — confirmed.,definitionUa,"Людина, з якою проводять час або яка супроводжує когось; товариш чи партнер."
SB-0654,interfere,v.,заважати,"Вплутуватися або втягуватись, завдаючи занепокоєння.",P2,«Вплутуватися або втягуватись» is an awkward way to express unwanted intervention.,clean-candidate,interfere → «заважати»; definition (to involve oneself in a way that causes disturbance) is accurate; verb POS matches.,Вплутуватися або втягуватись,P2,high,idiomatic-ukrainian,«Вплутуватися або втягуватись» is an awkward way to express unwanted intervention — confirmed (Pass A P2).,definitionUa,"Втручатися в ситуацію так, що це заважає або створює проблеми."
SB-0285,copyright,n.,авторське право,"Право за законом бути суб’єктом, який визначає, хто може публікувати, копіювати та поширювати твір, музику, малюнок чи інший авторський твір.",P1,"«Право ... бути суб’єктом, який визначає» is a literal legalistic calque unsuitable for learners.",clean-candidate,"copyright → «авторське право»; definition (the legal right determining who may publish, copy and distribute a work) is accurate; noun POS matches.","бути суб’єктом, який визначає",P1,high,calque-russianism,"«Право … бути суб’єктом, який визначає» is a literal legalistic calque unsuitable for learners — confirmed.",definitionUa,"Закріплене законом виключне право автора визначати, хто може відтворювати, публікувати й поширювати твір."
SB-0099,attribute,"v., n.",атрибут,Пов'язувати право власності чи авторство на (щось) з кимось.,P1,"The source has noun and verb uses, but ua gives only the noun and the definition only the verb.",P2,"attribute (v., n.): the definition describes the verb ('associate ownership/authorship with someone' = приписувати), but the gloss «атрибут» gives only the noun; the verb sense is missing.",Пов'язувати право власності,P1,high,pos-alignment,"attribute is v.,n. but ua «атрибут» gives only the noun while the definition «Пов’язувати…» gives only the verb — coverage defect confirmed over Pass B's P2.",both,ua: ознака; приписувати | definitionUa: Характерна риса; також вважати щось наслідком чи твором певної особи або причини.
SB-1469,registered,word family,зареєстрований,Внесення свого імені до офіційного списку або внесення до реєстру.,P1,"Registered is an adjective/past participle, but the definition names the act of entering a name.",clean-candidate,registered → «зареєстрований»; definition (having entered one's name on an official list or a register) is accurate; consistent gloss.,Внесення свого імені,P1,high,pos-alignment,"registered is a participle, but the definition «Внесення свого імені» names the act of entering a name — POS misalignment confirmed.",both,ua: зареєстрований | definitionUa: Офіційно внесений до реєстру або списку.
SB-1108,spotlight,n.,центр уваги; прожектор,Центр уваги; головна або найважливіша частина.,P1,"ua includes the physical spotlight, but the definition covers only the figurative center of attention.",clean-candidate,spotlight → «центр уваги; прожектор»; definition (the focus of attention; the main or most important part) is accurate; noun POS matches.,головна або найважливіша частина,P1,high,sense-coverage,"ua includes the physical prожектор, but the definition covers only the figurative center of attention — sense-coverage confirmed.",definitionUa,Спрямований яскравий прожектор; також зосереджена суспільна увага.
SB-0217,compassion,n.,співчуття,"Глибоке усвідомлення страждань інших людей настільки, що вони мотивовані полегшити такі стани.",P1,"Plural «вони» has no valid antecedent after singular «усвідомлення», breaking the definition.",clean-candidate,"compassion → «співчуття»; definition (a deep awareness of others' suffering, with the motivation to relieve it) is accurate; noun POS matches.",вони мотивовані,P1,high,grammar-syntax,"plural «вони» has no valid antecedent after singular «усвідомлення», breaking the definition of compassion — confirmed.",definitionUa,"Глибоке співчуття до чужих страждань, що спонукає допомогти."
SB-1594,capable,word family,здатний,"Умілий та ефективний; наявність здібностей, необхідних для конкретного завдання; наявність бажання щось зробити; дозволяти або бути сприйнятливим до чогось.",P1,The definition uses noun phrases and wrongly treats willingness as part of being capable.,clean-candidate,capable → «здатний»; definition (skilled and effective; having the abilities required for a task) conveys the sense; adjective POS matches.,наявність бажання щось зробити,P1,high,semantic-fidelity,the definition uses noun phrases and wrongly treats willingness as part of being capable — semantic defect confirmed.,definitionUa,"Такий, що має потрібні здібності або спроможний виконати певне завдання."
SB-1613,input,word family,введення,"Дані, що вводяться в процес, мають намір формувати чи впливати на результат цього процесу.",P1,Data cannot «мати намір»; the literal construction assigns intention to input.,clean-candidate,input → «введення»; definition (data entered into a process to shape or influence its result) conveys the sense despite slightly odd phrasing; noun POS matches.,мають намір формувати,P1,high,semantic-fidelity,data cannot «мати намір»; the literal construction wrongly assigns intention to input — confirmed.,definitionUa,"Дані або ресурси, що надходять у процес і впливають на його результат."
SB-0435,embed,v.,вбудовувати,Для інкапсуляції в інший документ або файл даних.,P1,The purpose noun phrase «Для інкапсуляції» does not define the verb вбудовувати.,clean-candidate,embed → «вбудовувати»; definition (to encapsulate within another document or data file) is accurate for the data sense; verb POS matches.,Для інкапсуляції,P1,high,grammar-syntax,the purpose noun phrase «Для інкапсуляції» does not define the verb вбудовувати — confirmed.,definitionUa,"Вставляти один об’єкт, файл або фрагмент даних в інший."
SB-0639,insufficient,adj.,недостатній,"Недостатньо; типу або виду, якого недостатньо, який не задовольняє вимоги чи потреби.",P1,"«Недостатньо; типу або виду...» is a malformed adverbial fragment, not an adjective definition.",clean-candidate,insufficient → «недостатній»; definition (not enough; of a kind or amount that does not meet requirements) is accurate; adjective POS matches.,"типу або виду, якого недостатньо",P1,high,pos-alignment,"«Недостатньо; типу або виду…» is a malformed adverbial fragment, not an adjective definition — confirmed.",definitionUa,"Такий, якого замало для задоволення вимог або потреб."
SB-0107,backdrop,n.,фон,Обстановка або фон розіграної вистави.,P2,The definition is circular and awkwardly limits backdrop to a performed show.,clean-candidate,backdrop → «фон»; definition (the setting or background of a staged performance) is accurate; noun POS matches.,розіграної вистави,P2,high,pedagogical-definition,the definition is circular and awkwardly limits backdrop to a performed show — pedagogical confirmed (Pass A P2).,definitionUa,"Тло сцени або обставини, на тлі яких відбувається подія."
SB-1345,individual,word family,окремий; індивідуальний; особа,"Людина, яку вважають самотньою, а не приналежною до групи людей.",P1,"«Самотньою» means lonely, not considered separately as an individual.",P2,"individual gloss «окремий; особа» is right, but the definition renders 'considered singly' as «яку вважають самотньою» (considered lonely), which shifts the meaning to loneliness.",яку вважають самотньою,P1,high,semantic-fidelity,"«самотньою» means lonely, not considered separately as an individual — semantic defect confirmed over Pass B's P2.",definitionUa,"Окрема людина, яку розглядають не як частину групи."
SB-1525,prior,word family,попередній,"Прихід раніше за порядком або часом; раніше, колишній, попередній.",P1,The noun «Прихід» does not define the adjective prior.,clean-candidate,"prior → «попередній»; definition (coming earlier in order or time; former, previous) is accurate; adjective POS matches.",Прихід раніше за порядком,P1,high,pos-alignment,the noun «Прихід» does not define the adjective prior — confirmed.,definitionUa,"Попередній у часі, порядку або важливості."
SB-0599,imagery,n.,зображення,"Риторичне оформлення в письмовій чи усній формі; яскраві описи, що представляють або навіюють образи чуттєвих об'єктів; фігури в дискурсі.",P1,"ua «зображення» misses literary imagery, while «фігури в дискурсі» is opaque and unidiomatic.",clean-candidate,imagery → «зображення»; definition (rhetorical decoration in writing or speech; vivid descriptions evoking sensory images) is accurate; noun POS matches.,фігури в дискурсі,P1,high,semantic-fidelity,ua «зображення» misses literary imagery and «фігури в дискурсі» is opaque and unidiomatic — confirmed.,both,"ua: образність; образи | definitionUa: Виразні мовні образи й описи, що викликають чуттєві уявлення."
SB-0966,rebel,n.,повстанець,"Людина, яка чинить опір встановленій владі, часто насильницький.",P1,Masculine «насильницький» dangles after the adverb «часто» and does not modify the intended noun.,clean-candidate,"rebel → «повстанець»; definition (a person who resists established authority, often violently) is accurate; noun POS matches.",часто насильницький,P1,high,grammar-syntax,masculine «насильницький» dangles after «часто» and does not modify the intended noun — confirmed.,definitionUa,"Людина, яка чинить опір установленій владі, часто із застосуванням сили."
SB-0136,bless,v.,благословляти,Викликати божественну прихильність.,P2,«Викликати божественну прихильність» is stiff and does not directly explain blessing someone.,clean-candidate,bless → «благословляти»; definition (to invoke divine favour) is accurate; verb POS matches.,Викликати божественну прихильність,P2,high,idiomatic-ukrainian,«Викликати божественну прихильність» is stiff and does not directly explain blessing someone — confirmed (Pass A P2).,definitionUa,Просити Божої ласки для когось або освячувати когось чи щось.
SB-0602,implementation,n.,впровадження,"Процес переходу ідеї від концепції до реальності. У бізнесі, інженерії та інших сферах реалізація відноситься до процесу будівництва, а не до процесу проектування.",P1,«Відноситься до» is a Russian-influenced calque and the definition wrongly equates implementation with construction.,clean-candidate,implementation → «впровадження»; definition (bringing an idea from concept to reality) is accurate; noun POS matches.,реалізація відноситься до,P1,high,calque-russianism,«відноситься до» is a Russian-influenced calque and the definition wrongly equates implementation with construction — confirmed.,definitionUa,"Процес практичного здійснення плану, ідеї, системи або рішення."
SB-1254,upcoming,adj.,майбутній,Відбудеться або з'явиться у відносно близькому майбутньому.,P2,Future-tense «Відбудеться» does not directly define the adjective.,clean-candidate,upcoming → «майбутній»; definition (happening or appearing in the relatively near future) is accurate; adjective POS matches.,Відбудеться або з'явиться,P2,high,pos-alignment,future-tense «Відбудеться» does not directly define the adjective upcoming — confirmed (Pass A P2).,definitionUa,"Такий, що має відбутися або з’явитися найближчим часом."
SB-1443,document,word family,документ,"Оригінал або офіційний документ, який використовується як основа, доказ або підтримка будь-чого іншого, включаючи будь-який письмовий документ, книгу чи інший документ, що передає інформацію, що має відношення до такого до...",P1,The learner-facing document definition is physically truncated at 225 characters and also contains «має відношення».,P2,"document definition is truncated, ending «...має відношення до такого до...»; it also repeats «документ» several times. Gloss «документ» is correct.",має відношення до такого до,P1,high,ui-truncation,the learner-facing definition is truncated at «…має відношення до такого до…» and also repeats «документ» — broken text confirmed over Pass B's P2.,definitionUa,"Письмовий або цифровий матеріал, що містить інформацію чи слугує офіційним записом або доказом."
SB-1544,clause,word family,пункт,"Група слів, яка містить підмет і дієслово; це може бути частиною речення або може становити все речення, залежно від синтаксису в кожному випадку.",P1,ua «пункт» does not match the grammatical clause explicitly defined.,P2,"clause gloss «пункт» selects the document/contract sense, but the definition describes a grammatical clause (group of words with a subject and verb); the two senses are inconsistent.",містить підмет і дієслово,P1,high,ua-definition-consistency,ua «пункт» selects the document/contract sense but the definition describes a grammatical clause — ua↔definition inconsistency confirmed.,both,"ua: речення; клауза | definitionUa: Група слів із підметом і присудком, що є частиною складного речення або окремим реченням."
SB-0718,logic,n.,логіка,"Метод людського мислення, який передбачає лінійне, поетапне мислення про те, як можна вирішити проблему. Логіка є основою багатьох принципів, включаючи науковий метод.",P1,The definition inaccurately reduces logic to linear step-by-step problem solving.,clean-candidate,"logic → «логіка»; definition (a method of linear, step-by-step reasoning; the basis of the scientific method) is accurate; noun POS matches.","лінійне, поетапне мислення",P1,high,semantic-fidelity,the definition inaccurately reduces logic to linear step-by-step problem solving — semantic defect confirmed.,definitionUa,Система принципів правильного міркування та встановлення обґрунтованих висновків.
SB-1356,policy,word family,політика; стратегічний курс,"Принцип поведінки, який суб’єкт (уряд, організація тощо) застосовує або прагне дотримуватися, особливо якщо формально виражено авторитетним органом.",P1,«Якщо формально виражено» lacks agreement with політика or принцип and leaves the clause malformed.,clean-candidate,policy → «політика; стратегічний курс»; definition (principle of conduct adopted by a government/organisation) is accurate; noun POS matches.,якщо формально виражено,P1,high,grammar-syntax,"«якщо формально виражено» lacks agreement with політика/принцип, leaving the clause malformed — confirmed.",definitionUa,"Принцип або курс дій, якого дотримується уряд чи організація, особливо коли його офіційно затверджено."
SB-0132,blade,n.,лезо,"Частина ножа, меча, бритви чи іншого інструменту (як правило, з гострим краєм), яким вона ріже.",P2,The pronoun in «яким вона ріже» has an unclear antecedent and produces awkward syntax.,clean-candidate,"blade → «лезо»; definition (the cutting part of a knife, sword, razor or tool) is accurate; noun POS matches.",яким вона ріже,P2,high,grammar-syntax,the pronoun in «яким вона ріже» has an unclear antecedent and produces awkward syntax — confirmed (Pass A P2).,definitionUa,"Гостра ріжуча частина ножа, меча, бритви чи іншого інструмента."
SB-0614,indigenous,adj.,корінний,"Народився або походить з країни чи регіону, особливо до вторгнення.",P1,"Past-tense «Народився» does not define the adjective, and the invasion qualifier is inaccurate.",clean-candidate,"indigenous → «корінний»; definition (born or originating in a country or region, esp. before invasion) conveys the sense despite the «Народився» framing; adjective POS matches.",особливо до вторгнення,P1,high,pos-alignment,past-tense «Народився» does not define the adjective and the invasion qualifier is inaccurate — confirmed.,definitionUa,"Корінний для певної країни чи регіону; такий, що походить звідти природно або історично."
