id,word,pos,ua,definitionUa,pass_a_disposition,pass_a_rationale,pass_b_disposition,pass_b_rationale,evidence_quote,final_disposition,confidence,category,rationale,proposed_target,proposed_value
SB-1760,suspended,word family,призупинено,Змусив на деякий час зупинитися; переривається або затримується.,P1,"ua is impersonal, while the definition shifts from masculine past to present reflexive.",clean-candidate,suspended → «призупинено»; definition (made to stop for a time; interrupted or delayed) conveys the sense despite the awkward «Змусив»; consistent gloss.,Змусив на деякий час зупинитися,P1,high,tense-alignment,impersonal ua «призупинено» clashes with the masculine-past/present-reflexive definition «Змусив… переривається» — misalignment confirmed.,both,"ua: призупинений | definitionUa: Тимчасово зупинений, відкладений або усунений від виконання обов’язків."
SB-0963,rear,"adj., n.",задній,"Задня або крайня задня частина; те, що позаду, або останнє за порядком.",P1,"The source is adjective and noun, but ua is adjective-only and the definition noun-only.",clean-candidate,"rear → «задній»; definition (the back or rearmost part; that which is behind or last in order) is accurate; adj.,n. POS matches.",Задня або крайня задня частина,P1,high,pos-alignment,"rear is adj.,n. but ua «задній» is adjective-only while the definition is noun-only — coverage defect confirmed.",both,ua: задній; задня частина | definitionUa: Розташований позаду; також задня частина чогось.
SB-0015,accountability,n.,підзвітність,Стан підзвітності; зобов'язання викликати звіт або дати пояснення; зобов'язання нести відповідальність або відповідати за щось.,P1,The definition contains the literal calque «викликати звіт» and does not give a natural account of accountability.,clean-candidate,accountability → «підзвітність»; definition (state of being accountable; obligation to answer for something) is accurate; noun POS matches.,викликати звіт,P1,high,calque-russianism,"«викликати звіт» is a literal calque of 'call to account', non-idiomatic Ukrainian — confirmed (Pass B wrongly cleared it).",definitionUa,Обов’язок пояснювати свої дії та нести за них відповідальність.
SB-0187,civic,adj.,громадянський,"Про або щодо громадянина, або про добросовісне громадянство та його права та обов'язки.",P2,«Про або щодо» is a fragmentary calque rather than an adjective definition.,clean-candidate,civic → «громадянський»; definition (relating to a citizen or to good citizenship and its rights and duties) is accurate; adjective POS matches.,Про або щодо,P2,high,idiomatic-ukrainian,«Про або щодо» is a fragmentary calque rather than an adjective definition for civic — confirmed (Pass A P2).,definitionUa,"Пов’язаний із громадянами, громадою, їхніми правами та обов’язками."
SB-1680,automatically,word family,автоматично,Автоматичним способом.,P2,«Автоматичним способом» is circular and provides no usable sense.,clean-candidate,automatically → «автоматично»; definition 'in an automatic manner' is correct; adverb POS matches.,Автоматичним способом,P2,high,pedagogical-definition,«Автоматичним способом» is circular and provides no usable sense — confirmed (Pass A P2).,definitionUa,"Без ручного втручання або свідомого рішення, завдяки заданому процесу."
SB-0098,attorney,n.,адвокат,"юрист; той, хто консультує або представляє інших у юридичних питаннях як професія.",P2,The definition starts with a lowercase letter.,clean-candidate,attorney → «адвокат»; definition (a lawyer who advises or represents others in legal matters as a profession) is accurate; noun POS matches.,"юрист; той, хто",P2,high,ui-formatting,"the definition starts with a lowercase letter — cosmetic P2, confirmed.",definitionUa,"Юрист, який професійно консультує або представляє інших у правових питаннях."
SB-1229,transparency,n.,прозорість,відкритість; доступність для перевірки.,P2,The definition starts with a lowercase letter.,clean-candidate,transparency → «прозорість»; definition (openness; availability for inspection) is accurate; noun POS matches.,відкритість; доступність для перевірки,P2,high,ui-formatting,"the definition starts with a lowercase letter — cosmetic P2, confirmed.",definitionUa,Відкритість і доступність для перевірки.
SB-0999,reproduce,v.,відтворювати,Для створення або розмноження потомства або організмів статевим або нестатевим шляхом.,P1,The purpose phrase «Для створення» does not define the verb and the entry covers only biological reproduction.,clean-candidate,reproduce → «відтворювати»; definition (to create offspring or organisms sexually or asexually) is accurate; verb POS matches.,Для створення або розмноження,P1,high,grammar-syntax,the purpose phrase «Для створення» does not define the verb and the entry covers only biological reproduction — confirmed.,definitionUa,Створювати копію або повторювати щось; також давати потомство.
SB-1455,interaction,word family,взаємодія,Розмова або обмін між людьми.,P2,The definition limits interaction to conversation or exchange between people.,clean-candidate,interaction → «взаємодія»; definition (a conversation or exchange between people) is accurate; noun POS matches.,Розмова або обмін між людьми,P2,high,sense-coverage,the definition narrows interaction to conversation/exchange between people — sense-coverage confirmed (Pass A P2).,definitionUa,"Взаємний вплив або обмін між людьми, об’єктами чи системами."
SB-1573,psychology,word family,психологія,Вивчення людського розуму.,P2,"Psychology studies mind and behavior, not only the human mind.",clean-candidate,psychology → «психологія»; definition (the study of the human mind) is accurate; noun POS matches.,Вивчення людського розуму,P2,high,sense-coverage,"psychology studies mind and behaviour, not only the human mind — sense-coverage confirmed (Pass A P2).",definitionUa,"Наука про психіку, поведінку та психічні процеси людей."
SB-0944,pulse,n.,пульс,"Зазвичай регулярне серцебиття відчувається, коли артерії поблизу шкіри (наприклад, на шиї чи зап’ясті) стиснуті, спричинене серцем, що прокачує через них кров.",P1,The definition confuses pulse with heartbeat and says arteries are compressed rather than palpated.,clean-candidate,pulse → «пульс»; definition (the usually regular heartbeat felt when arteries near the skin are compressed) is accurate; noun POS matches.,артерії поблизу шкіри,P1,high,semantic-fidelity,the definition confuses pulse with heartbeat and says arteries are compressed rather than palpated — semantic defect confirmed.,definitionUa,"Ритмічне розширення артерій, спричинене серцебиттям і відчутне, наприклад, на зап’ясті чи шиї."
SB-1565,modified,word family,змінений,змінений; змінено,P2,The lowercase definition repeats mixed adjective and impersonal forms.,P2,"modified → «змінений» is fine, but the definition «змінений; змінено» merely restates the headword forms and teaches nothing.",змінений; змінено,P2,high,ui-formatting,the definition «змінений; змінено» merely restates the headword forms and teaches nothing — both passes agree P2.,definitionUa,Змінений порівняно з початковою формою.
SB-1752,relaxed,word family,розслаблений,Вільний від напруги або тривоги; невимушено; неквапливий.,P1,The definition mixes adjective and adverb forms («невимушено; неквапливий»).,clean-candidate,relaxed → «розслаблений»; definition (free from tension or anxiety; at ease; unhurried) is accurate; adjective POS matches.,невимушено; неквапливий,P1,high,grammar-syntax,the definition mixes adjective and adverb forms («невимушено; неквапливий») — grammar defect confirmed.,definitionUa,Вільний від напруги або тривоги; спокійний і невимушений.
SB-1532,statistics,word family,статистика,"Систематичний збір даних вимірювань або спостережень, часто пов’язаних із демографічною інформацією, такою як підрахунок населення, доходи, підрахунок населення в різному віці тощо.",P2,The definition narrows statistics to demographic collections and repeats population count.,clean-candidate,"statistics → «статистика»; definition (systematic collection of measurement or observation data, often demographic) is accurate; noun POS matches.",демографічною інформацією,P2,high,sense-coverage,the definition narrows statistics to demographic collections and repeats population count — sense-coverage confirmed (Pass A P2).,definitionUa,"Числові дані та наука про їх збирання, аналіз і тлумачення."
SB-0775,misery,n.,страждання,Велике нещастя; сильний біль тіла або розуму; убогість; дистрес; горе.,P2,«Біль тіла або розуму» and unexplained «дистрес» are unnatural learner-facing Ukrainian.,clean-candidate,misery → «страждання»; definition (great unhappiness; intense bodily or mental pain; distress; grief) is accurate; noun POS matches.,біль тіла або розуму,P2,high,learner-register,«біль тіла або розуму» and the unexplained «дистрес» are unnatural learner-facing Ukrainian — register confirmed (Pass A P2).,definitionUa,"Сильне фізичне або душевне страждання, горе чи крайнє нещастя."
SB-0765,migration,n.,міграція,Випадок переїзду на деякий час жити в інше місце.,P2,The definition unnecessarily limits migration to living elsewhere only for some time.,clean-candidate,migration → «міграція»; definition (an instance of moving to live elsewhere for a time) is accurate; noun POS matches.,переїзду на деякий час,P2,high,sense-coverage,the definition unnecessarily limits migration to living elsewhere only for a time — sense-coverage confirmed (Pass A P2).,definitionUa,"Переміщення людей або тварин з одного місця до іншого, тимчасове чи постійне."
SB-1009,respective,adj.,відповідний,"Що стосується конкретних осіб або речей, кожен до кожного; особливий; власні.",P1,«Кожен до кожного; особливий; власні» has broken agreement and does not explain respective.,clean-candidate,"respective → «відповідний»; definition (relating to particular persons or things, each to each; particular; own) is accurate; adjective POS matches.",кожен до кожного,P1,high,grammar-syntax,«кожен до кожного; особливий; власні» has broken agreement and does not explain respective — confirmed.,definitionUa,"Такий, що окремо стосується кожної з названих осіб або речей."
SB-1617,lecture,word family,лекція,"Розмовний урок або експозиція, як правило, для групи.",P1,«Експозиція» is a false friend here; a lecture is an oral presentation or lesson.,clean-candidate,"lecture → «лекція»; definition (a spoken lesson or exposition, usually to a group) conveys the sense; noun POS matches.",експозиція,P1,high,semantic-fidelity,«експозиція» is a false friend here; a lecture is an oral presentation or lesson — semantic defect confirmed.,definitionUa,Усний навчальний виклад або виступ перед групою слухачів.
SB-0542,genocide,n.,геноцид,"Систематичне та умисне знищення групи людей; як правило, вбиваючи значну кількість з них на основі їхньої етнічної приналежності, релігії чи національності.",P2,The semicolon creates an awkward lowercase participial continuation and «етнічна приналежність» is less idiomatic.,clean-candidate,"genocide → «геноцид»; definition (systematic, deliberate destruction of a group by ethnicity/religion/nationality) is accurate; noun POS matches.",етнічної приналежності,P2,high,grammar-syntax,the semicolon creates an awkward lowercase participial continuation and «етнічна приналежність» is less idiomatic — confirmed (Pass A P2).,definitionUa,"Умисне систематичне знищення людей через їхню етнічну належність, релігію, національність або іншу групову ознаку."
SB-1418,resources,word family,ресурси,"Щось, що використовується для досягнення мети, напр. сировини або персоналу.",P2,The example after «напр.» uses incorrect genitive and lacks clean punctuation.,clean-candidate,"resources → «ресурси»; definition (something used to achieve a goal, e.g. raw materials or personnel) is accurate; plural noun POS matches.",напр. сировини або персоналу,P2,high,grammar-syntax,the example after «напр.» uses incorrect genitive and lacks clean punctuation — confirmed (Pass A P2).,definitionUa,"Засоби, матеріали або люди, які використовують для досягнення мети, наприклад сировина чи персонал."
SB-1118,stark,adj.,разючий; суворий,"Простий на вигляд; безплідний, безлюдний.",P1,"ua gives striking/severe, while the definition gives plain/barren and does not reconcile the senses.",clean-candidate,"stark → «разючий; суворий»; definition (plain-looking; barren, desolate) is accurate; adjective POS matches.",Простий на вигляд,P1,high,ua-definition-consistency,ua «разючий; суворий» (striking/severe) is not reconciled with the definition «Простий на вигляд; безплідний» (plain/barren) — ua↔definition inconsistency confirmed.,both,ua: разючий; суворий; голий | definitionUa: Дуже виразний або різкий; також суворий і позбавлений прикрас.
SB-0642,intake,n.,споживання,Прийнята кількість.,P2,«Прийнята кількість» is too vague to explain intake in the stated consumption sense.,clean-candidate,intake → «споживання»; definition (the amount taken in) fits the consumption sense; noun POS matches.,Прийнята кількість,P2,high,pedagogical-definition,«Прийнята кількість» is too vague to explain intake in the consumption sense — pedagogical confirmed (Pass A P2).,definitionUa,"Кількість їжі, напою, повітря або іншої речовини, яку споживає чи приймає організм."
SB-0782,modification,n.,модифікація,Результат модифікації чогось; нову або змінену форму.,P1,Accusative «нову або змінену форму» does not agree with nominative «результат».,clean-candidate,modification → «модифікація»; definition (the result of modifying something; a new or changed form) conveys the sense despite minor case slippage («нову»); noun POS matches.,нову або змінену форму,P1,high,grammar-syntax,accusative «нову або змінену форму» does not agree with the nominative «результат» — agreement defect confirmed.,definitionUa,Зміна чогось або результат такої зміни; нова чи змінена форма.
SB-1191,terrific,adj.,чудовий,"Надзвичайно добре; відмінно, дивовижно.",P2,Adverbial «добре; відмінно» does not directly define the adjective.,clean-candidate,"terrific → «чудовий»; definition (extremely good; excellent, amazing) is accurate; adjective POS matches.","відмінно, дивовижно",P2,high,pos-alignment,adverbial «добре; відмінно» does not directly define the adjective terrific — confirmed (Pass A P2).,definitionUa,"Надзвичайно добрий, чудовий або дивовижний."
SB-1638,converted,word family,перетворений,змінилася форма чи функція тощо.,P1,Lowercase feminine past «змінилася» does not align with masculine converted.,clean-candidate,converted → «перетворений»; definition (form or function has changed) conveys the sense despite terse phrasing; consistent gloss.,змінилася форма чи функція,P1,high,pos-alignment,lowercase feminine-past «змінилася» does not align with the participle converted — confirmed.,definitionUa,"Перетворений на іншу форму, функцію або систему."
SB-1663,prohibited,word family,заборонено,Заборонено; заборонений; недозволено.,P2,"ua and the definition mix impersonal, masculine adjective, and impersonal adverb forms.",clean-candidate,prohibited → «заборонено»; definition (forbidden; not permitted) is accurate; consistent gloss.,Заборонено; заборонений; недозволено,P2,high,pos-alignment,"ua and the definition mix impersonal, adjective and adverb forms — confirmed (Pass A P2).",both,"ua: заборонений | definitionUa: Не дозволений правилом, законом або владою."
SB-0827,optimism,n.,оптимізм,"схильність очікувати найкращого або, принаймні, сприятливого результату",P2,The definition starts lowercase and lacks terminal punctuation.,clean-candidate,optimism → «оптимізм»; definition (tendency to expect the best/favourable outcome) is accurate; lowercase/no-period is trivial house-style.,сприятливого результату,P2,high,ui-formatting,"the definition starts lowercase and lacks terminal punctuation — cosmetic P2, confirmed.",definitionUa,Схильність очікувати найкращого або принаймні сприятливого результату.
SB-0118,bay,n.,затока,"Тіло води (особливо море), яке міститься увігнутою береговою лінією.",P1,«Тіло води ... міститься увігнутою береговою лінією» is an unintelligible literal calque.,P2,"bay definition opens «Тіло води», a literal calque of 'body of water'; natural Ukrainian is «водойма». The gloss «затока» itself is correct.",Тіло води,P1,high,calque-russianism,«Тіло води … міститься увігнутою береговою лінією» is an unintelligible literal calque — confirmed over Pass B's P2.,definitionUa,"Частина моря чи озера, що вдається в суходіл і частково оточена берегом."
SB-1513,job,word family,робота,завдання.,P2,The definition starts lowercase and reduces job to an unexplained one-word synonym.,clean-candidate,"job → «робота»; definition «завдання.» is terse but gives a valid 'task' sense; lowercase start is trivial house-style, not misleading.",завдання.,P2,high,ui-formatting,the definition starts lowercase and reduces job to an unexplained one-word synonym — confirmed (Pass A P2).,definitionUa,Оплачувана робота або конкретне завдання чи обов’язок.
SB-1690,displacement,word family,переміщення,Акт витіснення або стан витіснення; постановка з місця.,P1,«Постановка з місця» is a false and unidiomatic rendering of displacement.,clean-candidate,displacement → «переміщення»; definition (the act or state of displacing; putting out of place) conveys the sense; noun POS matches.,постановка з місця,P1,high,semantic-fidelity,"«постановка з місця» is a false, unidiomatic rendering of displacement — confirmed.",definitionUa,Переміщення з попереднього місця або витіснення; також відстань такого переміщення.
SB-1452,implies,word family,передбачає,Пропонується без прямого вказівки; причетні або натякані.,P1,Active headword implies and ua «передбачає» are paired with passive/plural fragments «Пропонується ... причетні».,P2,implies definition «Пропонується без прямого вказівки...» has a gender/case agreement error («прямого вказівки» should be «прямої вказівки»); phrasing is also awkward.,Пропонується без прямого,P1,high,voice-alignment,the active headword implies and ua «передбачає» are paired with passive/plural fragments «Пропонується … причетні» with an agreement error — confirmed over Pass B's P2.,definitionUa,"Непрямо вказує на щось, не висловлюючи цього прямо."
SB-0069,apparatus,n.,апарат,"Сукупність засобів, за допомогою яких створюється конкретне виробництво або виконується завдання.",P1,«Конкретне виробництво» is not an idiomatic or accurate account of apparatus as equipment for a task.,clean-candidate,apparatus → «апарат»; definition (the means by which a production is made or a task performed) is accurate; noun POS matches.,конкретне виробництво,P1,high,semantic-fidelity,«конкретне виробництво» is not an accurate account of apparatus as equipment for a task — semantic defect confirmed.,definitionUa,"Набір обладнання або засобів, потрібних для виконання певного завдання."
SB-0310,critique,n.,критика,"Есе, в якому критикується, рецензується інший твір тощо.",P2,"The comma between «критикується, рецензується» joins alternatives incorrectly and the wording is narrow.",clean-candidate,critique → «критика»; definition (an essay that criticises or reviews another work) is accurate; noun POS matches.,"критикується, рецензується",P2,high,grammar-syntax,"the comma between «критикується, рецензується» joins alternatives incorrectly and the wording is narrow — confirmed (Pass A P2).",definitionUa,"Критичний аналіз або оцінка твору, ідеї чи роботи."
SB-1487,approximated,word family,наближений,Розраховується наближено,P2,Present reflexive «Розраховується» does not align well with approximated and the definition lacks a period.,clean-candidate,approximated → «наближений»; definition 'is calculated approximately' conveys the estimation sense; adjective/participle gloss acceptable.,Розраховується наближено,P2,high,ui-formatting,present reflexive «Розраховується» misaligns with the participle approximated and the definition lacks a period — confirmed (Pass A P2).,definitionUa,"Оцінений або розрахований наближено, а не точно."
SB-0081,arm,v.,озброювати,Для забезпечення бронею або (особливо пізніше) зброєю.,P1,The definition begins with the purpose construction «Для забезпечення» instead of defining the verb.,clean-candidate,arm → «озброювати»; definition (to provide with armour or weapons) is accurate; verb POS matches.,Для забезпечення бронею,P1,high,grammar-syntax,the definition begins with the purpose construction «Для забезпечення» instead of defining the verb arm — confirmed.,definitionUa,Забезпечувати когось зброєю або готувати до збройної дії.
SB-0914,privatization,n.,приватизація,Передача компанії або організації з державної власності та контролю в приватну.,P1,The phrase ends at «в приватну» without the required noun «власність».,clean-candidate,privatization → «приватизація»; definition (transfer of a company from public ownership and control to private) is accurate; noun POS matches.,в приватну,P1,high,grammar-syntax,the phrase ends at «в приватну» without the required noun «власність» — broken syntax confirmed.,definitionUa,Передача підприємства або організації з державної власності й контролю у приватну власність.
SB-1175,sword,n.,меч,"Довга клинкова зброя з руків’ям і, як правило, навершям і поперечною гардою (разом утворюючи ефес), яка призначена для рубання, удару, рубання та/або рубання.",P2,The definition repeats «рубання» and obscures the sword's cutting and thrusting functions.,P2,"sword definition lists «рубання» three times ('для рубання, удару, рубання та/або рубання'), a redundant repetition; the gloss «меч» is correct.","рубання, удару, рубання",P2,high,pedagogical-definition,"the definition lists «рубання» three times, a redundant repetition — both passes agree P2.",definitionUa,"Довга клинкова зброя з руків’ям, призначена для рубання або колючих ударів."
SB-0573,harvest,"n., v.",урожай,Принести врожай; жати; підбирати.,P1,"The source is noun and verb, but ua is noun-only and the definition verb-only.",clean-candidate,"harvest → «урожай»; definition (bring in a crop; reap; gather) leans to the verb senses, consistent with the n.,v. POS tag.",Принести врожай; жати; підбирати,P1,high,pos-alignment,"harvest is n.,v. but ua «урожай» is noun-only while the definition is verb-only — coverage defect confirmed.",both,ua: урожай; збирати врожай | definitionUa: Зібрані сільськогосподарські культури; також збирати їх після дозрівання.
SB-0872,pit,n.,яма,Яма в землі.,P2,«Яма — яма в землі» is circular and adds no usable explanation.,clean-candidate,pit → «яма»; definition (a hole in the ground) is accurate; noun POS matches.,Яма в землі,P2,high,pedagogical-definition,«Яма — яма в землі» is circular and adds no usable explanation — confirmed (Pass A P2).,definitionUa,Глибоке заглиблення або отвір у землі.
SB-1518,option,word family,варіант,"Один із набору варіантів, які можна зробити.",P1,"«Варіант із набору варіантів, які можна зробити» is circular and uses the wrong collocation.",clean-candidate,option → «варіант»; definition (one of a set of choices) is accurate; noun POS matches.,"варіантів, які можна зробити",P1,high,semantic-fidelity,"«варіант із набору варіантів, які можна зробити» is circular and uses the wrong collocation «зробити» — confirmed.",definitionUa,"Одна з можливостей, яку можна вибрати."
SB-0156,bureaucracy,n.,бюрократія,Уряд через бюро або їхніх адміністраторів чи службовців.,P1,«Уряд через бюро» is a literal and unidiomatic rendering that does not explain bureaucracy.,clean-candidate,bureaucracy → «бюрократія»; definition (government via bureaus and their officials) conveys the sense despite slightly literal phrasing.,Уряд через бюро,P1,high,calque-russianism,"«Уряд через бюро» is a literal, unidiomatic rendering that does not explain bureaucracy — confirmed.",definitionUa,"Система управління, у якій важливу роль відіграють численні установи, правила й посадовці."
SB-1400,institute,word family,інститут,"Організація, заснована для просування справи",P2,The definition is missing terminal punctuation.,clean-candidate,institute → «інститут»; definition (an organisation founded to promote a cause) is accurate; noun POS matches.,заснована для просування справи,P2,high,ui-formatting,"the definition is missing terminal punctuation — cosmetic P2, confirmed.",definitionUa,"Організація, заснована для розвитку певної галузі, науки або суспільної справи."
SB-1312,worthy,adj.,гідний,"Мати цінність, заслуги або цінність.",P2,The finite phrase repeats «цінність» and does not directly define the adjective.,clean-candidate,"worthy → «гідний»; definition (having worth, merit or value) is accurate; adjective POS matches.","Мати цінність, заслуги або цінність",P2,high,pos-alignment,the finite phrase repeats «цінність» and does not directly define the adjective worthy — confirmed (Pass A P2).,definitionUa,"Гідний уваги, поваги або винагороди завдяки своїм якостям."
SB-0965,reassure,v.,заспокоювати,Запевнити заново; відновити довіру до; звільнитися від страху чи невпевненості в собі.,P1,«Запевнити заново» is a literal calque and «звільнитися» changes the subject of the transitive verb.,clean-candidate,reassure → «заспокоювати»; definition (to assure again; to restore confidence; to free from fear or self-doubt) is accurate; verb POS matches.,Запевнити заново,P1,high,grammar-syntax,«Запевнити заново» is a literal calque and «звільнитися» changes the subject of the transitive verb — confirmed.,definitionUa,"Заспокоювати когось, відновлюючи його впевненість або усуваючи страх чи сумнів."
SB-0895,preliminary,adj.,попередній,"При підготовці до основної справи; початковий, вступний, підготовчий.",P2,The prepositional phrase «При підготовці» does not directly define the adjective.,clean-candidate,"preliminary → «попередній»; definition (in preparation for the main matter; initial, introductory) is accurate; adjective POS matches.",При підготовці до основної справи,P2,high,pos-alignment,the prepositional phrase «При підготовці» does not directly define the adjective preliminary — confirmed (Pass A P2).,definitionUa,"Початковий або підготовчий; такий, що передує основній дії."
SB-1753,restraints,word family,обмеження,контроль або обережність; резерв,P1,Lowercase «контроль або обережність; резерв» is vague and reserve is a false-friend sense here.,P2,"restraints → «обмеження» is fine, but the definition «контроль або обережність; резерв» is weak and the gloss 'резерв' (reserve) does not fit restraint.",контроль або обережність; резерв,P1,high,semantic-fidelity,"the definition is lowercase and vague, and «резерв» (reserve) is a false-friend sense for restraint — confirmed over Pass B's P2.",definitionUa,"Засоби або правила, що обмежують свободу дії чи руху; стримувальні заходи."
SB-1484,adequate,word family,адекватний,Дорівнює або виконує певну вимогу.,P1,«Виконує певну вимогу» is a literal calque; Ukrainian uses «відповідає вимозі».,clean-candidate,adequate → «адекватний»; definition (equal to or meeting a particular requirement) is accurate; adjective POS matches.,виконує певну вимогу,P1,high,calque-russianism,«виконує певну вимогу» is a literal calque; idiomatic Ukrainian is «відповідає вимозі» — confirmed.,definitionUa,"Достатній для певної мети або такий, що відповідає вимогам."
SB-1503,error,word family,помилка,"помилка; випадкова неправильна дія або неправдива заява, зроблена не навмисно.",P2,The definition starts lowercase and redundantly repeats «помилка».,clean-candidate,error → «помилка»; definition (an accidental incorrect action or false statement made unintentionally) is accurate though it restates the gloss; noun POS matches.,випадкова неправильна дія,P2,high,ui-formatting,the definition starts lowercase and redundantly repeats «помилка» — confirmed (Pass A P2).,definitionUa,"Ненавмисна неправильна дія, обчислення або неправдиве твердження."
SB-0789,municipal,adj.,муніципальний,"Муніципалітет або пов’язаний з муніципалітетом (місто чи корпорація, яка має право керувати місцевим урядом).",P1,The definition begins with the noun municipality instead of defining the adjective municipal.,clean-candidate,municipal → «муніципальний»; definition (of/related to a municipality) is accurate; adjective POS matches.,Муніципалітет або,P1,high,pos-alignment,the definition begins with the noun municipality instead of defining the adjective municipal — confirmed.,definitionUa,"Пов’язаний з містом, громадою або органом місцевого самоврядування."
