id,word,pos,ua,definitionUa,source_stage,final_disposition,category,confidence,provenance,proposal_state,proposed_target,proposed_value
SB-0054,alliance,n.,альянс,"Союз або зв’язок інтересів між сім’ями, державами, партіями тощо, особливо між сім’ями за шлюбом і державами за договором, угодою чи союзом.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0055,allocate,v.,виділити,Відкладати для певної мети.,r2-reconciliation,P1,semantic-fidelity,high,R2 A/B reconciliation (union-defect roster),present,definitionUa,Призначати або виділяти щось для певної мети.
SB-0056,allocation,n.,виділення,"Процес або процедура розподілу речей, особливо грошей або інших ресурсів.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0058,ally,n.,союзник,"Людина, яка співпрацює або допомагає іншому; асоційований; друг.",part1-floor,P1,pos-morphology-mismatch,medium,R1-listed defect; severity normalized to P1 by Codex acceptance review,present,definitionUa,"Той, хто співпрацює з іншим або допомагає йому; спільник, союзник."
SB-0059,aluminium,n.,алюміній,"Легкий сріблястий метал, що добувається з бокситів, і хімічний елемент (символ Al) з атомним номером 13.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0060,amateur,"adj., n.",любитель,"Людина, прив’язана до певної діяльності, навчання, науки чи мистецтва (наприклад, музики чи живопису), особливо та, яка розвиває будь-які дослідження, інтереси, смаки чи прихильності, не займаючись цим професійно.",r2-reconciliation,P1,pos-alignment,high,R2 A/B reconciliation (union-defect roster),present,both,"ua: аматор; аматорський | definitionUa: Людина, яка займається чимось не професійно; також такий, що стосується непрофесійної діяльності."
SB-0061,ambassador,n.,посол,"Дипломат найвищого рангу, посланий до іноземного двору, щоб представляти там свого суверена або країну. (Іноді його називають резиденцією посла)",part1-floor,P1,semantic-pedagogical,high,Codex seed-20260914 blinded acceptance challenge,absent,,
SB-0063,amendment,n.,поправка,Доповнення та/або зміни до Конституції.,r2-reconciliation,P1,sense-coverage,high,R2 A/B reconciliation (union-defect roster),present,definitionUa,"Зміна або доповнення до документа, закону чи угоди, зокрема до конституції."
SB-0065,analogy,n.,аналогія,"Відношення подібності або еквівалентності між двома ситуаціями, людьми чи об’єктами, особливо коли використовується як основа для пояснення чи екстраполяції.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0066,anchor,n.,якір,"Інструмент, який використовується для причалювання судна до дна моря чи річки, щоб протистояти руху.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0067,angel,n.,ангел,"Безтілесний і святий або напівбожественний посланець божества чи іншої божественної сутності, традиційно зображується як молода крилата фігура в розвіваються шатах.",part1-floor,P1,grammar-calque-fragment,high,R1-listed defect; severity normalized to P1 by Codex acceptance review,present,definitionUa,"Безтілесний святий або напівбожественний посланець божества чи іншої божественної сутності, якого традиційно зображують молодою крилатою постаттю у просторих шатах, що розвіваються."
SB-0069,apparatus,n.,апарат,"Сукупність засобів, за допомогою яких створюється конкретне виробництво або виконується завдання.",r2-reconciliation,P1,semantic-fidelity,high,R2 A/B reconciliation (union-defect roster),present,definitionUa,"Набір обладнання або засобів, потрібних для виконання певного завдання."
SB-0070,appealing,adj.,привабливий,Наявність апеляції; привабливий.,part1-floor,P1,semantic-pedagogical-error,medium,R1-listed defect; severity normalized to P1 by Codex acceptance review,present,definitionUa,"Привабливий; такий, що викликає інтерес або симпатію."
SB-0071,appetite,n.,апетит,Бажання з'їсти їжу або випити напої.,consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0072,applaud,v.,аплодувати,Виражати схвалення (чогось) плеском у долоні.,consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0073,applicable,adj.,застосовний,"Підходить для застосування, актуальна.",part1-floor,P1,grammar-syntax,high,Codex seed-20260914 blinded acceptance challenge,absent,,
SB-0075,appreciation,n.,вдячність,"Справедлива оцінка якості, цінності, ваги тощо; визнання досконалості; вдячність і пошана.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0076,arbitrary,adj.,довільний,"На основі особистого розсуду чи судження; не ґрунтуючись на будь-якій об’єктивній відмінності, можливо, навіть зробленій навмання.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0077,architectural,adj.,архітектурний,Що стосується архітектури.,consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0078,archive,n.,архів,"Місце для зберігання раннього, а часто й історичного матеріалу. Архів зазвичай містить документи (листи, записи, газети тощо) або інші типи носіїв, які зберігаються для історичного інтересу.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0081,arm,v.,озброювати,Для забезпечення бронею або (особливо пізніше) зброєю.,r2-reconciliation,P1,grammar-syntax,high,R2 A/B reconciliation (union-defect roster),present,definitionUa,Забезпечувати когось зброєю або готувати до збройної дії.
SB-0083,articulate,v.,артикулювати,Говорити чітко; виголошувати.,consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0084,ash,n.,попіл,Суцільні залишки пожежі.,r2-reconciliation,P1,semantic-fidelity,high,R2 A/B reconciliation (union-defect roster),present,definitionUa,Твердий порошкоподібний залишок після згоряння речовини.
SB-0086,aspire,v.,прагнути,Мати сильне бажання або амбіції досягти чогось.,consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0087,assassination,n.,вбивство,"Вбивство людини, особливо з політичних мотивів або заради особистої вигоди.",r2-reconciliation,P1,sense-coverage,high,R2 A/B reconciliation (union-defect roster),present,ua,політичне або замовне вбивство
SB-0088,assault,"n., v.",напад,"Нападати, фізично чи фігурально; атакувати.",r2-reconciliation,P1,pos-alignment,high,R2 A/B reconciliation (union-defect roster),present,both,ua: напад; нападати | definitionUa: Фізична або словесна атака; також нападати на когось чи щось.
SB-0089,assemble,v.,зібрати,Збирати разом.,consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0091,assert,v.,стверджувати,Заявляти з упевненістю або просто і рішуче; стверджувати позитивно.,consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0092,assertion,n.,твердження,Акт ствердження; позитивна декларація або авермент.,r2-reconciliation,P1,learner-register,high,R2 A/B reconciliation (union-defect roster),present,definitionUa,Упевнене й чітке твердження або заява.
SB-0093,assurance,n.,запевнення,"Акт запевнення; заява, яка має викликати повну довіру; щось, створене для того, щоб надати комусь впевненості.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0094,asylum,n.,притулок,Місце безпеки або притулок.,consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0095,atrocity,n.,злодіяння,Надзвичайно жорстокий вчинок; жахливий акт несправедливості.,consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0096,attain,v.,досягти,Отримати (об'єкт або бажаний результат).,consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0097,attendance,n.,присутність,Акт відвідування; стан присутності; наявність.,consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0098,attorney,n.,адвокат,"юрист; той, хто консультує або представляє інших у юридичних питаннях як професія.",r2-reconciliation,P2,ui-formatting,high,R2 A/B reconciliation (union-defect roster),present,definitionUa,"Юрист, який професійно консультує або представляє інших у правових питаннях."
SB-0099,attribute,"v., n.",атрибут,Пов'язувати право власності чи авторство на (щось) з кимось.,r2-reconciliation,P1,pos-alignment,high,R2 A/B reconciliation (union-defect roster),present,both,ua: ознака; приписувати | definitionUa: Характерна риса; також вважати щось наслідком чи твором певної особи або причини.
SB-0101,authentic,adj.,справжній,"Того ж походження, що заявлено; справжній.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0104,autonomy,n.,автономія,Право або умова самоврядування; свобода діяти або функціонувати незалежно.,consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0107,backdrop,n.,фон,Обстановка або фон розіграної вистави.,r2-reconciliation,P2,pedagogical-definition,high,R2 A/B reconciliation (union-defect roster),present,definitionUa,"Тло сцени або обставини, на тлі яких відбувається подія."
SB-0110,bail,n.,застава,"Забезпечення, як правило, грошова сума, яку обмінюють на звільнення заарештованої особи як гарантію явки цієї особи на суд.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0112,banner,n.,банер,"Будь-який великий знак, особливо з м’якого матеріалу або тканини.",part1-floor,P2,semantic-scope,medium,Codex seed-20260914 blinded acceptance challenge,absent,,
SB-0113,bare,adj.,голий,"Голий, непокритий.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0114,barrel,n.,бочка,"Кругла (циліндрична) посудина, така як бочка, більша за довжину, ніж завширшки, і опукла в середині, зроблена з держаків, зв’язаних обручами, і має плоскі кінці (голови).",r2-reconciliation,P1,semantic-fidelity,high,R2 A/B reconciliation (union-defect roster),present,definitionUa,"Циліндрична посудина, довша, ніж ширша, опукла посередині й складена з клепок, стягнутих обручами."
SB-0115,bass1,n.,бас (низький звук; басовий інструмент),Низький за висотою звук або музичний інструмент чи голос із низьким регістром.,consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0117,battlefield,n.,поле бою,"Область, де ведеться наземна битва, яка не обов’язково може бути полем.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0118,bay,n.,затока,"Тіло води (особливо море), яке міститься увігнутою береговою лінією.",r2-reconciliation,P1,calque-russianism,high,R2 A/B reconciliation (union-defect roster),present,definitionUa,"Частина моря чи озера, що вдається в суходіл і частково оточена берегом."
SB-0120,beast,n.,звір,"Тварина, особливо велика або небезпечна наземна хребетна.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0122,beloved,adj.,коханий,"Дуже любив, ніжно любив.",r2-reconciliation,P1,grammar-syntax,high,R2 A/B reconciliation (union-defect roster),present,definitionUa,Дуже дорогий або коханий.
SB-0123,bench,n.,лава,"Довге сидіння зі спинкою або без неї, наприклад, у парках і школах.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0126,beneficiary,n.,бенефіціар,"Той, хто користується або отримує перевагу.",r2-reconciliation,P2,pedagogical-definition,high,R2 A/B reconciliation (union-defect roster),present,definitionUa,"Особа або організація, яка отримує вигоду, виплату чи інше право."
SB-0127,betray,v.,зраджувати,"Порушити довіру або виявити приховану інформацію, почуття чи справжній характер.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0129,biography,n.,біографія,"Історія життя людини, особливо опублікованої.",r2-reconciliation,P1,grammar-syntax,high,R2 A/B reconciliation (union-defect roster),present,definitionUa,"Опис життя людини, написаний іншою особою."
SB-0132,blade,n.,лезо,"Частина ножа, меча, бритви чи іншого інструменту (як правило, з гострим краєм), яким вона ріже.",r2-reconciliation,P2,grammar-syntax,high,R2 A/B reconciliation (union-defect roster),present,definitionUa,"Гостра ріжуча частина ножа, меча, бритви чи іншого інструмента."
SB-0134,bleed,v.,кровоточити,Пролити кров через ушкоджену кровоносну судину.,r2-reconciliation,P1,semantic-fidelity,high,R2 A/B reconciliation (union-defect roster),present,definitionUa,Втрачати кров через ушкодження кровоносної судини.
SB-0136,bless,v.,благословляти,Викликати божественну прихильність.,r2-reconciliation,P2,idiomatic-ukrainian,high,R2 A/B reconciliation (union-defect roster),present,definitionUa,Просити Божої ласки для когось або освячувати когось чи щось.
SB-0138,boast,v.,хвалитися,Вихвалятися; голосно говорити на хвалу собі.,consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0139,bonus,n.,бонус,"Щось додаткове, що добре; додаткова перевага.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0140,boom,n.,бум,"Низький резонансний звук, наприклад вибух.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0142,boundary,n.,межа,Лінія розмежування або розташування між двома областями.,part1-floor,P1,semantic-pedagogical-error,high,R1-listed defect; severity normalized to P1 by Codex acceptance review,present,definitionUa,Лінія поділу між двома областями; межа.
SB-0143,bow1,"v., n.",нахилятися; уклін,Нахиляти голову або верхню частину тіла на знак поваги; також сам такий уклін.,consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0146,breakthrough,n.,прорив,"Будь-який серйозний прогрес; наприклад, велика інновація чи відкриття, яке долає значну перешкоду.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0152,buddy,n.,приятель,Друг або випадковий знайомий.,r2-reconciliation,P1,semantic-fidelity,high,R2 A/B reconciliation (union-defect roster),present,definitionUa,"Друг або приятель, з яким мають близькі чи невимушені стосунки."
SB-0153,buffer,n.,буфер,"Частина пам’яті, виділена для тимчасового зберігання даних, часто перед їх надсиланням на зовнішній пристрій або під час отримання із зовнішнього пристрою.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0156,bureaucracy,n.,бюрократія,Уряд через бюро або їхніх адміністраторів чи службовців.,r2-reconciliation,P1,calque-russianism,high,R2 A/B reconciliation (union-defect roster),present,definitionUa,"Система управління, у якій важливу роль відіграють численні установи, правила й посадовці."
SB-0158,burst,v.,лопнути,Зламати від внутрішнього тиску.,r2-reconciliation,P1,grammar-syntax,high,R2 A/B reconciliation (union-defect roster),present,definitionUa,Раптово розірватися або лопнути під внутрішнім тиском.
SB-0160,calculation,n.,розрахунок,Акт або процес обчислення.,consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0161,canvas,n.,полотно,"Тип грубої тканини, витканої з конопель, використовується для виготовлення вітрил і наметів або як поверхня для картин.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0162,capability,n.,здатність,Сила або здатність генерувати результат.,r2-reconciliation,P2,idiomatic-ukrainian,high,R2 A/B reconciliation (union-defect roster),present,definitionUa,Здатність або можливість досягти певного результату.
SB-0163,capitalism,n.,капіталізм,"Економічна система, заснована на приватній власності на засоби виробництва та їх експлуатації з метою отримання прибутку.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0165,cargo,n.,вантаж,"Вантаж, що перевозиться кораблем, літаком або автомобілем.",r2-reconciliation,P2,pedagogical-definition,high,R2 A/B reconciliation (union-defect roster),present,definitionUa,"Товари або речі, які перевозять судном, літаком чи транспортним засобом."
SB-0168,casino,n.,казино,Громадська будівля або зал для азартних ігор.,consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0170,catalogue,n.,каталог,"Повний (як правило, алфавітний або хронологічний) список елементів.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0172,cattle,n.,худоба,"Домашня тварина виду Bos taurus (корови, бики, бички, воли тощо) та інші копитні ссавці роду Bos.",r2-reconciliation,P1,number-agreement,high,R2 A/B reconciliation (union-defect roster),present,definitionUa,"Свійські тварини виду Bos taurus, зокрема корови, бики й воли."
SB-0173,caution,n.,обережність,"Розсудливість, коли ви стикаєтеся з небезпекою або очікуєте зіткнутися з небезпекою; обережність, щоб уникнути ризику чи шкоди.",part1-floor,P2,learner-register,medium,Codex seed-20260914 blinded acceptance challenge,absent,,
SB-0176,cemetery,n.,кладовище,"Місце, де ховають померлих; цвинтар або меморіальний парк.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0178,chaos,n.,хаос,Будь-який стан розладу; плутана або аморфна суміш або конгломерат.,consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0179,characterize,v.,характеризувати,Бути типовим для.,consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0180,charm,n.,чарівність,"Здатність переконувати, радувати або викликати захоплення.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0181,charter,n.,статут,"Документ, виданий певною владою, що створює державну чи приватну установу та визначає її цілі та привілеї.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0182,chronic,adj.,хронічний,"Про проблему, яка триває протягом тривалого періоду часу.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0183,chunk,n.,шматок,Велика або значна частина чогось.,consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0185,circulation,n.,обіг,Акт переходу з місця на місце або від людини до людини; вільна дифузія; спосіб передавання.,consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0186,citizenship,n.,громадянство,Стан громадянства; статус громадянина.,r2-reconciliation,P2,pedagogical-definition,high,R2 A/B reconciliation (union-defect roster),present,definitionUa,Правовий статус людини як громадянина певної держави.
SB-0187,civic,adj.,громадянський,"Про або щодо громадянина, або про добросовісне громадянство та його права та обов'язки.",r2-reconciliation,P2,idiomatic-ukrainian,high,R2 A/B reconciliation (union-defect roster),present,definitionUa,"Пов’язаний із громадянами, громадою, їхніми правами та обов’язками."
SB-0188,civilian,"n., adj.",цивільний,"Людина, яка займається цивільним життям, особливо та, яка не є активним членом збройних сил.",r2-reconciliation,P1,pos-alignment,high,R2 A/B reconciliation (union-defect roster),present,both,"ua: цивільна особа; цивільний | definitionUa: Людина, яка не є військовослужбовцем; також пов’язаний із цивільним життям."
SB-0190,clash,n.,зіткнення,"опозиція; протиріччя; наприклад, між різними або суперечливими інтересами, поглядами, цілями тощо.",r2-reconciliation,P2,ui-formatting,high,R2 A/B reconciliation (union-defect roster),present,definitionUa,"Протистояння або суперечність між різними інтересами, поглядами чи цілями."
SB-0191,classification,n.,класифікація,"Акт формування в клас або класи; розподіл на групи, як класи, порядки, родини тощо, відповідно до деяких спільних відносин або атрибутів.",part1-floor,P1,grammar-calque-fragment,high,R1-listed defect; severity normalized to P1 by Codex acceptance review,present,definitionUa,"Акт розподілу на класи; поділ на групи (класи, порядки, родини тощо) за спільними ознаками або атрибутами."
SB-0192,cling,v.,чіплятися,"Тримати дуже міцно, щоб не впасти.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0196,coalition,n.,коаліція,"Тимчасова група або спілка організацій, яка зазвичай створюється для певної переваги.",r2-reconciliation,P2,pedagogical-definition,high,R2 A/B reconciliation (union-defect roster),present,definitionUa,"Тимчасовий союз організацій або груп, створений для досягнення спільної мети."
SB-0198,cocktail,n.,коктейль,Змішаний алкогольний напій.,consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0199,cognitive,adj.,когнітивний,"Відноситься до тієї частини розумових функцій, яка має справу з логікою, на відміну від афективної, яка має справу з емоціями.",r2-reconciliation,P1,calque-russianism,high,R2 A/B reconciliation (union-defect roster),present,definitionUa,"Пов’язаний із пізнанням, мисленням, пам’яттю та іншими розумовими процесами."
