id,word,pos,ua,definitionUa,bucket,provenance
SB-0061,ambassador,n.,посол,"Дипломат найвищого рангу, посланий до іноземного двору, щоб представляти там свого суверена або країну. (Іноді його називають резиденцією посла)",d_clean,clean-pool (never flagged)
SB-0063,amendment,n.,поправка,Доповнення та/або зміни до Конституції.,d_clean,clean-pool (never flagged)
SB-0065,analogy,n.,аналогія,"Відношення подібності або еквівалентності між двома ситуаціями, людьми чи об’єктами, особливо коли використовується як основа для пояснення чи екстраполяції.",d_clean,clean-pool (never flagged)
SB-0066,anchor,n.,якір,"Інструмент, який використовується для причалювання судна до дна моря чи річки, щоб протистояти руху.",d_clean,clean-pool (never flagged)
SB-0067,angel,n.,ангел,"Безтілесний і святий або напівбожественний посланець божества чи іншої божественної сутності, традиційно зображується як молода крилата фігура в розвіваються шатах.",d_clean,clean-pool (never flagged)
SB-0069,apparatus,n.,апарат,"Сукупність засобів, за допомогою яких створюється конкретне виробництво або виконується завдання.",d_clean,clean-pool (never flagged)
SB-0070,appealing,adj.,привабливий,Наявність апеляції; привабливий.,d_clean,clean-pool (never flagged)
SB-0071,appetite,n.,апетит,Бажання з'їсти їжу або випити напої.,d_clean,clean-pool (never flagged)
SB-0072,applaud,v.,аплодувати,Виражати схвалення (чогось) плеском у долоні.,d_clean,clean-pool (never flagged)
SB-0073,applicable,adj.,застосовний,"Підходить для застосування, актуальна.",d_clean,clean-pool (never flagged)
SB-0075,appreciation,n.,вдячність,"Справедлива оцінка якості, цінності, ваги тощо; визнання досконалості; вдячність і пошана.",d_clean,clean-pool (never flagged)
SB-0076,arbitrary,adj.,довільний,"На основі особистого розсуду чи судження; не ґрунтуючись на будь-якій об’єктивній відмінності, можливо, навіть зробленій навмання.",d_clean,clean-pool (never flagged)
SB-0077,architectural,adj.,архітектурний,Що стосується архітектури.,d_clean,clean-pool (never flagged)
SB-0078,archive,n.,архів,"Місце для зберігання раннього, а часто й історичного матеріалу. Архів зазвичай містить документи (листи, записи, газети тощо) або інші типи носіїв, які зберігаються для історичного інтересу.",d_clean,clean-pool (never flagged)
SB-0081,arm,v.,озброювати,Для забезпечення бронею або (особливо пізніше) зброєю.,d_clean,clean-pool (never flagged)
SB-0083,articulate,v.,артикулювати,Говорити чітко; виголошувати.,d_clean,clean-pool (never flagged)
SB-0084,ash,n.,попіл,Суцільні залишки пожежі.,d_clean,clean-pool (never flagged)
SB-0086,aspire,v.,прагнути,Мати сильне бажання або амбіції досягти чогось.,d_clean,clean-pool (never flagged)
SB-0087,assassination,n.,вбивство,"Вбивство людини, особливо з політичних мотивів або заради особистої вигоди.",d_clean,clean-pool (never flagged)
SB-0088,assault,"n., v.",напад,"Нападати, фізично чи фігурально; атакувати.",d_clean,clean-pool (never flagged)
SB-0089,assemble,v.,зібрати,Збирати разом.,d_clean,clean-pool (never flagged)
SB-0091,assert,v.,стверджувати,Заявляти з упевненістю або просто і рішуче; стверджувати позитивно.,d_clean,clean-pool (never flagged)
SB-0092,assertion,n.,твердження,Акт ствердження; позитивна декларація або авермент.,d_clean,clean-pool (never flagged)
SB-0093,assurance,n.,запевнення,"Акт запевнення; заява, яка має викликати повну довіру; щось, створене для того, щоб надати комусь впевненості.",d_clean,clean-pool (never flagged)
SB-0094,asylum,n.,притулок,Місце безпеки або притулок.,d_clean,clean-pool (never flagged)
SB-0095,atrocity,n.,злодіяння,Надзвичайно жорстокий вчинок; жахливий акт несправедливості.,d_clean,clean-pool (never flagged)
SB-0096,attain,v.,досягти,Отримати (об'єкт або бажаний результат).,d_clean,clean-pool (never flagged)
SB-0097,attendance,n.,присутність,Акт відвідування; стан присутності; наявність.,d_clean,clean-pool (never flagged)
SB-0098,attorney,n.,адвокат,"юрист; той, хто консультує або представляє інших у юридичних питаннях як професія.",d_clean,clean-pool (never flagged)
SB-0099,attribute,"v., n.",атрибут,Пов'язувати право власності чи авторство на (щось) з кимось.,d_clean,clean-pool (never flagged)
SB-0101,authentic,adj.,справжній,"Того ж походження, що заявлено; справжній.",d_clean,clean-pool (never flagged)
SB-0104,autonomy,n.,автономія,Право або умова самоврядування; свобода діяти або функціонувати незалежно.,d_clean,clean-pool (never flagged)
SB-0107,backdrop,n.,фон,Обстановка або фон розіграної вистави.,d_clean,clean-pool (never flagged)
SB-0110,bail,n.,застава,"Забезпечення, як правило, грошова сума, яку обмінюють на звільнення заарештованої особи як гарантію явки цієї особи на суд.",d_clean,clean-pool (never flagged)
SB-0112,banner,n.,банер,"Будь-який великий знак, особливо з м’якого матеріалу або тканини.",d_clean,clean-pool (never flagged)
SB-0113,bare,adj.,голий,"Голий, непокритий.",d_clean,clean-pool (never flagged)
SB-0114,barrel,n.,бочка,"Кругла (циліндрична) посудина, така як бочка, більша за довжину, ніж завширшки, і опукла в середині, зроблена з держаків, зв’язаних обручами, і має плоскі кінці (голови).",d_clean,clean-pool (never flagged)
SB-0115,bass1,n.,бас (низький звук; басовий інструмент),Низький за висотою звук або музичний інструмент чи голос із низьким регістром.,d_clean,clean-pool (never flagged)
SB-0117,battlefield,n.,поле бою,"Область, де ведеться наземна битва, яка не обов’язково може бути полем.",d_clean,clean-pool (never flagged)
SB-0118,bay,n.,затока,"Тіло води (особливо море), яке міститься увігнутою береговою лінією.",d_clean,clean-pool (never flagged)
SB-0120,beast,n.,звір,"Тварина, особливо велика або небезпечна наземна хребетна.",d_clean,clean-pool (never flagged)
SB-0122,beloved,adj.,коханий,"Дуже любив, ніжно любив.",d_clean,clean-pool (never flagged)
SB-0123,bench,n.,лава,"Довге сидіння зі спинкою або без неї, наприклад, у парках і школах.",d_clean,clean-pool (never flagged)
SB-0126,beneficiary,n.,бенефіціар,"Той, хто користується або отримує перевагу.",d_clean,clean-pool (never flagged)
SB-0127,betray,v.,зраджувати,"Порушити довіру або виявити приховану інформацію, почуття чи справжній характер.",d_clean,clean-pool (never flagged)
SB-0129,biography,n.,біографія,"Історія життя людини, особливо опублікованої.",d_clean,clean-pool (never flagged)
SB-0132,blade,n.,лезо,"Частина ножа, меча, бритви чи іншого інструменту (як правило, з гострим краєм), яким вона ріже.",d_clean,clean-pool (never flagged)
SB-0134,bleed,v.,кровоточити,Пролити кров через ушкоджену кровоносну судину.,d_clean,clean-pool (never flagged)
SB-0136,bless,v.,благословляти,Викликати божественну прихильність.,d_clean,clean-pool (never flagged)
SB-0138,boast,v.,хвалитися,Вихвалятися; голосно говорити на хвалу собі.,d_clean,clean-pool (never flagged)
SB-0139,bonus,n.,бонус,"Щось додаткове, що добре; додаткова перевага.",d_clean,clean-pool (never flagged)
SB-0140,boom,n.,бум,"Низький резонансний звук, наприклад вибух.",d_clean,clean-pool (never flagged)
SB-0142,boundary,n.,межа,Лінія розмежування або розташування між двома областями.,c_known_open,known-open-24 (seed-20260913; semantic-pedagogical-error)
SB-0143,bow1,"v., n.",нахилятися; уклін,Нахиляти голову або верхню частину тіла на знак поваги; також сам такий уклін.,d_clean,clean-pool (never flagged)
SB-0146,breakthrough,n.,прорив,"Будь-який серйозний прогрес; наприклад, велика інновація чи відкриття, яке долає значну перешкоду.",d_clean,clean-pool (never flagged)
SB-0152,buddy,n.,приятель,Друг або випадковий знайомий.,d_clean,clean-pool (never flagged)
SB-0153,buffer,n.,буфер,"Частина пам’яті, виділена для тимчасового зберігання даних, часто перед їх надсиланням на зовнішній пристрій або під час отримання із зовнішнього пристрою.",d_clean,clean-pool (never flagged)
SB-0156,bureaucracy,n.,бюрократія,Уряд через бюро або їхніх адміністраторів чи службовців.,d_clean,clean-pool (never flagged)
SB-0158,burst,v.,лопнути,Зламати від внутрішнього тиску.,d_clean,clean-pool (never flagged)
SB-0160,calculation,n.,розрахунок,Акт або процес обчислення.,d_clean,clean-pool (never flagged)
SB-0161,canvas,n.,полотно,"Тип грубої тканини, витканої з конопель, використовується для виготовлення вітрил і наметів або як поверхня для картин.",d_clean,clean-pool (never flagged)
SB-0162,capability,n.,здатність,Сила або здатність генерувати результат.,d_clean,clean-pool (never flagged)
SB-0163,capitalism,n.,капіталізм,"Економічна система, заснована на приватній власності на засоби виробництва та їх експлуатації з метою отримання прибутку.",d_clean,clean-pool (never flagged)
SB-0165,cargo,n.,вантаж,"Вантаж, що перевозиться кораблем, літаком або автомобілем.",d_clean,clean-pool (never flagged)
SB-0168,casino,n.,казино,Громадська будівля або зал для азартних ігор.,d_clean,clean-pool (never flagged)
SB-0170,catalogue,n.,каталог,"Повний (як правило, алфавітний або хронологічний) список елементів.",d_clean,clean-pool (never flagged)
SB-0172,cattle,n.,худоба,"Домашня тварина виду Bos taurus (корови, бики, бички, воли тощо) та інші копитні ссавці роду Bos.",d_clean,clean-pool (never flagged)
SB-0173,caution,n.,обережність,"Розсудливість, коли ви стикаєтеся з небезпекою або очікуєте зіткнутися з небезпекою; обережність, щоб уникнути ризику чи шкоди.",d_clean,clean-pool (never flagged)
SB-0176,cemetery,n.,кладовище,"Місце, де ховають померлих; цвинтар або меморіальний парк.",d_clean,clean-pool (never flagged)
SB-0178,chaos,n.,хаос,Будь-який стан розладу; плутана або аморфна суміш або конгломерат.,d_clean,clean-pool (never flagged)
SB-0179,characterize,v.,характеризувати,Бути типовим для.,d_clean,clean-pool (never flagged)
SB-0180,charm,n.,чарівність,"Здатність переконувати, радувати або викликати захоплення.",d_clean,clean-pool (never flagged)
SB-0181,charter,n.,статут,"Документ, виданий певною владою, що створює державну чи приватну установу та визначає її цілі та привілеї.",d_clean,clean-pool (never flagged)
SB-0182,chronic,adj.,хронічний,"Про проблему, яка триває протягом тривалого періоду часу.",d_clean,clean-pool (never flagged)
SB-0183,chunk,n.,шматок,Велика або значна частина чогось.,d_clean,clean-pool (never flagged)
SB-0185,circulation,n.,обіг,Акт переходу з місця на місце або від людини до людини; вільна дифузія; спосіб передавання.,d_clean,clean-pool (never flagged)
SB-0186,citizenship,n.,громадянство,Стан громадянства; статус громадянина.,d_clean,clean-pool (never flagged)
SB-0187,civic,adj.,громадянський,"Про або щодо громадянина, або про добросовісне громадянство та його права та обов'язки.",d_clean,clean-pool (never flagged)
SB-0188,civilian,"n., adj.",цивільний,"Людина, яка займається цивільним життям, особливо та, яка не є активним членом збройних сил.",d_clean,clean-pool (never flagged)
SB-0190,clash,n.,зіткнення,"опозиція; протиріччя; наприклад, між різними або суперечливими інтересами, поглядами, цілями тощо.",d_clean,clean-pool (never flagged)
SB-0191,classification,n.,класифікація,"Акт формування в клас або класи; розподіл на групи, як класи, порядки, родини тощо, відповідно до деяких спільних відносин або атрибутів.",c_known_open,known-open-24 (seed-20260913; grammar-calque-fragment)
SB-0192,cling,v.,чіплятися,"Тримати дуже міцно, щоб не впасти.",d_clean,clean-pool (never flagged)
SB-0196,coalition,n.,коаліція,"Тимчасова група або спілка організацій, яка зазвичай створюється для певної переваги.",d_clean,clean-pool (never flagged)
SB-0198,cocktail,n.,коктейль,Змішаний алкогольний напій.,d_clean,clean-pool (never flagged)
SB-0199,cognitive,adj.,когнітивний,"Відноситься до тієї частини розумових функцій, яка має справу з логікою, на відміну від афективної, яка має справу з емоціями.",d_clean,clean-pool (never flagged)
SB-0200,coincide,v.,збігатися,Відбутися одночасно.,d_clean,clean-pool (never flagged)
SB-0201,collaborate,v.,співпрацювати,Працювати разом з іншими для досягнення спільної мети.,d_clean,clean-pool (never flagged)
SB-0204,collision,n.,зіткнення,"Будь-яка подія, під час якої два або більше тіл діють один на одного за відносно короткий час. При зіткненні фізичний контакт двох тіл не є необхідним.",d_clean,clean-pool (never flagged)
SB-0205,colonial,adj.,колоніальний,З колонії або відноситься до неї.,d_clean,clean-pool (never flagged)
SB-0206,columnist,n.,колумніст,"Регулярний автор колонки, наприклад, у журналі чи газеті.",d_clean,clean-pool (never flagged)
SB-0210,commentator,n.,коментатор,"Особа, яка надає миттєвий опис публічної події, зокрема спортивної, для аудиторії ЗМІ.",d_clean,clean-pool (never flagged)
SB-0211,commerce,n.,комерція,Обмін або купівля-продаж товарів; особливо великомасштабний обмін товарами між різними місцями чи спільнотами; розширена торгівля або рух.,d_clean,clean-pool (never flagged)
SB-0212,commissioner,n.,комісар,"Посадовець, відповідальний за урядове відомство, особливо поліцію.",d_clean,clean-pool (never flagged)
SB-0215,companion,n.,компаньйон,"Друг, знайомий або партнер; хтось, з ким проводять час або супроводжують",d_clean,clean-pool (never flagged)
SB-0217,compassion,n.,співчуття,"Глибоке усвідомлення страждань інших людей настільки, що вони мотивовані полегшити такі стани.",d_clean,clean-pool (never flagged)
SB-0218,compel,v.,змушувати,"Змушувати, обмежувати або примушувати.",d_clean,clean-pool (never flagged)
SB-0222,competence,n.,компетентність,"Якість або стан компетентності, тобто здатності або придатності для виконання загальної ролі.",d_clean,clean-pool (never flagged)
SB-0223,competent,adj.,компетентний,"Наявність достатніх навичок, знань, здібностей або кваліфікації.",d_clean,clean-pool (never flagged)
SB-0232,compute,v.,обчислювати,"Рахувати, обчислювати.",d_clean,clean-pool (never flagged)
SB-0233,conceal,v.,приховувати,"Приховати щось від очей або від загального відома, намагатися зберегти щось у таємниці.",d_clean,clean-pool (never flagged)
SB-0238,condemn,v.,засуджувати,Різко критикувати або засуджувати; розкритикувати.,d_clean,clean-pool (never flagged)
SB-0239,confer,v.,надавати,Надати у власність; дарувати.,d_clean,clean-pool (never flagged)
SB-0241,configuration,n.,конфігурація,"Взаємне розташування набору речей; те, як речі розташовані або зібрані;",d_clean,clean-pool (never flagged)
SB-0242,confine,v.,обмежити,Обмежити (когось або щось) певною сферою чи областю; зберігати в певних межах.,d_clean,clean-pool (never flagged)
SB-0243,confirmation,n.,підтвердження,"Перевірка того, що щось правдиве або трапилося.",d_clean,clean-pool (never flagged)
SB-0245,confrontation,n.,конфронтація,"Акт протистояння або виклику іншому, особливо віч-на-віч.",d_clean,clean-pool (never flagged)
SB-0248,congressional,adj.,конгресовий,З конгресу або стосовно нього.,d_clean,clean-pool (never flagged)
SB-0250,conscience,n.,совість,"Етичне або моральне почуття правильного і неправильного, головним чином, оскільки воно впливає на власну поведінку людини та формує її ставлення до її минулих дій.",d_clean,clean-pool (never flagged)
SB-0251,consciousness,n.,свідомість,Стан свідомості або усвідомлення; обізнаність.,d_clean,clean-pool (never flagged)
SB-0252,consecutive,adj.,послідовний,"Слідом, по черзі, без перерви.",d_clean,clean-pool (never flagged)
SB-0253,consensus,n.,консенсус,"Загальна згода між членами певної групи чи спільноти, кожен член якої має певну свободу дій у прийнятті рішень і подальших діях.",d_clean,clean-pool (never flagged)
SB-0257,consolidate,v.,консолідувати,Об'єднати в єдине ціле; щоб об’єднатися або приєднатися.,d_clean,clean-pool (never flagged)
SB-0258,constituency,n.,виборчий округ,"Округ, представлений однією або декількома обраними посадовими особами.",d_clean,clean-pool (never flagged)
SB-0259,constitute,v.,становити,Складати щось як його частини; утворювати або офіційно встановлювати.,d_clean,clean-pool (never flagged)
SB-0260,constitution,n.,конституція,"Формальна чи неофіційна система основних принципів і законів, яка регулює діяльність уряду чи інших установ.",d_clean,clean-pool (never flagged)
SB-0261,constitutional,adj.,конституційний,"Що стосується юридичної чи політичної конституції («основний закон нації чи установи; формальна чи неофіційна система первинних принципів і законів, які регулюють діяльність уряду чи іншої установи»).",d_clean,clean-pool (never flagged)
SB-0262,constraint,n.,обмеження,"Те, що стримує; обмеження.",d_clean,clean-pool (never flagged)
SB-0265,contempt,n.,презирство,"Стан або акт презирства; відчуття або ставлення до когось чи чогось як до нижчого, низького або нікчемного; презирство, зневага.",d_clean,clean-pool (never flagged)
SB-0267,contender,n.,претендент,"Хтось, хто змагається з одним або декількома людьми.",d_clean,clean-pool (never flagged)
SB-0268,content2,adj.,задоволений,"Задоволений тим, що маєш або що відбувається, без потреби вимагати більшого.",d_clean,clean-pool (never flagged)
SB-0270,continually,adv.,постійно,У регулярній або повторюваній послідовності; дуже часто.,d_clean,clean-pool (never flagged)
SB-0271,contractor,n.,підрядник,"Особа або компанія, яка будує або вдосконалює будівлі чи споруди.",d_clean,clean-pool (never flagged)
SB-0275,conversion,n.,перетворення,Акт перетворення чогось або когось.,d_clean,clean-pool (never flagged)
SB-0276,convict,v.,засуджувати,Визнати винним в результаті судового розгляду або (неофіційного) в моральному сенсі.,d_clean,clean-pool (never flagged)
SB-0278,cooperate,v.,співпрацювати,"Працювати або діяти разом, особливо для спільної мети чи користі.",d_clean,clean-pool (never flagged)
SB-0280,coordinate,v.,координувати,Синхронізувати (діяльність).,d_clean,clean-pool (never flagged)
SB-0281,coordination,n.,координація,"Акт координації, який змушує різних людей або речі працювати разом для досягнення мети чи ефекту.",d_clean,clean-pool (never flagged)
SB-0282,coordinator,n.,координатор,"Той, хто або те, що координує.",d_clean,clean-pool (never flagged)
SB-0284,copper,n.,мідь,"Червоно-коричневий метал, символ Cu та атомний номер 29.",d_clean,clean-pool (never flagged)
SB-0285,copyright,n.,авторське право,"Право за законом бути суб’єктом, який визначає, хто може публікувати, копіювати та поширювати твір, музику, малюнок чи інший авторський твір.",d_clean,clean-pool (never flagged)
SB-0287,correlate,v.,співвідносити,"Порівнювати речі і приводити їх у відношення, що мають відповідні характеристики.",d_clean,clean-pool (never flagged)
SB-0288,correlation,n.,кореляція,"Один із кількох показників лінійного статистичного зв’язку між двома випадковими змінними, що вказує на силу та напрямок зв’язку.",d_clean,clean-pool (never flagged)
SB-0289,correspond,v.,відповідати,"Бути еквівалентним або подібним за характером, кількістю, якістю, походженням, структурою, функцією тощо.",d_clean,clean-pool (never flagged)
SB-0290,correspondence,n.,листування,"Взаємний обмін люб'язністю, особливо розмова між людьми за допомогою листів.",d_clean,clean-pool (never flagged)
SB-0291,correspondent,n.,кореспондент,"Хтось, хто спілкується з іншою особою або публікацією, письмово.",d_clean,clean-pool (never flagged)
SB-0294,corruption,n.,корупція,"Неетична адміністративна або виконавча практика (в уряді чи бізнесі), включаючи хабарництво (пропозиція або отримання хабара), конфлікт інтересів, кумівство, розкрадання тощо.",d_clean,clean-pool (never flagged)
SB-0295,costly,adj.,дорогий,Від високої вартості; дорогий.,c_known_open,known-open-24 (seed-20260913; grammar-calque-fragment)
SB-0297,counselling,n.,консультування,Професійна допомога людині в осмисленні та розв’язанні особистих або психологічних труднощів.,d_clean,clean-pool (never flagged)
SB-0299,counter (argue against),v.,заперечувати; протиставляти аргумент,Відповідати на твердження протилежним аргументом або доказом.,d_clean,clean-pool (never flagged)
SB-0302,coup,n.,переворот,Державний переворот.,d_clean,clean-pool (never flagged)
SB-0303,courtesy,n.,ввічливість,Ввічлива поведінка.,d_clean,clean-pool (never flagged)
SB-0305,crawl,v.,повзати,Повзати; повільно рухатися на руках і колінах або волочачи тіло по землі.,d_clean,clean-pool (never flagged)
SB-0306,creator,n.,творець,"Щось або хтось, який щось створює або робить.",c_known_open,known-open-24 (seed-20260913; pos-morphology-mismatch)
SB-0310,critique,n.,критика,"Есе, в якому критикується, рецензується інший твір тощо.",d_clean,clean-pool (never flagged)
SB-0311,crown,n.,корона,"Королівський, імператорський або княжий головний убір; діадема.",d_clean,clean-pool (never flagged)
SB-0312,crude,adj.,сирий,"У природному, необробленому стані.",d_clean,clean-pool (never flagged)
SB-0313,crush,v.,розчавити,"Натиснути між двома твердими предметами; стискати так, щоб змінити природну форму чи цілісність, або згуртовувати в масу.",d_clean,clean-pool (never flagged)
SB-0314,crystal,n.,кристал,"Тверда речовина, що складається з масиву атомів або молекул, що мають дальній порядок і розташовані у вигляді періодичної тривимірної структури.",d_clean,clean-pool (never flagged)
SB-0318,custody,n.,опіка,"Законне право піклуватися про щось або про когось, особливо про дітей.",d_clean,clean-pool (never flagged)
SB-0320,cynical,adj.,цинічний,"Скептично ставиться до чесності, щирості або мотивів інших.",d_clean,clean-pool (never flagged)
SB-0323,dawn,n.,світанок,Період ранкових сутінків безпосередньо перед сходом сонця.,d_clean,clean-pool (never flagged)
SB-0325,debut,n.,дебют,"Перший виступ виконавця перед публікою у спорті, мистецтві чи іншій сфері.",d_clean,clean-pool (never flagged)
SB-0326,decision-making,n.,прийняття рішень,Процес аналізу можливостей і вибору одного рішення.,d_clean,clean-pool (never flagged)
SB-0328,declaration,n.,декларація,"Емфатичний або формальний акт висловлювання, розповіді або ствердження чогось, усним або письмовим; рішуче твердження чи проголошення.",d_clean,clean-pool (never flagged)
SB-0335,defensive,adj.,оборонний,"Що стосується захисту, на відміну від нападу.",d_clean,clean-pool (never flagged)
SB-0337,deficit,n.,дефіцит,"Ситуація, коли або сума, за якої витрати перевищують (наприклад, державні) доходи.",d_clean,clean-pool (never flagged)
SB-0338,defy,v.,кинути виклик,Відмовлятися підкорятися.,d_clean,clean-pool (never flagged)
SB-0339,delegate,n.,делегат,"Особа, уповноважена діяти як представник іншої особи; депутат.",d_clean,clean-pool (never flagged)
SB-0341,delicate,adj.,делікатний,Легко пошкоджується або потребує обережного поводження.,d_clean,clean-pool (never flagged)
SB-0342,demon,n.,демон,Злий надприродний дух.,d_clean,clean-pool (never flagged)
SB-0344,denounce,v.,засуджувати,Публічно та рішуче засуджувати когось або щось.,d_clean,clean-pool (never flagged)
SB-0345,dense,adj.,щільний,Має відносно високу щільність.,d_clean,clean-pool (never flagged)
SB-0346,density,n.,щільність,"Міра маси речовини, що міститься в одиниці об’єму.",d_clean,clean-pool (never flagged)
SB-0347,dependence,n.,залежність,"Стан залежності, покладання на іншого.",d_clean,clean-pool (never flagged)
SB-0348,depict,v.,зображувати,"Відобразити щось, використовуючи слова, звуки, зображення чи інші засоби.",d_clean,clean-pool (never flagged)
SB-0352,deprive,v.,позбавляти,"Вживається з «від», щоб забрати щось у (когось) і тримати подалі; відмовляти комусь у чомусь.",d_clean,clean-pool (never flagged)
SB-0353,deputy,n.,заступник,"Той, кого призначають на заміну інших і мають право діяти за них від їхнього імені або від їхнього імені; заступник на посаді.",d_clean,clean-pool (never flagged)
SB-0358,desktop,n.,робочий стіл,"Основний графічний інтерфейс користувача операційної системи, зазвичай відображає значки, вікна та фонові шпалери.",d_clean,clean-pool (never flagged)
SB-0359,destructive,adj.,руйнівний,Заподіяння руйнування; завдає шкоди.,d_clean,clean-pool (never flagged)
SB-0360,detain,v.,затримувати,"Перешкоджати комусь продовжити, стримуючи їх або висуваючи претензії на їх увагу.",d_clean,clean-pool (never flagged)
SB-0361,detection,n.,виявлення,"Дія або процес виявлення, розкриття або з'ясування, відкриття чогось нового, прихованого або замаскованого.",d_clean,clean-pool (never flagged)
SB-0362,detention,n.,затримання,Тимчасове тримання під вартою або арешт.,d_clean,clean-pool (never flagged)
