id,word,source,category,severity,issue,proposed_correction,confidence
SB-0330,dedication,main-pass,semantic-fidelity,P0,Missing commitment/devotion sense; 'посвячення' means initiation.,ua: відданість (справі); def accordingly.,medium
SB-0333,default,main-pass,semantic-fidelity,P0,"'замовчування' = concealment, false friend, contradicts def.",типове значення / налаштування за замовчуванням,high
SB-0351,deposit,main-pass,grammar,P0,pos v. but ua is noun.,депонувати / вносити на рахунок,high
SB-0374,dimension,main-pass,semantic-fidelity,P0,'Розмір' means size not dimension; standard term is 'вимір'.,вимір,high
SB-0378,diplomatic,main-pass,semantic-fidelity,P0,Definition entirely wrong (describes 'diplomatics' not 'diplomatic').,Пов'язаний з дипломатією; тактовний.,high
SB-0382,discharge,main-pass,grammar,P0,pos v. but ua is unrelated noun.,звільняти (від зобов'язання); виписувати,high
SB-0398,distort,main-pass,other,P0,'збоченець' (a pervert) bizarre unrelated insertion.,Надавати неправдиве уявлення про щось.,high
SB-0410,drift,main-pass,grammar,P0,pos v. but ua is noun.,дрейфувати,high
SB-0411,driving,main-pass,grammar,P0,pos adj. (driving force) but ua is unrelated noun.,рушійний,high
SB-0415,dumb,main-pass,semantic-fidelity,P0,"ua=mute, def=stupid (modern informal sense); register mismatch.","тупий, дурний (розм.); register informal",high
SB-0417,dynamic,main-pass,grammar,P0,pos n. but ua is adjective.,динаміка / рушійна сила,high
SB-0427,elaborate,main-pass,grammar,P0,pos adj. but ua is verb infinitive.,"детальний, ретельно розроблений, складний",high
SB-0432,embark,main-pass,semantic-fidelity,P0,"ua literal 'board ship'; def figurative 'begin', itself broken.",розпочинати (важливу справу),high
SB-0447,endorsement,main-pass,semantic-fidelity,P0,"Obscure banking term, not general endorsement; circular.",схвалення; підтримка,high
SB-0451,engagement,main-pass,semantic-fidelity,P0,"ua=betrothal; def=psychological involvement, wrong sense entirely.",залученість; зацікавленість,high
SB-0452,engaging,main-pass,grammar,P0,pos adj. but ua is noun.,"захопливий, цікавий",high
SB-0459,entitle,main-pass,grammar,P0,pos v. but ua is noun.,"назвати, озаглавити",high
SB-0469,evacuate,main-pass,other,P0,'піти на пенсію' (retire) unrelated artifact; duplicated word.,Залишити небезпечне місце.,high
SB-0477,exclusive,main-pass,semantic-fidelity,P0,Same ua as exceptional; def is restricted-access sense.,"ексклюзивний; закритий, привілейований",high
SB-0483,exit,main-pass,grammar,P0,pos v. but ua is noun; word duplicated.,"виходити, вийти",high
SB-0491,extract,main-pass,grammar,P0,pos v. but ua is noun.,"видобувати, витягати",high
SB-0495,faculty,main-pass,semantic-fidelity,P0,ua=department; def=teaching staff (AmE sense).,викладацький склад,high
SB-0507,fine,main-pass,semantic-fidelity,P0,"pos n.,v. but ua is unrelated adverb; missing monetary-penalty sense.",штраф (n.); штрафувати (v.),high
SB-0521,forge,main-pass,grammar,P0,pos v. but ua is noun (smithy).,кувати (метал); налагоджувати (стосунки),high
SB-0531,frustrating,main-pass,grammar,P0,pos adj. but ua is noun (disappointment).,розчаровуючий; дратівливий,high
SB-0549,grasp,main-pass,semantic-fidelity,P0,"ua=literal grab; def=understand, dominant academic sense missing.","розуміти, осягати (сенс)",high
SB-0558,gross,main-pass,semantic-fidelity,P0,'грубий'=coarse/rude; def=financial 'before deductions' sense (валовий).,валовий (сума до вирахувань),high
SB-0570,hardware,main-pass,semantic-fidelity,P0,"Topic Technology but def is hardware-store sense, wrong for computer hardware.",Фізичні компоненти комп'ютера (на відміну від software).,high
SB-0583,hook,main-pass,grammar,P0,pos v. but ua is noun.,"чіпляти, зачіплювати (гачком)",high
SB-0608,incidence,main-pass,semantic-fidelity,P0,"'incidence'=rate/frequency; ua=randomness, false friend.",частота (виникнення) / поширеність,high
SB-0609,inclined,main-pass,semantic-fidelity,P0,ua literal/physical; def figurative.,схильний,high
SB-0638,instrumental,main-pass,semantic-fidelity,P0,"'орудний'=grammatical instrumental case, wrong sense entirely.","інструментальний / визначальний, ключовий",high
SB-0646,integrity,main-pass,semantic-fidelity,P0,"ua=wholeness sense; def=moral sense, complete mismatch. Academic integrity relevant.",доброчесність / чесність,high
SB-0670,irrelevant,main-pass,circular-definition,P0,Truncated mid-sentence; overlaps with 'inappropriate' translation.,"неактуальний / такий, що не стосується справи",high
SB-0675,just,main-pass,semantic-fidelity,P0,'ярмарок'(fair=market) mistranslation of adjective 'fair'.,Remove 'ярмарок'.,high
SB-0677,kidnap,main-pass,grammar,P0,pos v. but ua is noun; def is verb.,викрасти / викрадати,high
SB-0683,lap,main-pass,semantic-fidelity,P0,Archaic garment sense vs common body-part sense.,Верхня частина ніг людини при сидінні.,high
SB-0699,lesbian,main-pass,grammar,P0,pos adj. but ua is noun; def uses male terms for female-specific word.,n.: лесбіянка; adj.: лесбійський; fix definition.,high
SB-0706,license,main-pass,grammar,P0,pos v. but ua is noun.,ліцензувати,high
SB-0721,loom,main-pass,semantic-fidelity,P0,pos v. matches def but ua is wrong homograph noun.,маячити; нависати; насуватися,high
SB-0813,novel,main-pass,semantic-fidelity,P0,"pos adj. but ua is noun 'a novel'(book), classic false-friend.",новий; оригінальний; нетиповий,high
SB-0814,nursery,main-pass,semantic-fidelity,P0,"ua=plant nursery; def=childcare, contradiction.",дитячі ясла / дитяча кімната,high
SB-0817,obsess,main-pass,grammar,P0,pos v. but ua is adjective/participle.,не давати спокою; переслідувати думками,high
SB-0858,patron,main-pass,semantic-fidelity,P0,"'патрон' means cartridge/old boss, false friend for customer.",відвідувач; клієнт,high
SB-0866,philosopher,main-pass,semantic-fidelity,P0,Wrong/gendered definition ('female student').,"Особа, яка досліджує фундаментальні питання буття; мислитель.",high
SB-0875,pledge,main-pass,semantic-fidelity,P0,'застава'=collateral; def=solemn promise sense.,"обіцянка, урочисте зобов'язання",high
SB-0881,pop,main-pass,semantic-fidelity,P0,"'поп'=priest, unrelated; POS mismatch.",лопатися; клацати; лускати,high
SB-0897,premise,main-pass,semantic-fidelity,P0,"'приміщення'=premises(building), homograph confusion with logical premise.",передумова; засновок,high
SB-0913,principal,main-pass,semantic-fidelity,P0,"ua=school head; def=financial principal, contradictory.",Split into two sense entries.,high
SB-0929,pronounced,main-pass,semantic-fidelity,P0,Both fields wrongly relate to pronunciation not 'noticeable/marked'.,виразний; яскраво виражений,high
SB-0954,rally,main-pass,semantic-fidelity,P0,"ua=political rally; def=financial market rally, unrelated senses, truncated.","Keep ua with matching def, or add fin. sense separately.",high
SB-0988,remains,main-pass,grammar,P0,pos n. but ua is conjugated verb form '[it] remains'.,залишки; рештки; останки,high
SB-1002,resemble,main-pass,grammar,P0,pos v. but ua is adjective.,нагадувати; бути схожим на,high
SB-1013,resume,main-pass,semantic-fidelity,P0,False friend: verb 'resume'(continue) given noun 'резюме'(CV).,відновлювати(ся); продовжувати,high
SB-1028,rock,main-pass,semantic-fidelity,P0,pos v.(sway) but ua is unrelated noun 'fate/genre'.,гойдати(ся); розхитувати(ся),high
SB-1032,ruling,main-pass,semantic-fidelity,P0,pos n.(court ruling) but ua is adj 'ruling party'.,рішення; постанова (судова),high
SB-1034,sack,main-pass,semantic-fidelity,P0,pos v. but ua is noun; misses common 'dismiss from job' sense entirely.,звільнити (з роботи),high
SB-1040,say,main-pass,semantic-fidelity,P0,pos n.(have a say) but ua is unrelated verb; stray ')' char.,право голосу; слово (у рішенні),high
SB-1046,seal,main-pass,semantic-fidelity,P0,"ua=stamp; def=hunt seals(animal), unrelated homograph senses.",Split into two clear senses.,high
SB-1054,sensation,main-pass,semantic-fidelity,P0,"ua=media sensation; def=physical feeling, wrong sense.","Подія, що викликає суспільний резонанс.",high
SB-1064,shed,main-pass,semantic-fidelity,P0,pos v.(shed tears) but ua is unrelated noun (outbuilding).,проливати; скидати; линяти,high
SB-1067,shoot,main-pass,semantic-fidelity,P0,pos n.(plant shoot) but ua is verb 'shoot a gun'.,паросток; пагін,high
SB-1080,slash,main-pass,semantic-fidelity,P0,"'слеш'=punctuation mark '/', wrong for verb 'to slash'; truncated.",різати; полосонути,high
SB-1088,sole,main-pass,semantic-fidelity,P0,pos adj.(only) but ua is unrelated noun (shoe sole).,єдиний; винятковий,high
SB-1093,sound,main-pass,semantic-fidelity,P0,pos adj.(sound sleep) but ua is unrelated noun 'a sound/noise'.,міцний (про сон); обґрунтований (судження),high
SB-1097,spare,main-pass,semantic-fidelity,P0,pos v.(show mercy) but ua is adjective 'spare tire'.,щадити; милувати,high
SB-1098,spark,main-pass,grammar,P0,pos v. but ua is noun; misses figurative 'spark a debate' sense.,"іскрити; викликати, спричиняти",high
SB-1106,spin,main-pass,grammar,P0,"'спін' is physics term, doesn't match rotate/turn definition; word tripled.",обертати(ся); крутити(ся),high
SB-1113,stab,main-pass,grammar,P0,pos v. but ua is noun 'a blow'.,заколоти; штрикнути; вдарити ножем,high
SB-1116,stake,main-pass,semantic-fidelity,P0,"ua=wooden stake; def=financial stake, mismatched.",частка; пай (financial),high
SB-1121,stem,main-pass,other,P0,"Broken fragment describing rare 'de-stem' sense, unrelated to 'основа'.",Головна частина рослини; основна частина слова.,high
SB-1145,subtle,main-pass,semantic-fidelity,P0,"Definition unrelated, copy-paste error.","Ледь помітний, витончений.",high
SB-1147,succession,main-pass,semantic-fidelity,P0,Definition defines 'success' not 'succession'.,Послідовність осіб/подій; перехід посади.,high
SB-1161,supportive,main-pass,grammar,P0,"'підтримує' conjugated verb form, not adjective.",підтримуючий; доброзичливий,high
SB-1164,supreme,main-pass,semantic-fidelity,P0,Same as 'superior'; erases superlative meaning; tripled word.,найвищий; верховний,high
SB-1170,suspension,main-pass,semantic-fidelity,P0,"ua=car suspension; def=temporary stopping (school/work), mismatched.",призупинення; тимчасове відсторонення,high
SB-1180,tackle,main-pass,semantic-fidelity,P0,"ua=fishing gear; def=sports tackle, unrelated senses.",підкат; захоплення суперника,high
SB-1210,timely,main-pass,grammar,P0,pos adj. but ua is adverb; stray unrelated word 'hint'.,своєчасний,high
SB-1215,top,main-pass,grammar,P0,pos v. but ua is noun.,покривати зверху; увінчувати,high
SB-1218,total,main-pass,grammar,P0,pos v.(to total) but ua is adverb/particle.,складати (в сумі),high
SB-1243,tuition,main-pass,semantic-fidelity,P0,"'навчання' means education generally, not the fee itself.",плата за навчання,high
SB-1251,unify,main-pass,other,P0,"Garbled, 'комбайн'(combine harvester) mistranslation.",Об'єднати в одне ціле.,high
SB-1268,verbal,main-pass,semantic-fidelity,P0,'дієслівний'=grammatical verb-related; wrong sense (should be usual/spoken).,усний; словесний,high
SB-1284,vow,main-pass,grammar,P0,pos v. but ua is noun.,присягатися / давати обітницю,high
SB-1287,ward,main-pass,semantic-fidelity,P0,"ua=hospital ward; def=protection/guardianship sense, mismatched.",Align sense; guardianship=підопічний.,high
SB-1294,weed,main-pass,semantic-fidelity,P0,"Definition is 'cannabis' slang, wholly inconsistent with ua and register.",Дика небажана рослина; бур'ян.,high
SB-1295,well,main-pass,semantic-fidelity,P0,"ua='fine/OK' interjection, entirely different word from noun 'well'(hole).",свердловина / колодязь,high
SB-1300,whip,main-pass,grammar,P0,pos v. but ua is noun.,шмагати / бити батогом,high
SB-1308,withdrawal,main-pass,semantic-fidelity,P0,ua generic; def is drug withdrawal syndrome specifically.,абстинентний синдром / синдром відміни,high
SB-1355,period,main-pass,semantic-fidelity,P0,"ua=time span; def=punctuation mark, completely different sense.",Проміжок часу.,high
SB-1372,variables,main-pass,semantic-fidelity,P0,Describes 'variability' not 'a variable'.,"Фактор або величина, що може змінюватися.",high
SB-1387,consequences,main-pass,semantic-fidelity,P0,"Definition describes obscure parlor game 'Consequences', wrong sense entirely.",Результати або наслідки дії чи події.,high
SB-1404,normal,main-pass,grammar,P0,"ua is adverb but word is adjective; duplicated fragment, garbled idiom.",нормальний,high
SB-1413,range,main-pass,semantic-fidelity,P0,"ua=extent/scope; def=mountain range sense, mismatched.",Множина значень між межами.,high
SB-1421,sought,main-pass,grammar,P0,ua is specific past-tense conjugation; contradicts present-passive-plural definition.,шуканий / затребуваний,high
SB-1423,site,main-pass,pedagogical-accuracy,P0,"Restricted entirely to website, missing dominant physical-location sense.",місце розташування / об'єкт (ділянка); also website.,high
SB-1425,survey,main-pass,semantic-fidelity,P0,"ua=poll; def=inspection/examination sense, mismatched; garbled opening.",Дослідження думок шляхом опитування.,high
SB-1440,criteria,main-pass,semantic-fidelity,P0,"Plural headword defined as singular, contradictory.",Множина стандартів для оцінки.,high
SB-1441,deduction,main-pass,semantic-fidelity,P0,"ua=logical reasoning; def=tax deduction, unrelated senses conflated.",Set ua to відрахування or split senses.,high
SB-1444,dominant,main-pass,other,P0,'Постанова'(decree) unrelated wrong word; wrong grammatical case.,Найвпливовіший або переважаючий серед інших.,high
SB-1460,minorities,main-pass,other,P0,"Not a definition, garbled leftover citation fragment.","Групи, що становлять меншу частину населення.",high
SB-1471,removed,main-pass,semantic-fidelity,P0,"ua=deleted; def='far removed'(distant) idiom, mismatched.","Align sense: choose deleted OR distant, not both.",high
SB-1474,sex,main-pass,pedagogical-accuracy,P0,Both fields restrict to sexual activity; missing primary biological-sex/gender-category sense for academic data contexts.,Add стать (biological sex) as primary sense.,high
SB-1489,attributed,main-pass,semantic-fidelity,P0,Entirely wrong sense (decorated with attribute vs credited to).,Визнаний причиною або автором чогось.,high
SB-1490,civil,main-pass,semantic-fidelity,P0,ua=civic/non-military (correct academic sense); def=polite/courteous sense entirely different.,Пов'язаний із громадянами чи суспільством.,high
SB-1499,despite,main-pass,semantic-fidelity,P0,ua=correct preposition; def=archaic noun 'spite/malice' sense entirely wrong.,"Прийменник, що вводить факт, який не завадив дії.",high
SB-1505,goals,main-pass,other,P0,"Doesn't define 'goals' at all, describes 'exemplary/laudable'.","Бажаний результат, на досягнення якого спрямовані зусилля.",high
SB-1529,resolution,main-pass,semantic-fidelity,P0,"'дозвіл'=permission, false friend; def=formal decision (резолюція).",резолюція / рішення,high
SB-1550,enable,main-pass,semantic-fidelity,P0,"'включити'=turn on/include, contradicts def's 'make possible' meaning.",уможливити / дати змогу,high
SB-1556,exposure,main-pass,semantic-fidelity,P0,"'експозиція'=museum exhibit/camera exposure, false friend for general 'exposure to risk'.",вплив / незахищеність,high
SB-1572,prime,main-pass,semantic-fidelity,P0,"'простий'=simple, only correct for math 'prime number'; def is general 'first in importance'.",головний / найважливіший / основний,high
SB-1577,styles,main-pass,other,P0,Definition ('surname') entirely unrelated.,Особливі манери чи форми вираження.,high
SB-1604,fees,main-pass,semantic-fidelity,P0,"Definition defines a German surname 'Fee(s)', entirely wrong sense.","Сума грошей, яку стягують за послугу, навчання тощо.",high
SB-1609,incorporated,main-pass,semantic-fidelity,P0,"ua=included sense; def=legal corporation sense, mismatched.",інкорпорований / зареєстрований як юридична особа,high
SB-1626,revealed,main-pass,semantic-fidelity,P0,"Definition is theological 'divine revelation' sense, wrong for common academic 'study revealed' sense.","Зроблено відомим те, що раніше було приховане.",high
SB-1679,appendix,main-pass,semantic-fidelity,P0,'апендикс' almost exclusively anatomical; document sense is 'додаток'.,додаток,high
SB-1682,chart,main-pass,semantic-fidelity,P0,"ua=graph/diagram; def=nautical map sense, single unexplanatory word.",Графічне зображення даних.,high
SB-1696,highlighted,main-pass,semantic-fidelity,P0,"Describes unrelated 'hair highlights/glare' sense, not 'emphasized' sense.",Особливо підкреслено або привернуто увагу.,high
SB-1704,paragraph,main-pass,semantic-fidelity,P0,"'пункт'=point/clause, wrong word; should be 'абзац'.",абзац,high
SB-1718,via,main-pass,semantic-fidelity,P0,"Definition describes electronics 'via'(PCB hole), unrelated homonym vs preposition sense.",Прийменник зі значенням через/за допомогою.,high
SB-1745,medium,main-pass,semantic-fidelity,P0,"ua='average/medium-sized'; def=noun 'channel of communication' sense, entirely different.",засіб (передачі інформації) / носій,high
SB-1779,odd,main-pass,semantic-fidelity,P0,"'непарний'=mathematical odd number; def='strange/unusual' sense, false-friend mismatch.",дивний / незвичний,high
SB-0004,absent,main-pass,circular-definition,P1,"Confusing, self-contradictory run-on that partly defines the word using itself.","Такий, якого немає в певному місці або на заході, де він мав би бути.",high
SB-0021,acid,main-pass,grammar,P1,"pos is listed as 'adj.' only, but 'кислота' is a noun. If the adjectival sense is intended, the ua field should be an adjective.","If pos is adj., use 'кислотний'.",high
SB-0028,adhere,main-pass,semantic-fidelity,P1,"'дотримуватися' is figurative sense, definition explains only literal physical sense.","Either change ua to 'прилипати', or rewrite definition to figurative sense.",medium
SB-0037,adverse,main-pass,grammar,P1,"Grammatically broken chain of fragments, mismatched plural verb.","Такий, що діє проти чиїхось інтересів або має шкідливий, негативний вплив.",medium
SB-0044,aide,spot-check,circular-definition,P1,One-word circular def; misses 'assistant to authority figure' specificity.,"ua: ""помічник; радник"" | definitionUa: ""Помічник впливової особи — політика, керівника чи високопосадовця, який допомагає їй у роботі.""",high
SB-0052,allege,spot-check,semantic-fidelity,P1,Neutral 'стверджувати' loses unproven-accusation connotation.,"ua: ""стверджувати (без доказів); голослівно звинувачувати"" | definitionUa: ""Заявляти про щось як про факт, не надаючи доказів, зазвичай про правопорушення чи провину.""",high
SB-0079,arena,main-pass,pedagogical-accuracy,P1,Missing dominant figurative sense (political arena).,Add figurative sense.,medium
SB-0082,array,main-pass,other,P1,Definition is truncated mid-word.,"Complete the sentence, e.g. '...щоб їх можна було отримати за допомогою числових індексів.'",high
SB-0090,assembly,main-pass,semantic-fidelity,P1,"'збірка' in Ukrainian means a 'collection/compilation', not a gathering of people. Mistranslation/false-friend contradicting the definition.","Use 'зібрання' or 'асамблея' for the gathering-of-people sense, or 'складання/монтаж' for the manufacturing sense.",high
SB-0100,audit,main-pass,other,P1,Definition truncated with trailing ellipsis.,Complete the sentence.,high
SB-0102,authorize,main-pass,pedagogical-accuracy,P1,"'Авторизувати' understood almost exclusively in tech/login sense, not general permission-granting.",уповноважувати / санкціонувати,medium
SB-0106,await,main-pass,circular-definition,P1,Fully circular.,"Чекати на когось/щось, особливо офіційно.",high
SB-0109,backup,main-pass,grammar,P1,pos n. but ua is adjective.,резервна копія,high
SB-0111,ballot,main-pass,semantic-fidelity,P1,'бюлетень' is the paper; definition describes the process.,Align translation/definition.,medium
SB-0121,behalf,main-pass,semantic-fidelity,P1,ua is 'on behalf of' sense; definition is older 'benefit' sense.,"Keep set phrase, clarify usage.",medium
SB-0125,beneath,main-pass,other,P1,Word repeated.,"Внизу, нижче; під чимось.",high
SB-0130,bishop,main-pass,other,P1,Truncated mid-sentence.,Complete sentence.,high
SB-0133,blast,main-pass,other,P1,"Garbled/nonsensical, unrelated to explosion.",Раптовий сильний вибух.,high
SB-0135,blend,main-pass,grammar,P1,"pos v., n. but ua only noun.",змішувати(ся); суміш,medium
SB-0147,breed,main-pass,grammar,P1,"pos v.,n. but ua only noun, def is verb.",розмножувати(ся); виводити (породу); порода,medium
SB-0148,broadband,main-pass,grammar,P1,pos n. but ua is adjective.,широкосмуговий інтернет,high
SB-0149,browser,main-pass,circular-definition,P1,Self-referential/nonsensical.,Програма для перегляду вебсторінок.,high
SB-0166,carriage,main-pass,semantic-fidelity,P1,'карета' is vehicle; def is abstract conveyance sense.,перевезення / транспортування,medium
SB-0174,cautious,main-pass,other,P1,Ends with unrelated word 'орієнтовний'.,Remove stray word.,high
SB-0177,chamber,main-pass,other,P1,Truncated; narrow translation.,Complete + add 'палата' sense.,high
SB-0184,circulate,main-pass,other,P1,Duplicated word.,рухатися по колу; поширюватися.,high
SB-0193,clinical,main-pass,other,P1,Broken residual cross-reference.,Rewrite standalone.,high
SB-0197,coastal,main-pass,other,P1,Invented/garbled term at end.,Remove.,medium
SB-0203,collective,main-pass,russianism-calque,P1,"Stilted calque, misses shared/group sense.","Який стосується групи, що діє спільно.",high
SB-0208,commence,main-pass,circular-definition,P1,Nonsensical tautology.,"Розпочати щось, у формальному контексті.",high
SB-0224,compile,main-pass,pedagogical-accuracy,P1,Topic is Research&data but def is programming-only.,"укладати, збирати й систематизувати (дані).",high
SB-0229,comply,main-pass,other,P1,"Word repeated 3x, garbled.",Діяти згідно з правилом.,high
SB-0230,composition,main-pass,semantic-fidelity,P1,ua and def describe different senses.,Pick one consistent sense.,high
SB-0235,conceive,main-pass,semantic-fidelity,P1,ua is biological sense; def is mental sense.,уявити собі; замислити (primary).,high
SB-0237,concession,main-pass,semantic-fidelity,P1,'концесія' is legal grant; def is general yielding.,поступка (general sense).,medium
SB-0240,confession,main-pass,semantic-fidelity,P1,'сповідь' is religious; def is general admission.,зізнання (general sense).,high
SB-0247,congregation,main-pass,semantic-fidelity,P1,"'конгрегація' narrowly Catholic order, def is general assembly.",громада віруючих; паства,medium
SB-0266,contend,main-pass,other,P1,Duplicated word; missing 'assert a claim' academic sense.,стверджувати (in argumentation); remove duplicate.,high
SB-0269,contention,main-pass,pedagogical-accuracy,P1,Misses academic 'claim/point' sense.,"Add твердження, теза.",high
SB-0272,contradiction,main-pass,russianism-calque,P1,'протиріччя' flagged calque of Russian.,суперечність,medium
SB-0274,contributor,main-pass,semantic-fidelity,P1,Generic 'participant' loses specific nuance.,"дописувач (media); той, хто робить внесок",medium
SB-0277,conviction,main-pass,pedagogical-accuracy,P1,Topic is Government&law but legal 'guilty verdict' sense missing.,Add засудження; судимість.,high
SB-0279,cooperative,main-pass,semantic-fidelity,P1,'кооперативний' economic sense vs personal-quality def.,готовий до співпраці (personal); keep кооперативний for economic.,medium
SB-0283,cop,main-pass,register,P1,Informal word but register tagged academic/neutral.,Change register to informal.,high
SB-0298,counsellor,main-pass,semantic-fidelity,P1,'радник' is general advisor; def is therapist. Collides with councillor.,консультант (психолог-консультант),high
SB-0301,countless,main-pass,semantic-fidelity,P1,Confuses quantity with size ('завеликий').,"Занадто численний, щоб порахувати.",medium
SB-0307,credibility,main-pass,circular-definition,P1,"Garbled, unclear.",Якість викликати довіру.,medium
SB-0308,credible,main-pass,semantic-fidelity,P1,"'Credible' = believable, not reliable; word repeated.",правдоподібний / заслуговує довіри,high
SB-0316,cultivate,main-pass,pedagogical-accuracy,P1,Misses figurative sense (cultivate a skill).,"Add плекати, розвивати.",medium
SB-0319,cutting,main-pass,circular-definition,P1,Purely circular.,Процес або результат розрізання; фрагмент.,high
SB-0321,dam,main-pass,other,P1,Truncated.,Complete sentence.,high
SB-0329,dedicated,main-pass,semantic-fidelity,P1,Def is 'specialized' sense; missing 'devoted' sense.,Add спеціалізований; відданий.,medium
SB-0332,deem,main-pass,other,P1,Garbled machine-translation debris.,"Вважати, розглядати як таке.",high
SB-0336,deficiency,main-pass,semantic-fidelity,P1,'недолік' is character flaw; def is lack of something needed.,нестача / дефіцит,medium
SB-0340,delegation,main-pass,circular-definition,P1,"Circular, mismatched sense (group of reps vs abstract act).","Група осіб, уповноважених представляти інших.",medium
SB-0343,denial,main-pass,semantic-fidelity,P1,'заперечення' = denying statement; def is 'refusal to grant'.,Align to same sense.,medium
SB-0354,descend,main-pass,other,P1,Mistranslation as 'sensations' instead of action.,Рухатися з вищого положення на нижче.,high
SB-0372,dignity,main-pass,circular-definition,P1,Circular and garbled.,Почуття власної цінності та поваги до себе.,high
SB-0389,displace,main-pass,semantic-fidelity,P1,'витісняти' = supplant; def is forced resettlement.,переміщувати (примусово); виселяти,medium
SB-0391,dispose,main-pass,semantic-fidelity,P1,'розпоряджатися' = manage; def is 'get rid of'.,позбуватися (дечого),medium
SB-0392,dispute,main-pass,grammar,P1,"pos n.,v. but only noun given; circular verb phrase.",ua: суперечка; сперечатися / оспорювати.,medium
SB-0395,dissolve,main-pass,pedagogical-accuracy,P1,Misses formal 'end/dissolve parliament' sense; stilted calque.,"Add розпустити (парламент, шлюб).",medium
SB-0396,distinction,main-pass,pedagogical-accuracy,P1,Misses core 'difference' sense.,Add відмінність (between two things).,high
SB-0399,distress,main-pass,grammar,P1,"pos n.,v. but лихо is only noun; def is verbal.",Add verb: засмучувати.,medium
SB-0401,divert,main-pass,semantic-fidelity,P1,ua is 'distract'; def is 'reroute'.,перенаправляти; відхиляти від курсу,high
SB-0404,documentation,spot-check,pedagogical-accuracy,P1,Invented inaccurate paraphrase instead of real definition.,"ua: ""документація"" | definitionUa: ""Сукупність офіційних документів або письмових матеріалів, що надають інформацію, слугують доказом чи офіційним записом.""",high
SB-0409,drain,main-pass,semantic-fidelity,P1,ua is literal pour; def is figurative exhaust.,виснажувати,high
SB-0412,drown,main-pass,semantic-fidelity,P1,ua transitive; def intransitive.,"тонути (intransitive), or add both.",high
SB-0414,dub,main-pass,semantic-fidelity,P1,ua is film-dubbing sense; def is 'confer name' sense.,"називати, нарікати",medium
SB-0416,duo,main-pass,other,P1,Truncated.,Complete sentence.,high
SB-0418,eager,main-pass,semantic-fidelity,P1,'нетерплячий'=impatient; garbled def.,"охочий, завзятий",medium
