chunk,seq,id
2,308,SB-0711
2,309,SB-0687
2,310,SB-0694
2,311,SB-0362
2,312,SB-0551
2,313,SB-1175
2,314,SB-0513
2,315,SB-0281
2,316,SB-0912
2,317,SB-0740
2,318,SB-0671
2,319,SB-1144
2,320,SB-0242
2,321,SB-0430
2,322,SB-0751
2,323,SB-0821
2,324,SB-0987
2,325,SB-1131
2,326,SB-0134
2,327,SB-0470
2,328,SB-0132
2,329,SB-0252
2,330,SB-1456
2,331,SB-0115
2,332,SB-0882
2,333,SB-1520
2,334,SB-1115
2,335,SB-1661
2,336,SB-0446
2,337,SB-0016
2,338,SB-1340
2,339,SB-1554
2,340,SB-1141
2,341,SB-1670
2,342,SB-0036
2,343,SB-1178
2,344,SB-1580
2,345,SB-0026
2,346,SB-0610
2,347,SB-0205
2,348,SB-1566
2,349,SB-0581
2,350,SB-0654
2,351,SB-0222
2,352,SB-1610
2,353,SB-0631
2,354,SB-1649
2,355,SB-0253
2,356,SB-0685
2,357,SB-0693
2,358,SB-0257
2,359,SB-1498
2,360,SB-1430
2,361,SB-1414
2,362,SB-0076
2,363,SB-0160
2,364,SB-1060
2,365,SB-0895
2,366,SB-1330
2,367,SB-0757
2,368,SB-1066
2,369,SB-1509
2,370,SB-0765
2,371,SB-1302
2,372,SB-1184
2,373,SB-1466
2,374,SB-1582
2,375,SB-1497
2,376,SB-0370
2,377,SB-0078
2,378,SB-0122
2,379,SB-1118
2,380,SB-1459
2,381,SB-0376
2,382,SB-0337
2,383,SB-1229
2,384,SB-1563
2,385,SB-1057
2,386,SB-0211
2,387,SB-1712
2,388,SB-0393
2,389,SB-1521
2,390,SB-1380
2,391,SB-0335
2,392,SB-1366
2,393,SB-1031
2,394,SB-0719
2,395,SB-0499
2,396,SB-0387
2,397,SB-0305
2,398,SB-1617
2,399,SB-0774
2,400,SB-1158
2,401,SB-0943
2,402,SB-0537
2,403,SB-0648
2,404,SB-0444
2,405,SB-0001
2,406,SB-0408
2,407,SB-0993
2,408,SB-1479
2,409,SB-0107
2,410,SB-0520
2,411,SB-0282
2,412,SB-0429
2,413,SB-1532
2,414,SB-0591
2,415,SB-1752
2,416,SB-0479
2,417,SB-1606
2,418,SB-0656
2,419,SB-0104
2,420,SB-0975
2,421,SB-0847
2,422,SB-1291
2,423,SB-0999
2,424,SB-1209
2,425,SB-1235
2,426,SB-1010
2,427,SB-0559
2,428,SB-0979
2,429,SB-0949
2,430,SB-1688
2,431,SB-0746
2,432,SB-0833
2,433,SB-0500
2,434,SB-1244
2,435,SB-0065
2,436,SB-0435
2,437,SB-1076
2,438,SB-0743
2,439,SB-0590
2,440,SB-1662
2,441,SB-0635
2,442,SB-1723
2,443,SB-1686
2,444,SB-1564
2,445,SB-1692
2,446,SB-1438
2,447,SB-1191
2,448,SB-0379
2,449,SB-1382
2,450,SB-1658
2,451,SB-0700
2,452,SB-0186
2,453,SB-0768
2,454,SB-0400
2,455,SB-1432
2,456,SB-1303
2,457,SB-0088
2,458,SB-0795
2,459,SB-1719
3,460,SB-1280
3,461,SB-0093
3,462,SB-1647
3,463,SB-1208
3,464,SB-1122
3,465,SB-0856
3,466,SB-0338
3,467,SB-1363
3,468,SB-1434
3,469,SB-1558
3,470,SB-1108
3,471,SB-0360
3,472,SB-1400
3,473,SB-0492
3,474,SB-0180
3,475,SB-0022
3,476,SB-0845
3,477,SB-1598
3,478,SB-1443
3,479,SB-1252
3,480,SB-0936
3,481,SB-0445
3,482,SB-1613
3,483,SB-0071
3,484,SB-0695
3,485,SB-1705
3,486,SB-1155
3,487,SB-0937
3,488,SB-0284
3,489,SB-1311
3,490,SB-0886
3,491,SB-0200
3,492,SB-0457
3,493,SB-0864
3,494,SB-1063
3,495,SB-0887
3,496,SB-0342
3,497,SB-1733
3,498,SB-0472
3,499,SB-0040
3,500,SB-1258
3,501,SB-0053
3,502,SB-0854
3,503,SB-0977
3,504,SB-1001
3,505,SB-1042
3,506,SB-0697
3,507,SB-0567
3,508,SB-0806
3,509,SB-0561
3,510,SB-1353
3,511,SB-1683
3,512,SB-0365
3,513,SB-0752
3,514,SB-0600
3,515,SB-0714
3,516,SB-0715
3,517,SB-0984
3,518,SB-1653
3,519,SB-0983
3,520,SB-1135
3,521,SB-0460
3,522,SB-1358
3,523,SB-0210
3,524,SB-1371
3,525,SB-1136
3,526,SB-0190
3,527,SB-1724
3,528,SB-1418
3,529,SB-0039
3,530,SB-1087
3,531,SB-0129
3,532,SB-1190
3,533,SB-1058
3,534,SB-0718
3,535,SB-1455
3,536,SB-0478
3,537,SB-0361
3,538,SB-1401
3,539,SB-0518
3,540,SB-1277
3,541,SB-0924
3,542,SB-0588
3,543,SB-0553
3,544,SB-1539
3,545,SB-1759
3,546,SB-1368
3,547,SB-0436
3,548,SB-0188
3,549,SB-1139
3,550,SB-1114
3,551,SB-0453
3,552,SB-0605
3,553,SB-0892
3,554,SB-0528
3,555,SB-0323
3,556,SB-0314
3,557,SB-0775
3,558,SB-0098
3,559,SB-0741
3,560,SB-1091
3,561,SB-0503
3,562,SB-1342
3,563,SB-0825
3,564,SB-0075
3,565,SB-1009
3,566,SB-1533
3,567,SB-0176
3,568,SB-0419
3,569,SB-0790
3,570,SB-0056
3,571,SB-1639
3,572,SB-1089
3,573,SB-1020
3,574,SB-0769
3,575,SB-1568
3,576,SB-1025
3,577,SB-1601
3,578,SB-1476
3,579,SB-0326
3,580,SB-1678
3,581,SB-1399
3,582,SB-1473
3,583,SB-1163
3,584,SB-1534
3,585,SB-0442
3,586,SB-1049
3,587,SB-0136
3,588,SB-1246
3,589,SB-0664
3,590,SB-0238
3,591,SB-1373
3,592,SB-1369
3,593,SB-1511
3,594,SB-1124
3,595,SB-0259
3,596,SB-1041
3,597,SB-1241
3,598,SB-1594
3,599,SB-0285
3,600,SB-0672
3,601,SB-0352
3,602,SB-1263
3,603,SB-0042
3,604,SB-0963
3,605,SB-1623
3,606,SB-0585
3,607,SB-1481
3,608,SB-0368
3,609,SB-1690
3,610,SB-1225
3,611,SB-0900
3,612,SB-0511
3,613,SB-1212
3,614,SB-0904
3,615,SB-1542
3,616,SB-1627
3,617,SB-0455
3,618,SB-1709
3,619,SB-1749
3,620,SB-0055
3,621,SB-0489
3,622,SB-1699
3,623,SB-0084
3,624,SB-0748
3,625,SB-1337
3,626,SB-0971
3,627,SB-0678
3,628,SB-1227
3,629,SB-1200
3,630,SB-1715
3,631,SB-1282
3,632,SB-1500
3,633,SB-1458
3,634,SB-1697
3,635,SB-0045
3,636,SB-0733
3,637,SB-0938
3,638,SB-0839
3,639,SB-0650
3,640,SB-0622
3,641,SB-0433
3,642,SB-0310
3,643,SB-0905
3,644,SB-0187
3,645,SB-0010
3,646,SB-0153
3,647,SB-0823
3,648,SB-0178
3,649,SB-1289
3,650,SB-1325
3,651,SB-0547
3,652,SB-0407
3,653,SB-1403
3,654,SB-1760
3,655,SB-1664
3,656,SB-1768
3,657,SB-0270
3,658,SB-1065
3,659,SB-1510
3,660,SB-1391
3,661,SB-0568
3,662,SB-1129
3,663,SB-0747
3,664,SB-0837
3,665,SB-0299
3,666,SB-1746
3,667,SB-0639
3,668,SB-0910
3,669,SB-1078
3,670,SB-1219
3,671,SB-1327
3,672,SB-1018
3,673,SB-0185
3,674,SB-0853
3,675,SB-1552
3,676,SB-1203
3,677,SB-0375
3,678,SB-0023
3,679,SB-0077
3,680,SB-1339
3,681,SB-1774
3,682,SB-1112
3,683,SB-1245
3,684,SB-1599
3,685,SB-1469
3,686,SB-1667
3,687,SB-0126
3,688,SB-0165
3,689,SB-1651
4,690,SB-1713
4,691,SB-0471
4,692,SB-1771
4,693,SB-0241
4,694,SB-0974
4,695,SB-0802
4,696,SB-1769
4,697,SB-0243
4,698,SB-0728
4,699,SB-0117
4,700,SB-0261
4,701,SB-1716
4,702,SB-0736
4,703,SB-1522
4,704,SB-1591
4,705,SB-0041
4,706,SB-0402
4,707,SB-1411
4,708,SB-0438
4,709,SB-1732
4,710,SB-1579
4,711,SB-0480
4,712,SB-0965
4,713,SB-0003
4,714,SB-0539
4,715,SB-1250
4,716,SB-1665
4,717,SB-0791
4,718,SB-0915
4,719,SB-1354
4,720,SB-1260
4,721,SB-1555
4,722,SB-1462
4,723,SB-0192
4,724,SB-0019
4,725,SB-0598
4,726,SB-0276
4,727,SB-0726
4,728,SB-1717
4,729,SB-0580
4,730,SB-0143
4,731,SB-0676
4,732,SB-0063
4,733,SB-1357
4,734,SB-1663
4,735,SB-0291
4,736,SB-1515
4,737,SB-0196
4,738,SB-0258
4,739,SB-1559
4,740,SB-0182
4,741,SB-0458
4,742,SB-1392
4,743,SB-1638
4,744,SB-0027
4,745,SB-0956
4,746,SB-0475
4,747,SB-1737
4,748,SB-0288
4,749,SB-0879
4,750,SB-1083
4,751,SB-0709
4,752,SB-1468
4,753,SB-1672
4,754,SB-0325
4,755,SB-0163
4,756,SB-1478
4,757,SB-1024
4,758,SB-0006
4,759,SB-1491
4,760,SB-1507
4,761,SB-1450
4,762,SB-0564
4,763,SB-0776
4,764,SB-0158
4,765,SB-0930
4,766,SB-1045
4,767,SB-0966
4,768,SB-0787
4,769,SB-1361
4,770,SB-1338
4,771,SB-0614
4,772,SB-1496
4,773,SB-1033
4,774,SB-1602
4,775,SB-0896
4,776,SB-1641
4,777,SB-0260
4,778,SB-1152
4,779,SB-0782
4,780,SB-1648
4,781,SB-0199
4,782,SB-0346
4,783,SB-1484
4,784,SB-1461
4,785,SB-1783
4,786,SB-1644
4,787,SB-0653
4,788,SB-1545
4,789,SB-1494
4,790,SB-0535
4,791,SB-0385
4,792,SB-0969
4,793,SB-1096
4,794,SB-0212
4,795,SB-1669
4,796,SB-1253
4,797,SB-1561
4,798,SB-1424
4,799,SB-0181
4,800,SB-0562
4,801,SB-0347
4,802,SB-0810
4,803,SB-0944
4,804,SB-0914
4,805,SB-1266
4,806,SB-1477
4,807,SB-1333
4,808,SB-0287
4,809,SB-0763
4,810,SB-0873
4,811,SB-0381
4,812,SB-0871
4,813,SB-0890
4,814,SB-1502
4,815,SB-1482
4,816,SB-1092
4,817,SB-1761
4,818,SB-0764
4,819,SB-0754
4,820,SB-0713
4,821,SB-0099
4,822,SB-0018
4,823,SB-0318
4,824,SB-1352
4,825,SB-0959
4,826,SB-0320
4,827,SB-1346
4,828,SB-0218
4,829,SB-1359
4,830,SB-0441
4,831,SB-1536
4,832,SB-0681
4,833,SB-1675
4,834,SB-0179
4,835,SB-1119
4,836,SB-0035
4,837,SB-0251
4,838,SB-0980
4,839,SB-1172
4,840,SB-0566
4,841,SB-0431
4,842,SB-1249
4,843,SB-1156
4,844,SB-1508
4,845,SB-0095
4,846,SB-0217
4,847,SB-1739
4,848,SB-0239
4,849,SB-1422
4,850,SB-0599
4,851,SB-1183
4,852,SB-1074
4,853,SB-0888
4,854,SB-0091
4,855,SB-1228
4,856,SB-0800
4,857,SB-0523
4,858,SB-0955
4,859,SB-0644
4,860,SB-0047
4,861,SB-0732
4,862,SB-0089
4,863,SB-0138
4,864,SB-0059
4,865,SB-0367
4,866,SB-0957
4,867,SB-1445
4,868,SB-1068
4,869,SB-1375
4,870,SB-0595
4,871,SB-1207
4,872,SB-0952
4,873,SB-1646
4,874,SB-0353
4,875,SB-1573
4,876,SB-1608
4,877,SB-0087
4,878,SB-0968
4,879,SB-1503
4,880,SB-0248
4,881,SB-0796
4,882,SB-1633
4,883,SB-1069
4,884,SB-0822
4,885,SB-1292
4,886,SB-0808
4,887,SB-1597
4,888,SB-0903
4,889,SB-1293
4,890,SB-1086
4,891,SB-0543
4,892,SB-0868
4,893,SB-0339
4,894,SB-0501
4,895,SB-0485
4,896,SB-1075
4,897,SB-1236
4,898,SB-1125
4,899,SB-1480
4,900,SB-0995
4,901,SB-1221
4,902,SB-1150
4,903,SB-1348
4,904,SB-0872
4,905,SB-1186
4,906,SB-1525
4,907,SB-1721
4,908,SB-0482
4,909,SB-1006
4,910,SB-0742
4,911,SB-0201
4,912,SB-1312
4,913,SB-1730
4,914,SB-0303
4,915,SB-0761
4,916,SB-1379
4,917,SB-0081
4,918,SB-1349
