id,stage,source_stage,proposal_source,word,pos,category,confidence,provenance,finding_evidence,proposal_rationale,current_ua,current_definitionUa,source_proposed_target,source_proposed_value,proposed_ua,proposed_definitionUa,proposal_fields,effective_fields,current_pair_sha256,finding_rationale,finding_confidence,proposal_evidence_quote
SB-0060,A,r2-reconciliation,docs/G4A_R2_RECON_CHUNK1.csv,amateur,"adj., n.",pos-alignment,high,R2 A/B reconciliation (union-defect roster),не займаючись цим професійно,,любитель,"Людина, прив’язана до певної діяльності, навчання, науки чи мистецтва (наприклад, музики чи живопису), особливо та, яка розвиває будь-які дослідження, інтереси, смаки чи прихильності, не займаючись цим професійно.",both,"ua: аматор; аматорський | definitionUa: Людина, яка займається чимось не професійно; також такий, що стосується непрофесійної діяльності.",аматор; аматорський,"Людина, яка займається чимось не професійно; також такий, що стосується непрофесійної діяльності.",ua|definitionUa,ua|definitionUa,72cbadb2df9934c8214fbfdc196bdb50c4fd7231ffb306647a37424d46e96091,"amateur is adj.,n. but ua «любитель» and the definition cover only the noun, omitting the adjective — the coverage defect is confirmed (Pass B wrongly claimed noun/adj matched).",high,
SB-0061,A,part1-floor,docs/G4A_R2_SUPPLEMENTAL_PROPOSALS.csv,ambassador,n.,semantic-pedagogical,high,Codex seed-20260914 blinded acceptance challenge,"The parenthetical says the ambassador is sometimes called the ambassador's residence, which is false and likely leaked from another sense.","Narrow-token case: the parenthetical '(Іноді його називають резиденцією посла)' literally claims the ambassador (a person) is sometimes called 'the ambassador's residence' (a building), which is false and appears to be leaked from the separate 'embassy/residence' sense. Deleted only the erroneous parenthetical; the preceding sentence was accurate and preserved verbatim.",посол,"Дипломат найвищого рангу, посланий до іноземного двору, щоб представляти там свого суверена або країну. (Іноді його називають резиденцією посла)",,,,"Дипломат найвищого рангу, посланий до іноземного двору, щоб представляти там свого суверена або країну.",definitionUa,definitionUa,79d6b9f75778995cf04a7fc7cd9cf8bcfc150de2df39d056f737369924e495de,,high,резиденцією посла
SB-0063,A,r2-reconciliation,docs/G4A_R2_RECON_CHUNK1.csv,amendment,n.,sense-coverage,high,R2 A/B reconciliation (union-defect roster),до Конституції,,поправка,Доповнення та/або зміни до Конституції.,definitionUa,"Зміна або доповнення до документа, закону чи угоди, зокрема до конституції.",,"Зміна або доповнення до документа, закону чи угоди, зокрема до конституції.",definitionUa,definitionUa,908f7cc103429126c72a24d8fe0438623b1ddaaf53cc7dc4e6bf9e1daa251d6c,"amendment is defined only «до Конституції», misinforming that it is constitution-specific and omitting laws/agreements/documents — confirmed.",high,
SB-0067,A,part1-floor,docs/G4A_RESIDUAL_AUDIT_R2_INTAKE.csv,angel,n.,grammar-calque-fragment,high,R1-listed defect; severity normalized to P1 by Codex acceptance review,definitionUa 'в розвіваються шатах' is ungrammatical: finite verb 'розвіваються' where an attributive participle ('розвіяних/розвіюваних') is required.,,ангел,"Безтілесний і святий або напівбожественний посланець божества чи іншої божественної сутності, традиційно зображується як молода крилата фігура в розвіваються шатах.",definitionUa,"Безтілесний святий або напівбожественний посланець божества чи іншої божественної сутності, якого традиційно зображують молодою крилатою постаттю у просторих шатах, що розвіваються.",,"Безтілесний святий або напівбожественний посланець божества чи іншої божественної сутності, якого традиційно зображують молодою крилатою постаттю у просторих шатах, що розвіваються.",definitionUa,definitionUa,ff52a1b3b13116dd743881b99e61dc72de2674e81da6d878907c6cf2e4ea8bed,,high,
SB-0069,A,r2-reconciliation,docs/G4A_R2_RECON_CHUNK2.csv,apparatus,n.,semantic-fidelity,high,R2 A/B reconciliation (union-defect roster),конкретне виробництво,,апарат,"Сукупність засобів, за допомогою яких створюється конкретне виробництво або виконується завдання.",definitionUa,"Набір обладнання або засобів, потрібних для виконання певного завдання.",,"Набір обладнання або засобів, потрібних для виконання певного завдання.",definitionUa,definitionUa,9fabd653238455f7ac69db41a74ae1d3379ca3dbd96d30615ed93522ad52c097,«конкретне виробництво» is not an accurate account of apparatus as equipment for a task — semantic defect confirmed.,high,
SB-0070,A,part1-floor,docs/G4A_RESIDUAL_AUDIT_R2_INTAKE.csv,appealing,adj.,semantic-pedagogical-error,medium,R1-listed defect; severity normalized to P1 by Codex acceptance review,"'appealing' (attractive) led with 'Наявність апеляції' (presence of a legal appeal), a wrong-sense calque; correct 'привабливий' follows.",,привабливий,Наявність апеляції; привабливий.,definitionUa,"Привабливий; такий, що викликає інтерес або симпатію.",,"Привабливий; такий, що викликає інтерес або симпатію.",definitionUa,definitionUa,bfeb3d93b554ea9d10ebf90edb4acc0f6f87426c583c66793524a4354a7dc085,,medium,
SB-0073,A,part1-floor,docs/G4A_R2_SUPPLEMENTAL_PROPOSALS.csv,applicable,adj.,grammar-syntax,high,Codex seed-20260914 blinded acceptance challenge,The predicate switches from masculine 'Підходить' to feminine 'актуальна' for the same adjective gloss.,"Narrow-token case: the recorded claim targets only the gender disagreement on 'актуальна' vs the masculine gloss 'застосовний'. Changed only that final token to 'актуальний' and restored 'Підходить для застосування' verbatim, since that opening clause was outside the recorded defect. Separate observation for the reviewer: 'Підходить' is a finite verb form, not an adjectival predicate, so the opening clause may itself be a non-adjectival-formula defect worth a future pass -- not folded into this correction.",застосовний,"Підходить для застосування, актуальна.",,,,"Підходить для застосування, актуальний.",definitionUa,definitionUa,23a871ec063b531027df6116355b5bae2e9132c3b5c8cd891ee9e7edd7e2edd6,,high,актуальна
SB-0081,A,r2-reconciliation,docs/G4A_R2_RECON_CHUNK2.csv,arm,v.,grammar-syntax,high,R2 A/B reconciliation (union-defect roster),Для забезпечення бронею,,озброювати,Для забезпечення бронею або (особливо пізніше) зброєю.,definitionUa,Забезпечувати когось зброєю або готувати до збройної дії.,,Забезпечувати когось зброєю або готувати до збройної дії.,definitionUa,definitionUa,fed4110fba1f74b564a940e95f77d96a45a3607559db50ce3f19d6a8b66913b5,the definition begins with the purpose construction «Для забезпечення» instead of defining the verb arm — confirmed.,high,
SB-0084,A,r2-reconciliation,docs/G4A_R2_RECON_CHUNK3.csv,ash,n.,semantic-fidelity,high,R2 A/B reconciliation (union-defect roster),Суцільні залишки пожежі,,попіл,Суцільні залишки пожежі.,definitionUa,Твердий порошкоподібний залишок після згоряння речовини.,,Твердий порошкоподібний залишок після згоряння речовини.,definitionUa,definitionUa,dff945364af2d3594b261918b3370598233bf8a6d1780bc21f84967f4aa31966,"«Суцільні залишки» means continuous remains, not the solid residue left after burning — semantic defect confirmed.",high,
SB-0087,A,r2-reconciliation,docs/G4A_R2_RECON_CHUNK3.csv,assassination,n.,sense-coverage,high,R2 A/B reconciliation (union-defect roster),з політичних мотивів,,вбивство,"Вбивство людини, особливо з політичних мотивів або заради особистої вигоди.",ua,політичне або замовне вбивство,політичне або замовне вбивство,,ua,ua,e15d642e5c238b1437038bddad4097af0a28a722a91eee9a2f44bb93ebc3d39b,"the bare gloss «вбивство» loses the targeted, often political character of assassination — sense-coverage confirmed.",high,
SB-0088,A,r2-reconciliation,docs/G4A_R2_RECON_CHUNK1.csv,assault,"n., v.",pos-alignment,high,R2 A/B reconciliation (union-defect roster),Нападати,,напад,"Нападати, фізично чи фігурально; атакувати.",both,ua: напад; нападати | definitionUa: Фізична або словесна атака; також нападати на когось чи щось.,напад; нападати,Фізична або словесна атака; також нападати на когось чи щось.,ua|definitionUa,ua|definitionUa,23ef741b0e2cc5aa066d85c1d48b8ddbb239130bd405ecf0bc181e1b10b1cf4b,"assault is n.,v. but ua «напад» is noun-only while the definition «Нападати… атакувати» is verb-only — an internal POS mismatch confirmed.",high,
SB-0092,A,r2-reconciliation,docs/G4A_R2_RECON_CHUNK1.csv,assertion,n.,learner-register,high,R2 A/B reconciliation (union-defect roster),авермент,,твердження,Акт ствердження; позитивна декларація або авермент.,definitionUa,Упевнене й чітке твердження або заява.,,Упевнене й чітке твердження або заява.,definitionUa,definitionUa,0ed4ad4cf3256aee013620419d28e1f31c848d4554741bce5fae754b825c55bc,"«авермент» is a rare, unexplained borrowing unsuitable for learner-facing Ukrainian — the register defect is confirmed.",high,
SB-0099,A,r2-reconciliation,docs/G4A_R2_RECON_CHUNK3.csv,attribute,"v., n.",pos-alignment,high,R2 A/B reconciliation (union-defect roster),Пов'язувати право власності,,атрибут,Пов'язувати право власності чи авторство на (щось) з кимось.,both,ua: ознака; приписувати | definitionUa: Характерна риса; також вважати щось наслідком чи твором певної особи або причини.,ознака; приписувати,Характерна риса; також вважати щось наслідком чи твором певної особи або причини.,ua|definitionUa,ua|definitionUa,7f52361297b753326ec9713a3be305236aa4b109df1de7b6929ad44324f1ce80,"attribute is v.,n. but ua «атрибут» gives only the noun while the definition «Пов’язувати…» gives only the verb — coverage defect confirmed over Pass B's P2.",high,
SB-0114,A,r2-reconciliation,docs/G4A_R2_RECON_CHUNK3.csv,barrel,n.,semantic-fidelity,high,R2 A/B reconciliation (union-defect roster),зроблена з держаків,,бочка,"Кругла (циліндрична) посудина, така як бочка, більша за довжину, ніж завширшки, і опукла в середині, зроблена з держаків, зв’язаних обручами, і має плоскі кінці (голови).",definitionUa,"Циліндрична посудина, довша, ніж ширша, опукла посередині й складена з клепок, стягнутих обручами.",,"Циліндрична посудина, довша, ніж ширша, опукла посередині й складена з клепок, стягнутих обручами.",definitionUa,definitionUa,a19a4f803b88e62bd45f9009293bb194ff687d99bf722a7338fa35543cf08e08,the definition reverses the dimensions and mistranslates staves as «держаки» — confirmed over Pass B's P2.,high,
SB-0118,A,r2-reconciliation,docs/G4A_R2_RECON_CHUNK2.csv,bay,n.,calque-russianism,high,R2 A/B reconciliation (union-defect roster),Тіло води,,затока,"Тіло води (особливо море), яке міститься увігнутою береговою лінією.",definitionUa,"Частина моря чи озера, що вдається в суходіл і частково оточена берегом.",,"Частина моря чи озера, що вдається в суходіл і частково оточена берегом.",definitionUa,definitionUa,8add59dbee33e78fd6ef8d29c38c1d4583ee0e96a6e384f2154d70d84324190f,«Тіло води … міститься увігнутою береговою лінією» is an unintelligible literal calque — confirmed over Pass B's P2.,high,
SB-0122,A,r2-reconciliation,docs/G4A_R2_RECON_CHUNK3.csv,beloved,adj.,grammar-syntax,high,R2 A/B reconciliation (union-defect roster),"Дуже любив, ніжно любив",,коханий,"Дуже любив, ніжно любив.",definitionUa,Дуже дорогий або коханий.,,Дуже дорогий або коханий.,definitionUa,definitionUa,e95b0f68dcf6a122621eb3ee993f111ce2fc1a346ceeee189f5a08a3d33e27ce,past-tense «Дуже любив» neither agrees with nor defines the adjective beloved — POS/grammar defect confirmed over Pass B's P2.,high,
SB-0129,A,r2-reconciliation,docs/G4A_R2_RECON_CHUNK1.csv,biography,n.,grammar-syntax,high,R2 A/B reconciliation (union-defect roster),особливо опублікованої,,біографія,"Історія життя людини, особливо опублікованої.",definitionUa,"Опис життя людини, написаний іншою особою.",,"Опис життя людини, написаний іншою особою.",definitionUa,definitionUa,52f19e19a4dc4360dc0222f409099c2ba892ae88776f4006fe30c2f2b3972dd5,«особливо опублікованої» grammatically attaches to the person rather than the life-account — the syntax defect is confirmed.,high,
SB-0134,A,r2-reconciliation,docs/G4A_R2_RECON_CHUNK3.csv,bleed,v.,semantic-fidelity,high,R2 A/B reconciliation (union-defect roster),Пролити кров,,кровоточити,Пролити кров через ушкоджену кровоносну судину.,definitionUa,Втрачати кров через ушкодження кровоносної судини.,,Втрачати кров через ушкодження кровоносної судини.,definitionUa,definitionUa,05d137ffbe9da5e102c19038acfeb08d53e4157d4a44f3d9382096a8ff301017,the transitive perfective «Пролити кров» does not define the intransitive verb кровоточити — confirmed.,high,
SB-0142,A,part1-floor,docs/G4A_RESIDUAL_AUDIT_R2_INTAKE.csv,boundary,n.,semantic-pedagogical-error,high,R1-listed defect; severity normalized to P1 by Codex acceptance review,'розташування' (location/arrangement) is wrong for boundary; boundary is a line of division ('поділу/межа').,,межа,Лінія розмежування або розташування між двома областями.,definitionUa,Лінія поділу між двома областями; межа.,,Лінія поділу між двома областями; межа.,definitionUa,definitionUa,f35ef274dbebb16630f82acdf65cc6c9fde9da0de928c75d04c5ea96a3fd2918,,high,
SB-0152,A,r2-reconciliation,docs/G4A_R2_RECON_CHUNK1.csv,buddy,n.,semantic-fidelity,high,R2 A/B reconciliation (union-defect roster),випадковий знайомий,,приятель,Друг або випадковий знайомий.,definitionUa,"Друг або приятель, з яким мають близькі чи невимушені стосунки.",,"Друг або приятель, з яким мають близькі чи невимушені стосунки.",definitionUa,definitionUa,208a75dfa41719995f44057557aa688317305b25b177ff5a78b32e89a2c3ab18,buddy is a pal/close informal friend; «випадковий знайомий» (chance acquaintance) mis-teaches the relationship as distant — Pass A's semantic defect confirmed on the frozen text.,high,
SB-0156,A,r2-reconciliation,docs/G4A_R2_RECON_CHUNK2.csv,bureaucracy,n.,calque-russianism,high,R2 A/B reconciliation (union-defect roster),Уряд через бюро,,бюрократія,Уряд через бюро або їхніх адміністраторів чи службовців.,definitionUa,"Система управління, у якій важливу роль відіграють численні установи, правила й посадовці.",,"Система управління, у якій важливу роль відіграють численні установи, правила й посадовці.",definitionUa,definitionUa,feb990bb9b240cfa756a44d1dd21b3c17198972f26d2abd8be9651a55bd5cb74,"«Уряд через бюро» is a literal, unidiomatic rendering that does not explain bureaucracy — confirmed.",high,
SB-0158,A,r2-reconciliation,docs/G4A_R2_RECON_CHUNK3.csv,burst,v.,grammar-syntax,high,R2 A/B reconciliation (union-defect roster),Зламати від внутрішнього тиску,,лопнути,Зламати від внутрішнього тиску.,definitionUa,Раптово розірватися або лопнути під внутрішнім тиском.,,Раптово розірватися або лопнути під внутрішнім тиском.,definitionUa,definitionUa,8af74610b45cb3eb0f1e23628b3412d08a19c78a8e623b5d1eb287b691c63ede,«Зламати від внутрішнього тиску» is transitive and does not match the intransitive лопнути/burst sense — confirmed.,high,
SB-0172,A,r2-reconciliation,docs/G4A_R2_RECON_CHUNK2.csv,cattle,n.,number-agreement,high,R2 A/B reconciliation (union-defect roster),Домашня тварина виду,,худоба,"Домашня тварина виду Bos taurus (корови, бики, бички, воли тощо) та інші копитні ссавці роду Bos.",definitionUa,"Свійські тварини виду Bos taurus, зокрема корови, бики й воли.",,"Свійські тварини виду Bos taurus, зокрема корови, бики й воли.",definitionUa,definitionUa,fefb74fb54e032e00491f3de276610736532ba4a400f5a09b400e3864dcb57f2,the plural mass noun cattle is defined as one «Домашня тварина» and then broadened inconsistently — number-agreement confirmed.,high,
SB-0188,A,r2-reconciliation,docs/G4A_R2_RECON_CHUNK3.csv,civilian,"n., adj.",pos-alignment,high,R2 A/B reconciliation (union-defect roster),займається цивільним життям,,цивільний,"Людина, яка займається цивільним життям, особливо та, яка не є активним членом збройних сил.",both,"ua: цивільна особа; цивільний | definitionUa: Людина, яка не є військовослужбовцем; також пов’язаний із цивільним життям.",цивільна особа; цивільний,"Людина, яка не є військовослужбовцем; також пов’язаний із цивільним життям.",ua|definitionUa,ua|definitionUa,c9048547cfedaabc3ef36672b5d118efcc2a72681b8f48b131dd41daedf3c08b,"civilian is n.,adj. but ua «цивільний» is adjective-only while the definition is noun-only — coverage defect confirmed.",high,
SB-0191,A,part1-floor,docs/G4A_RESIDUAL_AUDIT_R2_INTAKE.csv,classification,n.,grammar-calque-fragment,high,R1-listed defect; severity normalized to P1 by Codex acceptance review,'формування в клас' is a malformed calque; Ukrainian would be 'формування класів'/'розподіл на класи'.,,класифікація,"Акт формування в клас або класи; розподіл на групи, як класи, порядки, родини тощо, відповідно до деяких спільних відносин або атрибутів.",definitionUa,"Акт розподілу на класи; поділ на групи (класи, порядки, родини тощо) за спільними ознаками або атрибутами.",,"Акт розподілу на класи; поділ на групи (класи, порядки, родини тощо) за спільними ознаками або атрибутами.",definitionUa,definitionUa,1ecb9c37eaa56114e1052cb8f89d1ba9a66780b4cd362aef90a1bc3b0faa24af,,high,
SB-0199,A,r2-reconciliation,docs/G4A_R2_RECON_CHUNK2.csv,cognitive,adj.,calque-russianism,high,R2 A/B reconciliation (union-defect roster),Відноситься до,,когнітивний,"Відноситься до тієї частини розумових функцій, яка має справу з логікою, на відміну від афективної, яка має справу з емоціями.",definitionUa,"Пов’язаний із пізнанням, мисленням, пам’яттю та іншими розумовими процесами.",,"Пов’язаний із пізнанням, мисленням, пам’яттю та іншими розумовими процесами.",definitionUa,definitionUa,62cb0693bacee631001d5de31fcf00b3b09982b3d4017efe73d6f4d4126ce654,«Відноситься до» is a Russian-influenced calque and the definition is unnecessarily narrow — confirmed.,high,
SB-0205,A,r2-reconciliation,docs/G4A_R2_RECON_CHUNK1.csv,colonial,adj.,calque-russianism,high,R2 A/B reconciliation (union-defect roster),відноситься до неї,,колоніальний,З колонії або відноситься до неї.,definitionUa,"Такий, що стосується колонії або колоніалізму.",,"Такий, що стосується колонії або колоніалізму.",definitionUa,definitionUa,6a5da69d9af4170837492934bc1abcd98b6a8baa93bc9399e52b8581448e29d0,«відноситься до» is a Russian-influenced calque and the coordination is defective — confirmed.,high,
SB-0215,A,r2-reconciliation,docs/G4A_R2_RECON_CHUNK3.csv,companion,n.,grammar-syntax,high,R2 A/B reconciliation (union-defect roster),з ким проводять час або супроводжують,,компаньйон,"Друг, знайомий або партнер; хтось, з ким проводять час або супроводжують",definitionUa,"Людина, з якою проводять час або яка супроводжує когось; товариш чи партнер.",,"Людина, з якою проводять час або яка супроводжує когось; товариш чи партнер.",definitionUa,definitionUa,1764125d8fc30c96ea24c913e6c426f83ba9e865e6d38f73b3e5f7fb86f23507,the definition lacks a period and ends with a subjectless plural verb not agreeing with «хтось» — confirmed.,high,
SB-0217,A,r2-reconciliation,docs/G4A_R2_RECON_CHUNK3.csv,compassion,n.,grammar-syntax,high,R2 A/B reconciliation (union-defect roster),вони мотивовані,,співчуття,"Глибоке усвідомлення страждань інших людей настільки, що вони мотивовані полегшити такі стани.",definitionUa,"Глибоке співчуття до чужих страждань, що спонукає допомогти.",,"Глибоке співчуття до чужих страждань, що спонукає допомогти.",definitionUa,definitionUa,78ab563eafbae7782732abca49ebe18f3a78011d2afeb7ace306a7007dffd773,"plural «вони» has no valid antecedent after singular «усвідомлення», breaking the definition of compassion — confirmed.",high,
SB-0257,A,r2-reconciliation,docs/G4A_R2_RECON_CHUNK1.csv,consolidate,v.,grammar-syntax,high,R2 A/B reconciliation (union-defect roster),щоб об’єднатися або приєднатися,,консолідувати,Об'єднати в єдине ціле; щоб об’єднатися або приєднатися.,definitionUa,Об’єднувати окремі частини в єдине ціле; зміцнювати досягнуте.,,Об’єднувати окремі частини в єдине ціле; зміцнювати досягнуте.,definitionUa,definitionUa,0b5c241729cb89fae89ec6529e198b3ad5daf3a615c9743af3c13ed4c09adce2,«щоб об’єднатися» breaks the infinitive definition and shifts the agent — the syntax defect is confirmed.,high,
SB-0271,A,r2-reconciliation,docs/G4A_R2_RECON_CHUNK2.csv,contractor,n.,sense-coverage,high,R2 A/B reconciliation (union-defect roster),будує або вдосконалює будівлі,,підрядник,"Особа або компанія, яка будує або вдосконалює будівлі чи споруди.",definitionUa,"Особа або компанія, що за договором виконує роботи чи надає послуги.",,"Особа або компанія, що за договором виконує роботи чи надає послуги.",definitionUa,definitionUa,64257d00c654c6c292c76cced65eac81f5f15184b44d9e195bf23e5741dca356,"the definition restricts contractor to construction, omitting contracted services and other work — sense-coverage confirmed.",high,
SB-0276,A,r2-reconciliation,docs/G4A_R2_RECON_CHUNK1.csv,convict,v.,grammar-syntax,high,R2 A/B reconciliation (union-defect roster),(неофіційного) в моральному сенсі,,засуджувати,Визнати винним в результаті судового розгляду або (неофіційного) в моральному сенсі.,definitionUa,Офіційно визнати особу винною за рішенням суду.,,Офіційно визнати особу винною за рішенням суду.,definitionUa,definitionUa,10df89cbc0e80050e7a74e63721025fba8df27a541eba0c68e9e3409818a24d9,the parenthetical «(неофіційного) в моральному сенсі» is not valid Ukrainian syntax — confirmed.,high,
SB-0285,A,r2-reconciliation,docs/G4A_R2_RECON_CHUNK3.csv,copyright,n.,calque-russianism,high,R2 A/B reconciliation (union-defect roster),"бути суб’єктом, який визначає",,авторське право,"Право за законом бути суб’єктом, який визначає, хто може публікувати, копіювати та поширювати твір, музику, малюнок чи інший авторський твір.",definitionUa,"Закріплене законом виключне право автора визначати, хто може відтворювати, публікувати й поширювати твір.",,"Закріплене законом виключне право автора визначати, хто може відтворювати, публікувати й поширювати твір.",definitionUa,definitionUa,4f4f3384b048898e85d21085a63a72dac009494f449805197a14426dc92de9b0,"«Право … бути суб’єктом, який визначає» is a literal legalistic calque unsuitable for learners — confirmed.",high,
SB-0290,A,r2-reconciliation,docs/G4A_R2_RECON_CHUNK3.csv,correspondence,n.,semantic-fidelity,high,R2 A/B reconciliation (union-defect roster),Взаємний обмін люб'язністю,,листування,"Взаємний обмін люб'язністю, особливо розмова між людьми за допомогою листів.",definitionUa,Обмін листами або іншими письмовими повідомленнями.,,Обмін листами або іншими письмовими повідомленнями.,definitionUa,definitionUa,5b7054d58e8e94e6f8e0778fb81cfba3f8c04b9eac9f5deddcfd14901c4973de,«обмін люб’язністю» means exchange of courtesy and does not define correspondence — confirmed over Pass B's P2.,high,
