id,word,pos,ua,definitionUa,disposition,category,evidence,confidence,provenance,proposed_target,proposed_value
SB-0027,adaptation,n.,адаптація,"Процес адаптації чогось або пристосування до ситуації; коригування, модифікація.",needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0030,adjustment,n.,коригування,Дія регулювання чогось,needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0033,administrator,n.,адміністратор,"Той, хто веде справи; той, хто скеровує, керує, виконує або розпоряджається, чи то в цивільних, судових, політичних чи церковних справах; менеджер.",needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0035,adolescent,n.,підліток,"Людина, яка перебуває в підлітковому віці; хтось, хто досяг статевої зрілості, але ще не дорослий.",needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0036,adoption,n.,усиновлення,Стан усиновлення; прийняття дитини інших батьків як власної дитини.,needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0039,aesthetic,adj.,естетичний,"Стурбований красою, художнім ефектом або зовнішнім виглядом.",needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0040,affection,n.,прихильність,Почуття любові або сильної прихильності.,needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0041,aftermath,n.,наслідки (переважно негативні),"Те, що відбувається після, те, що слідує, зазвичай має яскраво негативний відтінок у більшості контекстів, натякаючи на попередню катастрофу.",needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0042,aggression,n.,агресія,Ворожа чи деструктивна поведінка чи дії.,needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0043,agricultural,adj.,сільськогосподарський,Сільське господарство або пов'язане з ним.,P1,pos-morphology,"Adjective agricultural is defined by the noun phrase 'Сільське господарство' plus an elliptical fragment; use 'Такий, що стосується сільського господарства'.",high,Codex seed-20260914 blinded acceptance challenge,,
SB-0045,albeit,conj.,хоча,"Сполучник зі значенням «хоча» або «незважаючи на те, що».",needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0047,alien,adj.,чужий,"Не належать до тієї самої країни, землі чи уряду, чи до їхніх громадян чи підданих; іноземні.",needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0048,align,v.,вирівняти,Підлаштовуватися під лінію; діапазон або форму в лінію; привести у відповідність.,needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0053,allegedly,adv.,нібито,За чиїмось твердженням.,needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0054,alliance,n.,альянс,"Союз або зв’язок інтересів між сім’ями, державами, партіями тощо, особливо між сім’ями за шлюбом і державами за договором, угодою чи союзом.",needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0055,allocate,v.,виділити,Відкладати для певної мети.,needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0056,allocation,n.,виділення,"Процес або процедура розподілу речей, особливо грошей або інших ресурсів.",needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0058,ally,n.,союзник,"Людина, яка співпрацює або допомагає іншому; асоційований; друг.",P1,pos-morphology-mismatch,"For noun 'ally', gloss includes adjective/participle 'асоційований' as a synonym; POS mismatch.",medium,R1-listed defect; severity normalized to P1 by Codex acceptance review,definitionUa,"Той, хто співпрацює з іншим або допомагає йому; спільник, союзник."
SB-0059,aluminium,n.,алюміній,"Легкий сріблястий метал, що добувається з бокситів, і хімічний елемент (символ Al) з атомним номером 13.",needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0060,amateur,"adj., n.",любитель,"Людина, прив’язана до певної діяльності, навчання, науки чи мистецтва (наприклад, музики чи живопису), особливо та, яка розвиває будь-які дослідження, інтереси, смаки чи прихильності, не займаючись цим професійно.",needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0061,ambassador,n.,посол,"Дипломат найвищого рангу, посланий до іноземного двору, щоб представляти там свого суверена або країну. (Іноді його називають резиденцією посла)",P1,semantic-pedagogical,"The parenthetical says the ambassador is sometimes called the ambassador's residence, which is false and likely leaked from another sense.",high,Codex seed-20260914 blinded acceptance challenge,,
SB-0063,amendment,n.,поправка,Доповнення та/або зміни до Конституції.,needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0065,analogy,n.,аналогія,"Відношення подібності або еквівалентності між двома ситуаціями, людьми чи об’єктами, особливо коли використовується як основа для пояснення чи екстраполяції.",needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0066,anchor,n.,якір,"Інструмент, який використовується для причалювання судна до дна моря чи річки, щоб протистояти руху.",needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0067,angel,n.,ангел,"Безтілесний і святий або напівбожественний посланець божества чи іншої божественної сутності, традиційно зображується як молода крилата фігура в розвіваються шатах.",P1,grammar-calque-fragment,definitionUa 'в розвіваються шатах' is ungrammatical: finite verb 'розвіваються' where an attributive participle ('розвіяних/розвіюваних') is required.,high,R1-listed defect; severity normalized to P1 by Codex acceptance review,definitionUa,"Безтілесний святий або напівбожественний посланець божества чи іншої божественної сутності, якого традиційно зображують молодою крилатою постаттю у просторих шатах, що розвіваються."
SB-0069,apparatus,n.,апарат,"Сукупність засобів, за допомогою яких створюється конкретне виробництво або виконується завдання.",needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0070,appealing,adj.,привабливий,Наявність апеляції; привабливий.,P1,semantic-pedagogical-error,"'appealing' (attractive) led with 'Наявність апеляції' (presence of a legal appeal), a wrong-sense calque; correct 'привабливий' follows.",medium,R1-listed defect; severity normalized to P1 by Codex acceptance review,definitionUa,"Привабливий; такий, що викликає інтерес або симпатію."
SB-0071,appetite,n.,апетит,Бажання з'їсти їжу або випити напої.,needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0072,applaud,v.,аплодувати,Виражати схвалення (чогось) плеском у долоні.,needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0073,applicable,adj.,застосовний,"Підходить для застосування, актуальна.",P1,grammar-syntax,The predicate switches from masculine 'Підходить' to feminine 'актуальна' for the same adjective gloss.,high,Codex seed-20260914 blinded acceptance challenge,,
SB-0075,appreciation,n.,вдячність,"Справедлива оцінка якості, цінності, ваги тощо; визнання досконалості; вдячність і пошана.",needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0076,arbitrary,adj.,довільний,"На основі особистого розсуду чи судження; не ґрунтуючись на будь-якій об’єктивній відмінності, можливо, навіть зробленій навмання.",needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0077,architectural,adj.,архітектурний,Що стосується архітектури.,needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0078,archive,n.,архів,"Місце для зберігання раннього, а часто й історичного матеріалу. Архів зазвичай містить документи (листи, записи, газети тощо) або інші типи носіїв, які зберігаються для історичного інтересу.",needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0081,arm,v.,озброювати,Для забезпечення бронею або (особливо пізніше) зброєю.,needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0083,articulate,v.,артикулювати,Говорити чітко; виголошувати.,needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0084,ash,n.,попіл,Суцільні залишки пожежі.,needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0086,aspire,v.,прагнути,Мати сильне бажання або амбіції досягти чогось.,needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0087,assassination,n.,вбивство,"Вбивство людини, особливо з політичних мотивів або заради особистої вигоди.",needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0088,assault,"n., v.",напад,"Нападати, фізично чи фігурально; атакувати.",needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0089,assemble,v.,зібрати,Збирати разом.,needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0091,assert,v.,стверджувати,Заявляти з упевненістю або просто і рішуче; стверджувати позитивно.,needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0092,assertion,n.,твердження,Акт ствердження; позитивна декларація або авермент.,needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0093,assurance,n.,запевнення,"Акт запевнення; заява, яка має викликати повну довіру; щось, створене для того, щоб надати комусь впевненості.",needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0094,asylum,n.,притулок,Місце безпеки або притулок.,needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0095,atrocity,n.,злодіяння,Надзвичайно жорстокий вчинок; жахливий акт несправедливості.,needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0096,attain,v.,досягти,Отримати (об'єкт або бажаний результат).,needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0097,attendance,n.,присутність,Акт відвідування; стан присутності; наявність.,needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0098,attorney,n.,адвокат,"юрист; той, хто консультує або представляє інших у юридичних питаннях як професія.",needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0099,attribute,"v., n.",атрибут,Пов'язувати право власності чи авторство на (щось) з кимось.,needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0101,authentic,adj.,справжній,"Того ж походження, що заявлено; справжній.",needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0104,autonomy,n.,автономія,Право або умова самоврядування; свобода діяти або функціонувати незалежно.,needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0107,backdrop,n.,фон,Обстановка або фон розіграної вистави.,needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0110,bail,n.,застава,"Забезпечення, як правило, грошова сума, яку обмінюють на звільнення заарештованої особи як гарантію явки цієї особи на суд.",needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0112,banner,n.,банер,"Будь-який великий знак, особливо з м’якого матеріалу або тканини.",P2,semantic-scope,"Banner is narrowed to a large sign, although banners need not be large and may function as flags or display strips.",medium,Codex seed-20260914 blinded acceptance challenge,,
SB-0113,bare,adj.,голий,"Голий, непокритий.",needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0114,barrel,n.,бочка,"Кругла (циліндрична) посудина, така як бочка, більша за довжину, ніж завширшки, і опукла в середині, зроблена з держаків, зв’язаних обручами, і має плоскі кінці (голови).",needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0115,bass1,n.,бас (низький звук; басовий інструмент),Низький за висотою звук або музичний інструмент чи голос із низьким регістром.,needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0117,battlefield,n.,поле бою,"Область, де ведеться наземна битва, яка не обов’язково може бути полем.",needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0118,bay,n.,затока,"Тіло води (особливо море), яке міститься увігнутою береговою лінією.",needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0120,beast,n.,звір,"Тварина, особливо велика або небезпечна наземна хребетна.",needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0122,beloved,adj.,коханий,"Дуже любив, ніжно любив.",needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0123,bench,n.,лава,"Довге сидіння зі спинкою або без неї, наприклад, у парках і школах.",needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0126,beneficiary,n.,бенефіціар,"Той, хто користується або отримує перевагу.",needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0127,betray,v.,зраджувати,"Порушити довіру або виявити приховану інформацію, почуття чи справжній характер.",needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0129,biography,n.,біографія,"Історія життя людини, особливо опублікованої.",needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0132,blade,n.,лезо,"Частина ножа, меча, бритви чи іншого інструменту (як правило, з гострим краєм), яким вона ріже.",needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0134,bleed,v.,кровоточити,Пролити кров через ушкоджену кровоносну судину.,needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0136,bless,v.,благословляти,Викликати божественну прихильність.,needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0138,boast,v.,хвалитися,Вихвалятися; голосно говорити на хвалу собі.,needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0139,bonus,n.,бонус,"Щось додаткове, що добре; додаткова перевага.",needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0140,boom,n.,бум,"Низький резонансний звук, наприклад вибух.",needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0142,boundary,n.,межа,Лінія розмежування або розташування між двома областями.,P1,semantic-pedagogical-error,'розташування' (location/arrangement) is wrong for boundary; boundary is a line of division ('поділу/межа').,high,R1-listed defect; severity normalized to P1 by Codex acceptance review,definitionUa,Лінія поділу між двома областями; межа.
SB-0143,bow1,"v., n.",нахилятися; уклін,Нахиляти голову або верхню частину тіла на знак поваги; також сам такий уклін.,needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0146,breakthrough,n.,прорив,"Будь-який серйозний прогрес; наприклад, велика інновація чи відкриття, яке долає значну перешкоду.",needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0152,buddy,n.,приятель,Друг або випадковий знайомий.,needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0153,buffer,n.,буфер,"Частина пам’яті, виділена для тимчасового зберігання даних, часто перед їх надсиланням на зовнішній пристрій або під час отримання із зовнішнього пристрою.",needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0156,bureaucracy,n.,бюрократія,Уряд через бюро або їхніх адміністраторів чи службовців.,needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0158,burst,v.,лопнути,Зламати від внутрішнього тиску.,needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0160,calculation,n.,розрахунок,Акт або процес обчислення.,needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0161,canvas,n.,полотно,"Тип грубої тканини, витканої з конопель, використовується для виготовлення вітрил і наметів або як поверхня для картин.",needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0162,capability,n.,здатність,Сила або здатність генерувати результат.,needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0163,capitalism,n.,капіталізм,"Економічна система, заснована на приватній власності на засоби виробництва та їх експлуатації з метою отримання прибутку.",needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0165,cargo,n.,вантаж,"Вантаж, що перевозиться кораблем, літаком або автомобілем.",needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0168,casino,n.,казино,Громадська будівля або зал для азартних ігор.,needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0170,catalogue,n.,каталог,"Повний (як правило, алфавітний або хронологічний) список елементів.",needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0172,cattle,n.,худоба,"Домашня тварина виду Bos taurus (корови, бики, бички, воли тощо) та інші копитні ссавці роду Bos.",needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0173,caution,n.,обережність,"Розсудливість, коли ви стикаєтеся з небезпекою або очікуєте зіткнутися з небезпекою; обережність, щоб уникнути ризику чи шкоди.",P2,learner-register,"The second-person, repetitive danger phrasing is serviceable but clumsy for a concise dictionary gloss.",medium,Codex seed-20260914 blinded acceptance challenge,,
SB-0176,cemetery,n.,кладовище,"Місце, де ховають померлих; цвинтар або меморіальний парк.",needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0178,chaos,n.,хаос,Будь-який стан розладу; плутана або аморфна суміш або конгломерат.,needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0179,characterize,v.,характеризувати,Бути типовим для.,needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0180,charm,n.,чарівність,"Здатність переконувати, радувати або викликати захоплення.",needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0181,charter,n.,статут,"Документ, виданий певною владою, що створює державну чи приватну установу та визначає її цілі та привілеї.",needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0182,chronic,adj.,хронічний,"Про проблему, яка триває протягом тривалого періоду часу.",needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
