id,word,pos,ua,definitionUa,semantic_fidelity,idiomatic_ukrainian,grammar_morphology_syntax_punctuation_word_order,pos_alignment,learner_register,russianism_surzhyk_calque_risk,ua_definition_consistency,pedagogical_accuracy,ui_formatting_integrity,pass_a_disposition,category,confidence,rationale,proposed_target,proposed_value
SB-1381,commission,word family,комісія,"Комісія, яку стягує агент або брокер за здійснення операції.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1382,community,word family,громада,"Група, що має спільні характеристики, такі як одна мова, закон, релігія чи традиція.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1384,computer,word family,комп'ютер,"Програмований електронний пристрій, який виконує математичні обчислення та логічні операції, особливо той, який може дуже швидко обробляти, зберігати та отримувати великі обсяги даних;",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,DEFECT,P2,ui-formatting,medium,The definition ends with a semicolon instead of terminal punctuation.,definitionUa,"Програмований електронний пристрій, що обробляє, зберігає й відтворює дані та виконує обчислення."
SB-1385,conclusion,word family,висновок,"Кінець, завершення, закриття або остання частина чогось.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1388,construction,word family,будівництво,Процес конструювання.,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1391,cultural,word family,культурний,Що стосується культури.,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1392,design,word family,дизайн,"План (з більшою чи меншою кількістю деталей) структури та функцій артефакту, будівлі чи системи.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1394,evaluation,word family,оцінка,"Оцінка, як-от щорічна перевірка продуктивності персоналу, яка використовується як основа для підвищення зарплати чи премії, або короткий опис конкретної ситуації.",DEFECT,PASS,PASS,PASS,PASS,PASS,PASS,DEFECT,PASS,P1,semantic-fidelity,high,The definition incorrectly includes a brief description as an evaluation and mixes unlike senses.,definitionUa,"Систематичне визначення якості, ефективності або цінності когось чи чогось."
SB-1397,focus,word family,фокус,Концентрація уваги.,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1399,injury,word family,травма,Пошкодження тіла живої істоти.,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1400,institute,word family,інститут,"Організація, заснована для просування справи",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,DEFECT,P2,ui-formatting,medium,The definition is missing terminal punctuation.,definitionUa,"Організація, заснована для розвитку певної галузі, науки або суспільної справи."
SB-1401,investment,word family,інвестиції,Розміщення капіталу в очікуванні отримання доходу чи прибутку від його використання чи підвищення вартості.,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1403,journal,word family,журнал,Періодичне видання з академічними чи професійними статтями; також особистий щоденник.,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1405,obtained,word family,отримано,"Отриманий, здобутий або набутий певним способом.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1410,previous,word family,попередній,"попередній; що відбувається перед чимось іншим, у часі чи порядку.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,DEFECT,DEFECT,P2,ui-formatting,medium,The definition starts lowercase and repeats the headword.,definitionUa,"Такий, що відбувається або розташований раніше в часі чи порядку."
SB-1411,primary,word family,первинний,Перший або найраніший у групі чи серії.,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1414,region,word family,область,"Будь-яка значна і зв'язана частина простору або поверхні; зокрема, ділянка землі чи моря значної, але невизначеної протяжності; країна; район;",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,DEFECT,P2,ui-formatting,medium,The definition ends with a semicolon instead of terminal punctuation.,definitionUa,"Значна безперервна частина території, простору або поверхні."
SB-1415,regulations,word family,нормативні акти,"Закон або адміністративне правило, видане організацією, яке використовується для керівництва чи приписування поведінки членів цієї організації.",PASS,PASS,DEFECT,PASS,PASS,PASS,DEFECT,PASS,PASS,P1,number-agreement,high,Plural regulations is defined as one law or rule.,definitionUa,"Офіційні правила або нормативні акти, що визначають чи обмежують поведінку."
SB-1418,resources,word family,ресурси,"Щось, що використовується для досягнення мети, напр. сировини або персоналу.",PASS,DEFECT,DEFECT,PASS,PASS,PASS,PASS,PASS,PASS,P2,grammar-syntax,medium,The example after «напр.» uses incorrect genitive and lacks clean punctuation.,definitionUa,"Засоби, матеріали або люди, які використовують для досягнення мети, наприклад сировина чи персонал."
SB-1422,select,word family,вибрати,"Вибрати один або кілька елементів набору, особливо набору опцій.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1424,strategies,word family,стратегії,"План дій, спрямований на досягнення конкретної мети.",PASS,PASS,DEFECT,PASS,PASS,PASS,DEFECT,PASS,PASS,P1,number-agreement,high,Plural strategies is defined as a single plan.,definitionUa,"Плани дій, спрямовані на досягнення конкретних цілей."
SB-1430,circumstances,word family,обставини,"Умови та факти, які впливають на ситуацію або подію.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1431,comments,word family,коментарі,Усне або письмове зауваження.,PASS,PASS,DEFECT,PASS,PASS,PASS,DEFECT,PASS,PASS,P1,number-agreement,high,Plural comments is defined as one remark.,definitionUa,Усні або письмові зауваження чи пояснення.
SB-1432,components,word family,компоненти,"Менша самодостатня частина більшої сутності. Часто стосується виготовленого об’єкта, який є частиною більшого пристрою.",PASS,PASS,DEFECT,PASS,PASS,PASS,DEFECT,PASS,PASS,P1,number-agreement,high,Plural components is defined as one smaller part.,definitionUa,"Окремі частини, з яких складається більша система або предмет."
SB-1434,constant,word family,постійний,Незмінний у часі чи просторі; постійний.,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1436,contribution,word family,внесок,"Щось дане або запропоноване, що додає до більшого цілого.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1438,core,word family,ядро,У загальному вживанні суттєва частина речі в оточенні інших істотних речей.,DEFECT,DEFECT,PASS,PASS,PASS,PASS,PASS,DEFECT,PASS,P1,semantic-fidelity,high,«В оточенні інших істотних речей» is nonsensical and does not explain core.,definitionUa,Центральна або найважливіша частина чогось.
SB-1439,corporate,word family,корпоративний,Що стосується корпорації.,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1442,demonstrate,word family,продемонструвати,"Показувати, демонструвати або представляти; довести або зробити очевидним",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,DEFECT,P2,ui-formatting,medium,The definition is missing terminal punctuation.,definitionUa,"Показувати, представляти або доводити щось так, щоб воно стало очевидним."
SB-1443,document,word family,документ,"Оригінал або офіційний документ, який використовується як основа, доказ або підтримка будь-чого іншого, включаючи будь-який письмовий документ, книгу чи інший документ, що передає інформацію, що має відношення до такого до...",DEFECT,DEFECT,PASS,PASS,PASS,DEFECT,PASS,DEFECT,DEFECT,P1,ui-truncation,high,The learner-facing document definition is physically truncated at 225 characters and also contains «має відношення».,definitionUa,"Письмовий або цифровий матеріал, що містить інформацію чи слугує офіційним записом або доказом."
SB-1445,emphasis,word family,наголос,"Особлива вага чи сила, що надається чомусь, що вважається важливим.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1450,illustrated,word family,ілюстрований,Містить ілюстрації.,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1451,immigration,word family,імміграція,"Акт імміграції; переїзд або в'їзд до країни, у якій людина не народилася, з метою постійного проживання.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1452,implies,word family,передбачає,Пропонується без прямого вказівки; причетні або натякані.,PASS,PASS,DEFECT,DEFECT,PASS,PASS,DEFECT,PASS,PASS,P1,voice-alignment,high,Active headword implies and ua «передбачає» are paired with passive/plural fragments «Пропонується ... причетні».,definitionUa,"Непрямо вказує на щось, не висловлюючи цього прямо."
SB-1455,interaction,word family,взаємодія,Розмова або обмін між людьми.,DEFECT,PASS,PASS,PASS,PASS,PASS,PASS,DEFECT,PASS,P2,sense-coverage,medium,The definition limits interaction to conversation or exchange between people.,definitionUa,"Взаємний вплив або обмін між людьми, об’єктами чи системами."
SB-1456,layer,word family,шар,"Одна товщина якогось матеріалу, що покриває поверхню.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1457,link,word family,посилання,"Зв’язок між місцями, людьми, подіями, речами чи ідеями.",DEFECT,PASS,PASS,PASS,PASS,PASS,DEFECT,DEFECT,PASS,P1,ua-definition-consistency,high,"ua «посилання» suggests a hyperlink or reference, while the definition gives a general connection.",ua+definitionUa,"ua: зв’язок; посилання | definitionUa: Відношення між людьми, подіями, речами чи ідеями; також гіперпосилання."
SB-1458,location,word family,розташування,Конкретна точка або місце у фізичному просторі.,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1459,maximum,word family,максимум,Найвища межа.,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1461,negative,word family,негативний,Не позитивний або нейтральний; поганий; небажаний; несприятливий.,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1462,outcomes,word family,результати,"Те, що виробляється або відбувається в результаті події чи процесу.",PASS,PASS,DEFECT,PASS,PASS,PASS,DEFECT,PASS,PASS,P1,number-agreement,high,"Plural outcomes is defined with singular «Те, що».",definitionUa,"Результати, що виникають унаслідок подій або процесів."
SB-1463,partnership,word family,партнерство,Об’єднання двох або більше осіб для ведення бізнесу.,DEFECT,PASS,PASS,PASS,PASS,PASS,PASS,DEFECT,PASS,P2,sense-coverage,medium,"The definition restricts partnership to conducting a business, omitting other formal cooperation.",definitionUa,Об’єднання двох або більше сторін для спільної діяльності чи мети.
SB-1465,physical,word family,фізичний,"Відноситься до світу, як його розуміють почуттями, а не розумом; матеріальний, конкретний; справжній. Має відношення до матеріального світу.",PASS,DEFECT,PASS,PASS,PASS,DEFECT,PASS,DEFECT,PASS,P1,calque-russianism,high,The definition twice uses Russian-influenced «відноситься/має відношення».,definitionUa,Пов’язаний із матеріальним світом або тілом; відчутний і конкретний.
SB-1466,proportion,word family,пропорція,"Кількість чогось, що є частиною цілої суми або числа.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1468,reaction,word family,реакція,Дія або твердження у відповідь на стимул або іншу подію.,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1469,registered,word family,зареєстрований,Внесення свого імені до офіційного списку або внесення до реєстру.,PASS,PASS,DEFECT,DEFECT,PASS,PASS,DEFECT,PASS,PASS,P1,pos-alignment,high,"Registered is an adjective/past participle, but the definition names the act of entering a name.",ua+definitionUa,ua: зареєстрований | definitionUa: Офіційно внесений до реєстру або списку.
SB-1472,scheme,word family,схема,Систематичний план майбутніх дій.,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1473,sequence,word family,послідовність,Набір речей поруч один з одним у встановленому порядку; серія.,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1476,specified,word family,зазначено,Ретельно пояснено.,PASS,PASS,DEFECT,DEFECT,PASS,PASS,DEFECT,PASS,PASS,P2,pos-alignment,medium,ua impersonal «зазначено» does not align cleanly with specified.,ua+definitionUa,"ua: зазначений; визначений | definitionUa: Чітко названий, визначений або докладно пояснений."
SB-1477,sufficient,word family,достатній,"Достатнього типу або виду, який задовольняє вимоги чи потреби.",PASS,DEFECT,PASS,PASS,PASS,PASS,PASS,DEFECT,PASS,P2,pedagogical-definition,medium,«Достатнього типу або виду» is circular and unnatural.,definitionUa,"Такий, якого досить для задоволення вимог або потреб."
SB-1478,task,word family,завдання,"Частина роботи, яка виконується як частина обов’язків.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1479,technical,word family,технічний,Технології або пов’язані з ними.,PASS,PASS,DEFECT,DEFECT,PASS,PASS,PASS,PASS,PASS,P1,grammar-syntax,high,«Технології або пов’язані з ними» combines a noun with a plural adjective and does not define technical.,definitionUa,"Пов’язаний із технікою, технологією або спеціальними практичними знаннями."
SB-1480,techniques,word family,техніки,"Спосіб досягнення чогось або здійснення чогось, особливо такий, що вимагає певних навичок або знань.",PASS,PASS,DEFECT,PASS,PASS,PASS,DEFECT,PASS,PASS,P1,number-agreement,high,Plural techniques is defined as one method.,definitionUa,"Практичні способи виконання дії, особливо ті, що потребують навичок."
SB-1481,technology,word family,технології,"Будь-які корисні навички чи механізми, які люди розробили чи винайшли (зокрема, у донаукові епохи).",PASS,PASS,DEFECT,PASS,PASS,PASS,DEFECT,PASS,PASS,P2,number-agreement,medium,Singular technology is paired with plural ua «технології».,ua,технологія
SB-1482,volume,word family,обсяг,"Тривимірна міра простору, яка складається з довжини, ширини та висоти. Він вимірюється в одиницях кубічних сантиметрів у метричних, кубічних дюймах або кубічних футах в англійській мові.",DEFECT,PASS,DEFECT,PASS,PASS,PASS,PASS,DEFECT,PASS,P1,grammar-syntax,high,The unit sentence confuses metric/imperial systems with languages and is grammatically malformed.,definitionUa,"Кількість тривимірного простору, яку займає тіло; вимірюється в кубічних одиницях."
SB-1484,adequate,word family,адекватний,Дорівнює або виконує певну вимогу.,PASS,DEFECT,PASS,PASS,PASS,DEFECT,PASS,DEFECT,PASS,P1,calque-russianism,high,«Виконує певну вимогу» is a literal calque; Ukrainian uses «відповідає вимозі».,definitionUa,"Достатній для певної мети або такий, що відповідає вимогам."
SB-1485,annual,word family,річний,Відбувається раз на рік.,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1487,approximated,word family,наближений,Розраховується наближено,PASS,PASS,DEFECT,DEFECT,PASS,PASS,PASS,PASS,DEFECT,P2,ui-formatting,medium,Present reflexive «Розраховується» does not align well with approximated and the definition lacks a period.,definitionUa,"Оцінений або розрахований наближено, а не точно."
SB-1491,code,word family,код,"Інструкція до комп'ютера, написана мовою програмування; вхідні дані транслятора, інтерпретатора або браузера, а саме: вихідний код, машинний код, байт-код.",DEFECT,PASS,PASS,PASS,PASS,PASS,PASS,DEFECT,PASS,P2,pedagogical-definition,medium,The definition treats code as one instruction and oddly lists a browser as a translator.,definitionUa,"Набір інструкцій, написаних мовою програмування для виконання комп’ютером."
SB-1493,communication,word family,спілкування,Концепція або стан обміну даними чи інформацією між об’єктами.,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1494,concentration,word family,концентрація,"Дія, процес або здатність концентрації; процес зосередження або стан зосередженості.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1496,contrast,word family,контраст,"Різниця між двома об’єктами, людьми чи поняттями.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1497,cycle,word family,цикл,"Процес, який повертається до свого початку, а потім повторюється в тій же послідовності.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1498,debate,word family,дебати,"Аргумент або дискусія, як правило, в упорядкованій або офіційній обстановці, часто за участю більше двох осіб, яка зазвичай закінчується голосуванням або іншим рішенням.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1500,dimensions,word family,розміри,Вимірювані характеристики розміру; також окремі аспекти складного питання.,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1502,emerged,word family,виник,Прийти в поле зору.,PASS,PASS,DEFECT,DEFECT,PASS,PASS,DEFECT,PASS,PASS,P2,tense-alignment,medium,Past headword emerged is defined with present infinitive «Прийти».,definitionUa,"З’явився, виник або став помітним."
SB-1503,error,word family,помилка,"помилка; випадкова неправильна дія або неправдива заява, зроблена не навмисно.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,DEFECT,DEFECT,P2,ui-formatting,medium,The definition starts lowercase and redundantly repeats «помилка».,definitionUa,"Ненавмисна неправильна дія, обчислення або неправдиве твердження."
SB-1507,hence,word family,отже,"В результаті; отже, з цієї причини.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1508,hypothesis,word family,гіпотеза,"Попереднє припущення, що пояснює спостереження, явище чи наукову проблему, яке можна перевірити шляхом подальших спостережень, досліджень або експериментів.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1509,implications,word family,наслідки,Можливий або непрямий ефект або результат рішення чи дії.,PASS,PASS,DEFECT,PASS,PASS,PASS,DEFECT,PASS,PASS,P1,number-agreement,high,Plural implications is defined as one possible effect.,definitionUa,"Можливі або непрямі наслідки рішення, дії чи твердження."
SB-1510,imposed,word family,нав'язаний,викладено авторитетно як обов'язкові,PASS,PASS,DEFECT,DEFECT,PASS,PASS,PASS,PASS,DEFECT,P1,grammar-syntax,high,Lowercase plural «обов’язкові» has no agreeing noun and does not define imposed.,definitionUa,Нав’язаний або установлений владою як обов’язковий.
SB-1511,internal,word family,внутрішній,З або розташована всередині.,PASS,PASS,DEFECT,DEFECT,PASS,PASS,PASS,PASS,PASS,P1,grammar-syntax,high,«З або розташована всередині» is a fragment with feminine agreement against masculine internal.,definitionUa,Розташований усередині або пов’язаний із внутрішньою частиною.
SB-1513,job,word family,робота,завдання.,PASS,PASS,PASS,PASS,PASS,PASS,PASS,DEFECT,DEFECT,P2,ui-formatting,medium,The definition starts lowercase and reduces job to an unexplained one-word synonym.,definitionUa,Оплачувана робота або конкретне завдання чи обов’язок.
SB-1515,mechanism,word family,механізм,"Будь-який механічний засіб для перетворення або керування рухом, або передачі чи керування потужністю.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1516,obvious,word family,очевидний,"Легко відкрити, побачити або зрозуміти; зрозумілий сам за себе.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1518,option,word family,варіант,"Один із набору варіантів, які можна зробити.",DEFECT,DEFECT,PASS,PASS,PASS,PASS,PASS,DEFECT,PASS,P1,semantic-fidelity,high,"«Варіант із набору варіантів, які можна зробити» is circular and uses the wrong collocation.",definitionUa,"Одна з можливостей, яку можна вибрати."
SB-1520,overall,word family,в цілому,Загалом; з урахуванням усього.,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
