ID,Phase,Requirement,Status,Evidence,Test,Notes
REQ-012A,2,"1,784 / 1,784 source records accounted for",Passed,web/vocabulary.js; docs/vocabulary_migration_manifest.json,tests/g2_vocabulary_validation.py; tests/ui_vocabulary_static.py,1784 / 1784 records reconciled from uploaded workbook.
REQ-014A,1,Six mastery levels implemented in state model,Passed,web/app.js; schemas/learner_state.schema.json,mastery constant check,
REQ-033A,1,Error records support required fields,Passed,web/app.js; schemas/learner_state.schema.json,error save smoke test,
REQ-034A,1,Global Review Today shell,Passed,web/app.js,review queue render smoke test,
REQ-035A,1,Time presets 10/20/30/45/60/90,Passed,web/app.js,preset list check,
REQ-036A,1,Recommendations include visible reason,Passed,web/app.js,reason render check,
REQ-041A,1,Global search shell across supported data types,Passed,web/app.js,search smoke test,
REQ-045A,0,Stable IDs retained in requirements ledger,Passed,docs/requirements_ledger.csv,unique ID validation,
REQ-048A,1,Permanent regression checklist established,Passed,docs/regression_checklist.md,manual checklist inspection,
REQ-049A,0,Risk register created,Passed,docs/risk_register.csv,artifact existence,
REQ-050A,1,Responsive shell and design tokens built,Passed,web/styles.css,static + Playwright checks,
REQ-015A,3,"Reading foundation instruction covers structure, skimming, scanning, paraphrase recognition, reference words, vocabulary from context, evidence location and inference",Passed,web/reading_data.js,tests/g3_reading_validation.py,8 / 8 foundation modules
REQ-015B,3,All major Academic Reading question families represented,Passed,web/reading_data.js,tests/g3_reading_validation.py,15 families including flow-chart completion and dedicated inference/author position
REQ-015C,3,Original Reading passage/extract benchmark,Passed,docs/reading_inventory.json,tests/g3_reading_validation.py,60 original texts ≥ 50
REQ-015D,3,Reading scored-question benchmark,Passed,docs/reading_inventory.json,tests/g3_reading_validation.py,240 questions ≥ 200
REQ-015E,3,Every scored Reading question has verified answer reasoning,Passed,web/reading_data.js,tests/g3_reading_validation.py,100% explanation coverage; distractor reasoning for select questions
REQ-015F,3,"Reading progression implements Learn, See, Think, Guided, Independent, Challenge, Timed, Review, Error Diagnosis, Mastery Check",Passed,web/app.js; web/reading_data.js,tests/g3_reading_functional.py,Family module UI and four evidence modes plus explicit challenge/review/error workflow
REQ-015G,3,Reading timed mode records elapsed/within-limit evidence,Passed,web/app.js,tests/g3_reading_functional.py,Timed and mastery sets persist timing evidence
REQ-015H,3,Reading mastery updates from demonstrated performance rather than opening content,Passed,web/app.js,tests/g3_reading_functional.py,L2/L3/L4 thresholds browser-tested; L5 requires spaced dates
REQ-015I,3,Reading wrong answers feed error log and review queue,Passed,web/app.js,tests/g3_reading_functional.py,"Automatic category, explanation, correction and review item"
REQ-016A,3,Reading mobile readability validated across required widths,Passed,web/styles.css,tests/g3_reading_responsive.py,320/375/430/768/1024/1440 pass
REQ-016B,3,Reading accessibility primitives validated,Passed,web/index.html; web/app.js; web/styles.css,tests/g3_reading_accessibility.py,"Semantic article/form, labelled controls, focus rules, UA support"
REQ-016C,3,Reading content is original and self-contained,Passed,web/reading_data.js,tests/g3_reading_validation.py,No external context required; originality flag on all passages/questions
REQ-016D,3,Reading regression preserves previous platform and vocabulary functions,Passed,full build,tests/responsive_check.py; tests/g2_vocabulary_validation.py; tests/ui_vocabulary_static.py; scripts/validate_build.py,G0-G2 regression pass after G3 integration
REQ-017A,4,All seven Writing Task 1 visual families represented with full instructional depth,Passed,scripts/build_writing1_curriculum.py; web/writing1_data.js,tests/g4_writing1_validation.py; tests/g4_writing1_content_qa.py,"7 visual families, each with what it tests, how IELTS constructs it, a 6-step strategy, a named trap, 3-4 common errors, a worked example, a language bank, a tense rule and a UA transfer note."
REQ-017B,4,Task 1 micro-exercise benchmark (>=60),Passed,scripts/build_writing1_curriculum.py; web/writing1_data.js,tests/g4_writing1_validation.py; tests/g4_writing1_content_qa.py,70 micro-exercises against a benchmark of 60.
REQ-017C,4,Task 1 full timed prompt benchmark (>=20),Passed,scripts/build_writing1_curriculum.py; web/writing1_data.js,tests/g4_writing1_validation.py; tests/g4_writing1_content_qa.py,21 full timed prompts against a benchmark of 20; 3 per family.
REQ-017D,4,Key-feature identification and overview construction training,Passed,scripts/build_writing1_curriculum.py; web/writing1_data.js,tests/g4_writing1_validation.py; tests/g4_writing1_content_qa.py,"feature_selection and overview_selection exercises in every family, plus foundation module W1F-02."
REQ-017E,4,"Data language precision: trend, quantity, proportion, approximation and tense",Passed,scripts/build_writing1_curriculum.py; web/writing1_data.js,tests/g4_writing1_validation.py; tests/g4_writing1_content_qa.py,"trend_language and data_to_sentence exercises in every family, plus foundation module W1F-03; percentage-points vs per-cent enforced in content QA."
REQ-017F,4,Grouping and comparison rather than list-like description,Passed,scripts/build_writing1_curriculum.py; web/writing1_data.js,tests/g4_writing1_validation.py; tests/g4_writing1_content_qa.py,grouping and comparison_building exercises in every family; list-like description is a tracked error category.
REQ-017G,4,Planning then timed drafting then self-review flow,Passed,web/app.js; web/styles.css; web/index.html; web/writing1_data.js,tests/g4_writing1_functional.py,"Plan then timed draft then self-review flow implemented; stepper, plan autosave, 20-minute timer, word count, 13-item checklist and annotated model comparison browser-tested."
REQ-017H,4,"Task 1 progression modes guided, independent, timed and mastery in every family",Passed,scripts/build_writing1_curriculum.py; web/writing1_data.js,tests/g4_writing1_validation.py; tests/g4_writing1_content_qa.py,guided/independent/timed/mastery all present in every family; asserted as set equality.
REQ-017I,4,Ukrainian-speaker transfer support for articles prepositions and agreement,Passed,scripts/build_writing1_curriculum.py; web/writing1_data.js,tests/g4_writing1_validation.py; tests/g4_writing1_content_qa.py,"article_preposition_transfer category, per-family uaTransferNote, and a UA support note on every one of the 70 exercises; Cyrillic presence asserted."
REQ-018A,4,All ten micro-exercise types represented in every visual family,Passed,scripts/build_writing1_curriculum.py; web/writing1_data.js,tests/g4_writing1_validation.py; tests/g4_writing1_content_qa.py,"All 10 micro-exercise types present in all 7 families; asserted as set equality, not a count."
REQ-018B,4,Every scored Task 1 item carries explanation error category and wrong-option reasoning,Passed,scripts/build_writing1_curriculum.py; web/writing1_data.js,tests/g4_writing1_validation.py; tests/g4_writing1_content_qa.py,Every item carries an explanation and a taxonomy error category; every wrong option of every select item carries its own reasoning.
REQ-018C,4,Task 1 answers and model responses grounded in the item's own visual data,Passed,scripts/build_writing1_curriculum.py; web/writing1_data.js,tests/g4_writing1_claims.py; tests/g4_writing1_content_qa.py,Canonical claim manifest: every figure in every scored item traces to a declared derivation from its own dataset. Column totals and pairwise sums require explicit authorisation. 529 text blocks checked; validator proven against 8 seeded defects.
REQ-019A,4,Task 1 self-review checklist labelled as training guidance not official scoring,Passed,scripts/build_writing1_curriculum.py; web/writing1_data.js,tests/g4_writing1_validation.py; tests/g4_writing1_content_qa.py,"13-item self-review checklist per prompt, mapped to IELTS criteria; scoringNote disclaimer asserted on every prompt and meta; text grepped for band claims."
REQ-020A,4,Task 1 visuals and datasets are original to the product,Passed,scripts/build_writing1_curriculum.py; web/writing1_data.js,tests/g4_writing1_validation.py; tests/g4_writing1_content_qa.py,"All 21 visuals and datasets original to the product; originality flag asserted on every visual, exercise and prompt."
REQ-020B,4,Task 1 mastery advances only on demonstrated performance,Passed,web/app.js; web/styles.css; web/index.html; web/writing1_data.js,tests/g4_writing1_functional.py,"D-015 thresholds enforced in w1UpdateMastery. Test asserts opening a lesson grants nothing, and that finishing the timed exercises alone stays at L3 until a timed full response is submitted."
REQ-020C,4,Task 1 errors feed the shared error log and review queue,Passed,web/app.js; web/styles.css; web/index.html; web/writing1_data.js,tests/g4_writing1_functional.py,Wrong answers create an error record with all required fields and a review item; an over-limit submission logs a timing_failure; unticked checklist items are queued.
REQ-020D,4,Task 1 autosave and persistence across reload,Passed,web/app.js; web/styles.css; web/index.html; web/writing1_data.js,tests/g4_writing1_functional.py,"Plan and draft autosave on input; results, submissions, drafts, checklists and mastery all survive rehydration from the serialised store."
REQ-020E,4,Task 1 responsive visual rendering validated at six widths,Passed,web/app.js; web/styles.css; web/index.html; web/writing1_data.js,tests/g4_writing1_responsive.py,"All 7 families opened at 320/375/430/768/1024/1440: no horizontal overflow, no collapsed visual, no data label under 9px, no content spilling its panel without a scroll container, no answer control under 40px."
REQ-020F,4,Task 1 accessibility includes text equivalents for every visual,Passed,web/app.js; web/styles.css; web/index.html; web/writing1_data.js,tests/g4_writing1_accessibility.py,Every visual is a labelled section with a text equivalent over 80 characters; every SVG has role=img and a name; every chart also ships a data table; map statuses carry text badges; all controls labelled; feedback not colour-only.
REQ-020G,4,G0-G3 regression preserved after G4 integration,Passed,full build,scripts/validate_build.py; tests/g2_vocabulary_validation.py; tests/g3_reading_validation.py; tests/g3_reading_functional.py; tests/g3_reading_responsive.py; tests/g3_reading_accessibility.py; tests/responsive_check.py; tests/accessibility_static.py; tests/ui_vocabulary_static.py,G0-G3 regression re-run and passing after the G4 UI was integrated.
REQ-048B,4,Browser-driven validation scripts resolve a Chromium binary on any supported OS,Passed,tests/browser_env.py,tests/responsive_check.py; tests/g3_reading_responsive.py; tests/g3_reading_functional.py; tests/g3_reading_accessibility.py,Defect D4-001: scripts hard-coded /usr/bin/chromium and could not launch off Linux. Resolver added; all four browser checks now pass.
