id,word,pos,ua,definitionUa,pass_a_disposition,pass_a_rationale,pass_b_disposition,pass_b_rationale,evidence_quote,final_disposition,confidence,category,rationale,proposed_target,proposed_value
SB-1457,link,word family,посилання,"Зв’язок між місцями, людьми, подіями, речами чи ідеями.",P1,"ua «посилання» suggests a hyperlink or reference, while the definition gives a general connection.",clean-candidate,"link → «посилання»; definition (a connection between places, people, events, things or ideas) covers the general 'link' sense; noun POS matches.",посилання,P1,medium,ua-definition-consistency,"the gloss «посилання» reads as hyperlink/reference in contemporary Ukrainian, inconsistent with the general-connection definition; Pass A's ua↔definition mismatch is confirmed.",both,"ua: зв’язок; посилання | definitionUa: Відношення між людьми, подіями, речами чи ідеями; також гіперпосилання."
SB-0748,meantime,n.,тим часом,"Час, витрачений на очікування іншої події; час між ними.",P1,"The noun meantime is paired with the adverbial phrase «тим часом», causing a POS mismatch.",clean-candidate,meantime → «тим часом»; definition (the time spent waiting for another event; the time in between) is accurate; noun POS matches.,тим часом,P1,medium,pos-alignment,"the noun meantime is glossed with the adverbial «тим часом» ('meanwhile'), a POS mismatch that mistrains usage; Pass A's defect holds over Pass B's clean.",both,ua: проміжний час | definitionUa: Період між двома подіями або до настання очікуваної події.
SB-1424,strategies,word family,стратегії,"План дій, спрямований на досягнення конкретної мети.",P1,Plural strategies is defined as a single plan.,clean-candidate,strategies → «стратегії»; definition (a plan of action aimed at achieving a specific goal) is accurate; plural noun POS matches.,План дій,P2,medium,number-agreement,"plural strategies is defined by the singular «План дій» — a number mismatch, minor and comprehensible, so P2 (Pass A graded P1).",definitionUa,"Плани дій, спрямовані на досягнення конкретних цілей."
SB-1166,surgical,adj.,хірургічний,"Відносно, використовується під час хірургічного втручання або є результатом операції.",P1,«Відносно» is Russian-influenced and the following verb forms do not agree with the adjective.,clean-candidate,surgical → «хірургічний»; definition (relating to or used during surgery) is accurate; adjective POS matches.,"Відносно, використовується",P2,medium,calque-russianism,"«Відносно,» is a Russian-influenced opener and the following verb forms fit awkwardly; understandable, so P2 (Pass A graded P1).",definitionUa,"Пов’язаний із хірургією, використовуваний під час операції або спричинений нею."
SB-0088,assault,"n., v.",напад,"Нападати, фізично чи фігурально; атакувати.",P1,"The source has noun and verb uses, but ua is noun-only while the definition is verb-only.",clean-candidate,"assault → «напад»; definition (to attack, physically or figuratively) covers the n.,v. senses; POS tag matches.",Нападати,P1,high,pos-alignment,"assault is tagged n.,v. but ua «напад» is noun-only while the definition «Нападати… атакувати» is verb-only — an internal POS mismatch; Pass A's coverage defect is confirmed.",both,ua: напад; нападати | definitionUa: Фізична або словесна атака; також нападати на когось чи щось.
SB-0906,prestigious,adj.,престижний,Високого престижу.,P2,«Високого престижу» is a fragment and circularly repeats the headword.,clean-candidate,prestigious → «престижний»; definition (of high prestige) is accurate; adjective POS matches.,Високого престижу,P2,medium,pedagogical-definition,"«Високого престижу» is a fragment that circularly repeats the headword; thin but not misleading, so P2 (Pass A).",definitionUa,"Такий, що має високий статус і викликає повагу."
SB-0126,beneficiary,n.,бенефіціар,"Той, хто користується або отримує перевагу.",P2,«Отримує перевагу» is vague and less accurate than receiving a benefit or entitlement.,clean-candidate,beneficiary → «бенефіціар»; definition (one who benefits or receives an advantage) is accurate; noun POS matches.,отримує перевагу,P2,medium,pedagogical-definition,«користується або отримує перевагу» is vaguer than 'receives a benefit/entitlement'; a mild pedagogical imprecision (Pass A P2).,definitionUa,"Особа або організація, яка отримує вигоду, виплату чи інше право."
SB-0196,coalition,n.,коаліція,"Тимчасова група або спілка організацій, яка зазвичай створюється для певної переваги.",P2,«Для певної переваги» is vague and does not state the shared-purpose nature of a coalition.,clean-candidate,coalition → «коаліція»; definition (a temporary group or union of organisations formed for a specific advantage) is accurate; noun POS matches.,для певної переваги,P2,medium,pedagogical-definition,"«для певної переваги» understates the shared-purpose nature of a coalition; comprehensible, so a minor pedagogical P2 (Pass A).",definitionUa,"Тимчасовий союз організацій або груп, створений для досягнення спільної мети."
SB-1085,soak,v.,замочити,Насичуватися рідиною шляхом занурення в неї.,P1,"ua is transitive perfective, but the definition is reflexive/intransitive and covers only one soak construction.",clean-candidate,soak → «замочити»; definition (to become saturated with liquid by immersion) conveys the sense; verb POS matches.,Насичуватися рідиною,P2,medium,voice-alignment,"ua «замочити» is transitive/perfective but the definition «Насичуватися рідиною» is reflexive/intransitive, covering one construction; a real voice mismatch, minor, P2 (Pass A graded P1).",both,"ua: замочувати; просочуватися | definitionUa: Занурювати в рідину, щоб добре намочити; також насичуватися рідиною."
SB-1462,outcomes,word family,результати,"Те, що виробляється або відбувається в результаті події чи процесу.",P1,"Plural outcomes is defined with singular «Те, що».",clean-candidate,outcomes → «результати»; definition (what is produced or happens as a result of an event or process) is accurate; plural noun POS matches.,"Те, що виробляється",P2,medium,number-agreement,"plural outcomes is defined by singular «Те, що виробляється»; a number mismatch, minor, P2 (Pass A graded P1).",definitionUa,"Результати, що виникають унаслідок подій або процесів."
SB-0485,experimental,adj.,експериментальний,Відносно або засноване на експерименті.,P1,«Відносно» is a Russian-influenced calque and neuter «засноване» does not agree with the adjective.,clean-candidate,experimental → «експериментальний»; definition (relating to or based on experiment) is accurate; adjective POS matches.,засноване,P2,medium,calque-russianism,"«Відносно» calque plus neuter «засноване» not agreeing with the masculine adjective; understandable, so P2 (Pass A graded P1).",definitionUa,"Такий, що стосується експерименту або ґрунтується на ньому."
SB-0472,exaggerate,v.,перебільшувати,"Перебільшувати, описувати більше, ніж факт.",P2,"The definition is circular and «описувати більше, ніж факт» is not idiomatic Ukrainian.",clean-candidate,exaggerate → «перебільшувати»; definition (to overstate; to describe more than the fact) is accurate though near-circular; verb POS matches.,"описувати більше, ніж факт",P2,medium,pedagogical-definition,"the definition is near-circular and «описувати більше, ніж факт» is unidiomatic; conveys exaggerate, so P2 (Pass A).",definitionUa,"Представляти щось більшим, кращим, гіршим або важливішим, ніж воно є насправді."
SB-0162,capability,n.,здатність,Сила або здатність генерувати результат.,P2,«Генерувати результат» is an avoidable technical calque in a general learner definition.,clean-candidate,capability → «здатність»; definition (power or ability to produce a result) is accurate; noun POS matches.,генерувати результат,P2,medium,idiomatic-ukrainian,"«генерувати результат» is an avoidable technical calque in a general learner definition; minor, P2 (Pass A).",definitionUa,Здатність або можливість досягти певного результату.
SB-1709,reinforced,word family,посилений,Був або містить підкріплення.,P1,«Був або містить» mixes past and present and does not align with reinforced.,clean-candidate,reinforced → «посилений»; definition (was or contains reinforcement) conveys the sense despite terse phrasing; consistent gloss.,Був або містить підкріплення,P2,medium,tense-alignment,"«Був або містить» mixes past and present and is terse; conveys reinforced, so P2 (Pass A graded P1).",definitionUa,"Посилений додатковою опорою, матеріалом або аргументом."
SB-0129,biography,n.,біографія,"Історія життя людини, особливо опублікованої.",P1,«Особливо опублікованої» grammatically modifies the person rather than the account of the life.,clean-candidate,"biography → «біографія»; definition (the life story of a person, esp. published) is accurate; noun POS matches.",особливо опублікованої,P2,medium,grammar-syntax,"«особливо опублікованої» grammatically attaches to the person rather than the life-account; a mild misparse, comprehensible, P2 (Pass A graded P1).",definitionUa,"Опис життя людини, написаний іншою особою."
SB-0581,hint,"n., v.",підказка,Мати на увазі без прямого твердження; щоб надати підказку.,P1,"The source is noun and verb, but ua is noun-only; the definition also breaks its infinitive pattern.",clean-candidate,"hint → «підказка»; definition (to imply without direct statement; to give a clue) covers the n.,v. senses; POS tag matches.",Мати на увазі без прямого твердження,P1,high,pos-alignment,"hint is n.,v. but ua «підказка» is noun-only while the definition is verb-framed and breaks its own pattern — a POS coverage/consistency defect (Pass A) confirmed.",both,ua: натяк; натякати | definitionUa: Непряма підказка; також давати зрозуміти щось без прямого твердження.
SB-1633,chemical,word family,хімічний,З хімії або пов'язаної з нею.,P1,«З хімії або пов’язаної з нею» is a fragment with feminine agreement.,clean-candidate,chemical → «хімічний»; definition (of or related to chemistry) is accurate; adjective POS matches.,пов'язаної з нею,P2,medium,grammar-syntax,"«З хімії або пов’язаної з нею» is a feminine-agreeing fragment for the masculine adjective; understandable, so P2 (Pass A graded P1).",definitionUa,Пов’язаний із хімією або хімічними речовинами.
SB-1058,serial,adj.,серійний,Маючи відношення до або розташовані в ряд.,P1,"«Маючи відношення» is Russian-influenced, and plural «розташовані» disagrees with the adjective.",clean-candidate,serial → «серійний»; definition (relating to or arranged in a series/row) conveys the sense; adjective POS matches.,Маючи відношення,P2,medium,calque-russianism,"«Маючи відношення» is Russian-influenced and «розташовані» disagrees with the adjective; comprehensible, so P2 (Pass A graded P1).",definitionUa,"Розташований або такий, що відбувається послідовно, один за одним."
SB-0438,empirical,adj.,емпіричний,"Стосовно або засноване на досвіді, на відміну від теорії.",P2,Neuter «засноване» does not agree with the masculine adjective being defined.,clean-candidate,"empirical → «емпіричний»; definition (relating to or based on experience, as opposed to theory) is accurate; adjective POS matches.",на відміну від теорії,P2,medium,grammar-syntax,"neuter «засноване» does not agree with the masculine adjective; a minor agreement slip, P2 (Pass A).",definitionUa,"Такий, що ґрунтується на досвіді або спостереженні, а не лише на теорії."
SB-1065,sheer,adj.,чистий,прямо; повний; чистий.,P1,Lowercase adverbs and adjectives («прямо; повний; чистий») mix forms and fail to distinguish sheer senses.,clean-candidate,sheer → «чистий»; definition (utter; complete; pure) conveys the intensifier sense; adjective POS matches.,прямо; повний; чистий,P1,medium,pos-alignment,«прямо; повний; чистий» mixes adverb/adjective forms and the gloss «чистий» misses sheer's core 'utter/complete' and 'steep' senses; Pass A's POS/sense defect holds.,both,ua: цілковитий; прямовисний; прозорий | definitionUa: Повний або абсолютний; також дуже крутий чи тонкий і прозорий.
SB-1394,evaluation,word family,оцінка,"Оцінка, як-от щорічна перевірка продуктивності персоналу, яка використовується як основа для підвищення зарплати чи премії, або короткий опис конкретної ситуації.",P1,The definition incorrectly includes a brief description as an evaluation and mixes unlike senses.,clean-candidate,"evaluation → «оцінка»; definition (appraisal, e.g. annual staff review) is accurate; noun POS matches.",короткий опис конкретної ситуації,P2,medium,semantic-fidelity,"folding «короткий опис конкретної ситуації» into evaluation blurs unlike senses; the core appraisal sense is right, so P2 (Pass A graded P1).",definitionUa,"Систематичне визначення якості, ефективності або цінності когось чи чогось."
SB-1530,retained,word family,зберігається,"продовжується у вашому зберіганні, використанні чи пам’яті",P1,ua present impersonal «зберігається» and second-person «вашому» do not align with retained.,clean-candidate,"retained → «зберігається»; definition (continues in your keeping, use or memory) conveys the sense; lowercase/no-period trivial.",вашому зберіганні,P2,medium,pos-alignment,"ua impersonal «зберігається» plus second-person «вашому» misalign with the participle retained; comprehensible, so P2 (Pass A graded P1).",both,"ua: збережений | definitionUa: Утриманий, збережений або залишений для подальшого використання чи пам’яті."
SB-1715,theme,word family,тема,"Предмет, тепер особливо розмови чи художнього твору; тема.",P2,The definition repeats «тема» and gives little distinction.,clean-candidate,"theme → «тема»; definition (the subject, esp. of conversation or an artistic work) is accurate; noun POS matches.",художнього твору; тема,P2,medium,pedagogical-definition,"the definition repeats «тема» and adds little distinction; thin, P2 (Pass A).",definitionUa,"Головний предмет розмови, дослідження або художнього твору."
SB-0981,rehabilitation,n.,реабілітація,Процес реабілітації когось або чогось.,P2,The definition merely repeats rehabilitation and adds no learner-usable meaning.,clean-candidate,rehabilitation → «реабілітація»; definition restates the cognate ('process of rehabilitating') — thin but not misleading for a direct cognate.,Процес реабілітації,P2,high,pedagogical-definition,"«Процес реабілітації когось або чогось» is fully circular on the cognate; not misleading, so P2 (Pass A).",definitionUa,"Процес відновлення здоров’я, здібностей, репутації або належного стану."
SB-1352,method,word family,метод,"Процес, за допомогою якого виконується завдання; спосіб виконання чогось (з наступним додаванням, до або для мети процесу).",P1,"The parenthetical «з наступним додаванням, до або для мети процесу» is unintelligible.",clean-candidate,method → «метод»; definition (a process by which a task is performed; a way of doing something) is accurate; noun POS matches.,"з наступним додаванням, до або для мети процесу",P1,high,grammar-syntax,"the parenthetical «з наступним додаванням, до або для мети процесу» is unintelligible learner-facing text; Pass A's broken-syntax defect is confirmed.",definitionUa,Упорядкований спосіб або процедура виконання завдання.
SB-0754,memorial,n.,меморіал,"Щось, наприклад пам'ятник, яким хтось або щось згадується.",P2,«Яким хтось або щось згадується» is a literal and unidiomatic passive construction.,clean-candidate,"memorial → «меморіал»; definition (something, e.g. a monument, by which someone or something is remembered) is accurate; noun POS matches.",яким хтось або щось згадується,P2,medium,calque-russianism,"«яким хтось або щось згадується» is a literal, unidiomatic passive; conveys memorial, so P2 (Pass A).",definitionUa,"Об’єкт або споруда, створені на пам’ять про людину чи подію."
SB-1340,financial,word family,фінансовий,Пов'язані з фінансами.,P1,Plural «Пов’язані» does not agree with singular фінансовий.,clean-candidate,financial → «фінансовий»; definition (relating to finance) is accurate; adjective POS matches; plural agreement in the gloss-def is trivial.,Пов'язані з фінансами,P2,medium,number-agreement,"plural «Пов’язані» does not agree with the singular фінансовий; a minor agreement slip, P2 (Pass A graded P1).",definitionUa,"Пов’язаний із фінансами, грошима або управлінням коштами."
SB-1442,demonstrate,word family,продемонструвати,"Показувати, демонструвати або представляти; довести або зробити очевидним",P2,The definition is missing terminal punctuation.,clean-candidate,"demonstrate → «продемонструвати»; definition (to show, present, or make evident; to prove) is accurate; verb POS matches.",зробити очевидним,P2,high,ui-formatting,content is correct; only the terminal period is missing — cosmetic P2 (Pass A).,definitionUa,"Показувати, представляти або доводити щось так, щоб воно стало очевидним."
SB-1152,suicide,n.,самогубство,Акт навмисного самогубства.,P2,«Акт навмисного самогубства» is fully circular.,clean-candidate,suicide → «самогубство»; definition (the act of intentionally killing oneself) is accurate; noun POS matches.,Акт навмисного самогубства,P2,high,pedagogical-definition,"«Акт навмисного самогубства» is fully circular on the headword; not misleading, so P2 (Pass A).",definitionUa,Навмисне позбавлення себе життя.
SB-1089,solely,adv.,виключно,поодинці; виключно.,P2,The definition starts with a lowercase letter.,clean-candidate,solely → «виключно»; definition (alone; exclusively) is accurate though it restates the gloss; adverb POS matches.,поодинці; виключно,P2,high,ui-formatting,content is correct; the definition merely starts lowercase — cosmetic P2 (Pass A).,definitionUa,Лише; без участі або впливу інших.
SB-1771,encountered,word family,зіткнувся,"Зустріти (когось) або знайти (щось), особливо несподівано.",P1,ua masculine past «зіткнувся» conflicts with the infinitive definition and does not provide a neutral participle.,P2,"encountered glossed «зіткнувся» is a 3sg masculine past finite verb, an inconsistent citation for a word-family entry (peers use participles/impersonals); the definition itself is fine.",зіткнувся,P2,medium,tense-alignment,"DIVERGENCE from Pass A (P1): ua «зіткнувся» is a finite masculine-past citation rather than a neutral participle, but the definition is correct and the learner is not misled on meaning — a citation-form issue (P2), matching Pass B's severity.",both,"ua: зустрінутий; виявлений | definitionUa: Зустрінутий або знайдений, особливо несподівано."
SB-0852,passive,adj.,пасивний,Піддаватися дії без реакції.,P2,The adverbial participle «Піддаватися» does not directly define the adjective.,clean-candidate,passive → «пасивний»; definition 'undergo action without reaction' conveys the adjective sense adequately for a learner.,Піддаватися дії без реакції,P2,medium,pos-alignment,"«Піддаватися дії без реакції» uses an infinitive to gloss the adjective; conveys passive adequately, so P2 (Pass A).",definitionUa,"Такий, що не діє активно або не чинить опору."
SB-0190,clash,n.,зіткнення,"опозиція; протиріччя; наприклад, між різними або суперечливими інтересами, поглядами, цілями тощо.",P2,The definition starts with a lowercase letter.,clean-candidate,"clash → «зіткнення»; definition (opposition or contradiction between conflicting interests, views or aims) is accurate; noun POS matches.",опозиція; протиріччя,P2,high,ui-formatting,content is correct; the definition merely starts lowercase — cosmetic P2 (Pass A).,definitionUa,"Протистояння або суперечність між різними інтересами, поглядами чи цілями."
SB-1559,generated,word family,створений,Приводити в життя; породжувати.,P1,"Generated is an adjective/past participle, but the definition uses present infinitives.",clean-candidate,generated → «створений»; definition (to bring into being; to produce) conveys the sense; consistent gloss for the family.,Приводити в життя,P2,medium,pos-alignment,"present infinitives «Приводити в життя; породжувати» gloss the past participle generated; conveys the sense, so P2 (Pass A graded P1).",definitionUa,"Створений, вироблений або породжений певним процесом."
SB-0794,neglect,"v., n.",нехтувати,Не дбати про щось або не звертати уваги.,P1,"The source is noun and verb, but ua and the definition cover only the verb.",clean-candidate,"neglect → «нехтувати»; definition (fail to care for or pay attention) is accurate for the verb sense; POS covers v.,n.",Не дбати про щось,P1,high,pos-alignment,"neglect is v.,n. but ua «нехтувати» and the definition cover only the verb, dropping the noun sense; Pass A's coverage defect is confirmed.",both,ua: нехтування; нехтувати | definitionUa: Брак належної уваги чи догляду; також не дбати або не звертати уваги.
SB-1092,solo,"adj., n.",соло,"Робота або виконання, виконане однією особою.",P1,"The source is adjective and noun, but ua and the definition cover only the noun.",clean-candidate,"solo → «соло»; definition (a work or performance done by one person) is accurate; adj.,n. POS matches.",виконане однією особою,P1,high,pos-alignment,"solo is adj.,n. but ua «соло» and the definition cover only the noun, dropping the adjective sense; Pass A's coverage defect holds.",both,ua: соло; сольний | definitionUa: Виконання однією особою; також призначений для одного виконавця.
SB-0764,midst,n.,посеред,Місце в середині чого-небудь; може використовуватися в буквальному або метафоричному значенні.,P1,"The source is a noun but ua «посеред» is a preposition/adverb, not a noun equivalent.",clean-candidate,"midst → «посеред»; definition (a place in the middle of something, literal or metaphorical) is accurate; noun POS matches.",посеред,P1,high,pos-alignment,"midst is a noun but ua «посеред» is a preposition/adverb, giving no noun equivalent; Pass A's POS mismatch is confirmed.",both,ua: середина; центр | definitionUa: Середня частина або оточення чогось; часто у вислові «посеред чогось».
SB-0494,faction,n.,фракція,"Група людей, особливо всередині політичної організації, яка висловлює спільні переконання або думку, відмінну від людей, які не є частиною групи.",P1,The final comparison says an opinion differs from people rather than from their views.,clean-candidate,"faction → «фракція»; definition (a group, esp. within a political body, sharing a distinct opinion) is accurate; noun POS matches.",відмінну від людей,P2,medium,semantic-fidelity,"the comparison «думку, відмінну від людей» contrasts an opinion with people rather than with their views; a mild logical slip, comprehensible, P2 (Pass A graded P1).",definitionUa,"Група всередині більшої організації, члени якої мають спільні погляди, відмінні від поглядів інших членів."
SB-0092,assertion,n.,твердження,Акт ствердження; позитивна декларація або авермент.,P1,The unexplained rare borrowing «авермент» is unsuitable and unnecessary in learner-facing Ukrainian.,clean-candidate,assertion → «твердження»; definition (act of asserting; a positive declaration) is accurate; noun POS matches.,авермент,P2,medium,learner-register,"«авермент» is a rare, unexplained borrowing unsuitable for learner-facing Ukrainian; the rest is fine, so a register P2 (Pass A graded P1).",definitionUa,Упевнене й чітке твердження або заява.
SB-0060,amateur,"adj., n.",любитель,"Людина, прив’язана до певної діяльності, навчання, науки чи мистецтва (наприклад, музики чи живопису), особливо та, яка розвиває будь-які дослідження, інтереси, смаки чи прихильності, не займаючись цим професійно.",P1,"The source is adjective and noun, but the Ukrainian value and definition cover only the noun.",clean-candidate,amateur → «любитель»; definition (one who pursues an activity/art without doing it professionally) is accurate; noun/adj POS matches.,не займаючись цим професійно,P1,high,pos-alignment,"amateur is adj.,n. but ua «любитель» and the definition cover only the noun, omitting the adjective; Pass A's coverage defect is confirmed (Pass B wrongly claimed noun/adj matched).",both,"ua: аматор; аматорський | definitionUa: Людина, яка займається чимось не професійно; також такий, що стосується непрофесійної діяльності."
SB-0475,excess,"n., adj.",надлишок,"Стан перевищення або виходу за межі; стан поза достатністю, необхідністю або обов'язком; більше, ніж те, що є звичайним або належним.",P1,"The source is noun and adjective, but ua and the definition cover only the noun sense.",clean-candidate,"excess → «надлишок»; definition (the state of exceeding or going beyond limits; more than usual or proper) is accurate; n.,adj. POS matches.",Стан перевищення,P1,medium,pos-alignment,"excess is n.,adj. but ua «надлишок» and the definition cover only the noun sense; Pass A's coverage defect holds.",both,"ua: надлишок; надмірний | definitionUa: Кількість понад необхідну норму; також більший, ніж потрібно або дозволено."
SB-0500,favourable,adj.,сприятливий,"Вираження або вказівка ​​на прихильність чи доброзичливість; схвалюючи, заохочуючи.",P1,The definition uses a noun phrase and adverbial participles instead of defining the adjective.,clean-candidate,"favourable → «сприятливий»; definition (expressing or indicating favour; approving, encouraging) is accurate; adjective POS matches.",Вираження або вказівка,P2,medium,pos-alignment,"the definition uses a noun phrase plus adverbial participles instead of defining the adjective; conveys favourable, so P2 (Pass A graded P1).",definitionUa,"Такий, що виражає схвалення або створює добрі умови для успіху."
SB-0353,deputy,n.,заступник,"Той, кого призначають на заміну інших і мають право діяти за них від їхнього імені або від їхнього імені; заступник на посаді.",P1,The definition has singular/plural disagreement and repeats «від їхнього імені» nonsensically.,clean-candidate,deputy → «заступник»; definition (one appointed to substitute for another and authorised to act on their behalf) is accurate; noun POS matches.,від їхнього імені або від їхнього імені,P1,high,grammar-syntax,the definition has singular/plural disagreement and nonsensically repeats «від їхнього імені»; Pass A's broken-syntax defect is confirmed.,definitionUa,"Особа, призначена діяти замість іншої або допомагати посадовцеві як його заступник."
SB-1558,fundamental,word family,фундаментальний,Основний; надзвичайно важливо.,P1,Adverbial «надзвичайно важливо» does not agree with the adjective.,clean-candidate,fundamental → «фундаментальний»; definition (basic; extremely important) conveys the sense; adjective POS matches.,надзвичайно важливо,P2,medium,pos-alignment,"adverbial «надзвичайно важливо» does not agree with the adjective fundamental; comprehensible, so P2 (Pass A graded P1).",definitionUa,"Основний, базовий або надзвичайно важливий."
